"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""351990 IEPE"";114942;108677;-;10117;233736"
"""352000 IGARACU DO TIETE"";180751;192292;-;9618;382661"
"""352010 IGARAPAVA"";248965;260364;3641;1410;514380"
"""352020 IGARATA"";77244;88827;-;22254;188325"
"""352030 IGUAPE"";535351;142885;-;815;679051"
"""352040 ILHABELA"";309565;682681;10419;72664;1075329"
"""352042 ILHA COMPRIDA"";167867;195489;-;3144;366500"
"""352044 ILHA SOLTEIRA"";133038;131810;16355;34365;315568"
"""352050 INDAIATUBA"";518863;4578758;49229;65025;5211875"
"""352060 INDIANA"";28401;27090;-;410;55901"
"""352070 INDIAPORA"";28439;106600;-;23648;158687"
"""352080 INUBIA PAULISTA"";86126;7781;-;111;94018"
"""352090 IPAUSSU"";35627;51089;-;293;87009"
"""352100 IPERO"";168556;296618;-;1583;466757"
"""352110 IPEUNA"";106920;54781;-;942;162643"
"""352115 IPIGUA"";67;25830;-;1450;27347"
"""352120 IPORANGA"";37410;10898;-;-;48308"
"""352130 IPUA"";50884;116840;-;45;167769"
"""352140 IRACEMAPOLIS"";251015;56336;-;22271;329622"
"""352150 IRAPUA"";241641;44439;-;32714;318794"
"""352160 IRAPURU"";45367;5772;-;1457;52596"
"""352170 ITABERA"";388618;208299;-;388;597305"
"""352180 ITAI"";231783;104014;-;9778;345575"
"""352190 ITAJOBI"";519269;89217;-;31468;639954"
"""352200 ITAJU"";113400;4886;-;13;118299"
"""352210 ITANHAEM"";408730;1466171;1688;175268;2051857"
"""352215 ITAOCA"";112;1891;-;142;2145"
"""352220 ITAPECERICA DA SERRA"";598048;3042119;45734;2407;3688308"
"""352230 ITAPETININGA"";4906;2385999;56510;88560;2535975"
"""352240 ITAPEVA"";751848;1375950;48779;62072;2238649"
"""352250 ITAPEVI"";777828;3328829;27062;44343;4178062"
"""352260 ITAPIRA"";431136;1113016;6239;77843;1628234"
"""352265 ITAPIRAPUA PAULISTA"";22430;18322;-;1844;42596"
"""352270 ITAPOLIS"";295407;560898;4232;29764;890301"
"""352280 ITAPORANGA"";207451;128852;-;451;336754"
"""352290 ITAPUI"";211340;130966;-;38239;380545"
"""352300 ITAPURA"";26;470;-;125165;125661"
"""352310 ITAQUAQUECETUBA"";1643681;3964408;20914;20106;5649109"
"""352320 ITARARE"";78175;336383;1207;846;416611"
"""352330 ITARIRI"";5724;3466;-;-;9190"
"""352340 ITATIBA"";1087238;1484208;19845;28251;2619542"
"""352350 ITATINGA"";705;161524;-;25639;187868"
"""352360 ITIRAPINA"";179133;72288;-;7551;258972"
"""352370 ITIRAPUA"";15816;39744;-;17591;73151"
"""352380 ITOBI"";142726;36742;-;2762;182230"
"""352390 ITU"";698831;3016393;67340;16959;3799523"
"""352400 ITUPEVA"";494641;1092073;7646;5108;1599468"
"""352410 ITUVERAVA"";71212;612435;31612;1160;716419"
"""352420 JABORANDI"";85391;161165;-;20392;266948"
"""352430 JABOTICABAL"";1038100;988129;24438;1850;2052517"
"""352440 JACAREI"";490383;3244874;41895;13925;3791077"
"""352450 JACI"";1169;181396;-;1379;183944"
"""352460 JACUPIRANGA"";52;249189;-;324;249565"
"""352470 JAGUARIUNA"";73081;1316871;9667;2124;1401743"
"""352480 JALES"";112205;1013360;55678;104100;1285343"
"""352490 JAMBEIRO"";-;18687;-;276;18963"
"""352500 JANDIRA"";266136;1719200;-;2384;1987720"
"""352510 JARDINOPOLIS"";568840;173172;156;1223;743391"
"""352520 JARINU"";79487;396304;-;18679;494470"
"""352530 JAU"";687336;1840753;166398;31905;2726392"
"""352540 JERIQUARA"";912;3684;-;715;5311"
"""352550 JOANOPOLIS"";67235;59112;-;133;126480"
"""352560 JOAO RAMALHO"";43099;26726;-;738;70563"
"""352570 JOSE BONIFACIO"";496758;344453;1152;12097;854460"
"""352580 JULIO MESQUITA"";-;351;-;806;1157"
"""352585 JUMIRIM"";5140;16810;-;194;22144"
"""352590 JUNDIAI"";2611720;7150256;129143;22268;9913387"
"""352600 JUNQUEIROPOLIS"";176585;126100;84;31114;333883"
"""352610 JUQUIA"";99902;281508;-;3428;384838"
"""352620 JUQUITIBA"";433266;36822;-;9442;479530"
"""352630 LAGOINHA"";9091;17365;-;35;26491"
"""352640 LARANJAL PAULISTA"";220431;237159;9;2217;459816"
"""352650 LAVINIA"";118018;2896;-;12476;133390"
"""352660 LAVRINHAS"";-;3134;-;103;3237"
"""352670 LEME"";980016;1486373;25438;94078;2585905"
"""352680 LENCOIS PAULISTA"";1271107;956300;5279;6636;2239322"
"""352690 LIMEIRA"";304094;3406916;68250;82268;3861528"
"""352700 LINDOIA"";5861;758843;-;700;765404"
"""352710 LINS"";22843;526690;1969;2463;553965"
"""352720 LORENA"";177252;1359171;18635;1369;1556427"
"""352725 LOURDES"";115818;2979;-;87;118884"
"""352730 LOUVEIRA"";81066;1004023;6652;2890;1094631"
"""352740 LUCELIA"";280039;134669;-;2340;417048"
"""352750 LUCIANOPOLIS"";77903;6102;-;243;84248"
"""352760 LUIS ANTONIO"";-;79582;-;-;79582"
"""352770 LUIZIANIA"";187601;4183;-;4532;196316"
"""352780 LUPERCIO"";97915;93;-;22;98030"
"""352790 LUTECIA"";-;32741;-;-;32741"
"""352800 MACATUBA"";173423;178768;10;1380;353581"
"""352810 MACAUBAL"";320;72624;-;56886;129830"
"""352820 MACEDONIA"";22630;4544;-;426;27600"
"""352830 MAGDA"";666;20142;-;257;21065"
"""352840 MAIRINQUE"";256005;416348;-;1995;674348"
"""352850 MAIRIPORA"";657276;1347167;4063;1858;2010364"
"""352860 MANDURI"";-;75846;81;905;76832"
"""352870 MARABA PAULISTA"";8413;-;-;80;8493"
"""352880 MARACAI"";176145;184469;332;81398;442344"
"""352885 MARAPOAMA"";108926;19001;-;3392;131319"
"""352890 MARIAPOLIS"";110062;8736;-;7323;126121"
"""352900 MARILIA"";45126;4083713;9610546;71770;13811155"
"""352910 MARINOPOLIS"";13386;2454;-;10570;26410"
"""352920 MARTINOPOLIS"";3554;170399;-;286;174239"
"""352930 MATAO"";607776;445164;27880;555;1081375"
"""352940 MAUA"";577737;4947796;14049;213996;5753578"
"""352950 MENDONCA"";180514;18908;-;10575;209997"
"""352960 MERIDIANO"";795;4551;-;563;5909"
"""352965 MESOPOLIS"";6739;2743;-;253;9735"
"""352970 MIGUELOPOLIS"";56894;180366;-;394;237654"
"""352980 MINEIROS DO TIETE"";275803;3678;-;783;280264"
"""352990 MIRACATU"";67064;260580;-;1371;329015"
"""353000 MIRA ESTRELA"";44399;26383;-;823;71605"
"""353010 MIRANDOPOLIS"";401006;226093;9054;362;636515"
"""353020 MIRANTE DO PARANAPANEMA"";223107;226523;-;4249;453879"
"""353030 MIRASSOL"";53308;606234;-;1411;660953"
