"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""150215 CANAA DOS CARAJAS"";-;128381,06;-;10743455,79;-;10871836,85"
"""150220 CAPANEMA"";11914,56;3247658,04;-;8966694,39;-;12226266,99"
"""150230 CAPITAO POCO"";-;149690,40;-;1860162,91;-;2009853,31"
"""150240 CASTANHAL"";259624,04;14481747,90;-;24597491,57;-;39338863,51"
"""150250 CHAVES"";-;-;-;147833,00;-;147833,00"
"""150260 COLARES"";-;-;-;847345,92;-;847345,92"
"""150270 CONCEICAO DO ARAGUAIA"";72095,80;-;-;2166685,93;-;2238781,73"
"""150275 CONCORDIA DO PARA"";-;32524,80;-;910286,40;-;942811,20"
"""150276 CUMARU DO NORTE"";-;-;-;955400,85;-;955400,85"
"""150277 CURIONOPOLIS"";-;-;-;477492,24;-;477492,24"
"""150280 CURRALINHO"";-;-;-;987888,67;-;987888,67"
"""150285 CURUA"";-;-;-;128955,02;-;128955,02"
"""150290 CURUCA"";-;78703,20;-;1555062,09;-;1633765,29"
"""150293 DOM ELISEU"";-;-;-;3634234,96;-;3634234,96"
"""150295 ELDORADO DOS CARAJAS"";-;-;-;1897849,15;-;1897849,15"
"""150300 FARO"";-;-;-;66034,54;-;66034,54"
"""150304 FLORESTA DO ARAGUAIA"";-;-;-;3610144,11;-;3610144,11"
"""150307 GARRAFAO DO NORTE"";-;-;-;359400,55;-;359400,55"
"""150309 GOIANESIA DO PARA"";-;20851,20;-;872048,41;-;892899,61"
"""150310 GURUPA"";-;-;-;2118679,61;-;2118679,61"
"""150320 IGARAPE-ACU"";-;152972,00;-;1781855,63;-;1934827,63"
"""150330 IGARAPE-MIRI"";-;-;-;294818,86;-;294818,86"
"""150340 INHANGAPI"";-;-;-;310800,74;-;310800,74"
"""150345 IPIXUNA DO PARA"";-;-;-;1624299,24;-;1624299,24"
"""150350 IRITUIA"";-;92690,80;-;1345430,90;-;1438121,70"
"""150360 ITAITUBA"";-;3246180,36;-;11497279,29;-;14743459,65"
"""150370 ITUPIRANGA"";-;-;-;1738041,87;-;1738041,87"
"""150375 JACAREACANGA"";-;-;-;387375,97;-;387375,97"
"""150380 JACUNDA"";-;-;-;2518537,18;-;2518537,18"
"""150390 JURUTI"";-;-;-;4151051,30;-;4151051,30"
"""150400 LIMOEIRO DO AJURU"";-;-;-;417104,25;-;417104,25"
"""150405 MAE DO RIO"";-;-;-;1123938,88;-;1123938,88"
"""150410 MAGALHAES BARATA"";-;-;-;159943,38;-;159943,38"
"""150420 MARABA"";427556,44;11756458,25;-;20653430,03;-;32837444,72"
"""150430 MARACANA"";-;-;-;1079168,85;-;1079168,85"
"""150440 MARAPANIM"";-;-;-;843871,01;-;843871,01"
"""150442 MARITUBA"";93816,05;4963765,76;-;10934695,75;-;15992277,56"
"""150445 MEDICILANDIA"";-;-;-;2149165,95;-;2149165,95"
"""150450 MELGACO"";-;-;-;97439,27;-;97439,27"
"""150460 MOCAJUBA"";-;-;-;661737,70;-;661737,70"
"""150470 MOJU"";-;-;-;2847598,92;-;2847598,92"
"""150475 MOJUI DOS CAMPOS"";-;-;-;79857,65;-;79857,65"
"""150480 MONTE ALEGRE"";-;260800,80;-;2812114,71;-;3072915,51"
"""150490 MUANA"";-;-;-;4086379,04;-;4086379,04"
"""150495 NOVA ESPERANCA DO PIRIA"";-;65370,00;-;475784,08;-;541154,08"
"""150497 NOVA IPIXUNA"";-;-;-;757260,67;-;757260,67"
"""150500 NOVA TIMBOTEUA"";-;-;-;84566,36;-;84566,36"
"""150503 NOVO PROGRESSO"";-;-;-;1707075,46;-;1707075,46"
"""150506 NOVO REPARTIMENTO"";-;-;-;1857440,59;-;1857440,59"
"""150510 OBIDOS"";-;-;-;2056585,47;-;2056585,47"
"""150520 OEIRAS DO PARA"";-;-;-;368466,48;-;368466,48"
"""150530 ORIXIMINA"";-;-;-;4028360,97;-;4028360,97"
"""150540 OUREM"";-;-;-;1566614,94;-;1566614,94"
"""150543 OURILANDIA DO NORTE"";-;-;-;10169974,87;-;10169974,87"
"""150548 PACAJA"";-;230148,40;-;1922249,11;-;2152397,51"
"""150549 PALESTINA DO PARA"";-;-;-;227554,48;-;227554,48"
"""150550 PARAGOMINAS"";-;4385,55;-;7315353,73;-;7319739,28"
"""150553 PARAUAPEBAS"";475946,63;6705284,99;-;20638130,35;-;27819361,97"
"""150555 PAU D'ARCO"";-;438,24;-;1349463,22;-;1349901,46"
"""150560 PEIXE-BOI"";-;-;-;58547,33;-;58547,33"
"""150563 PICARRA"";-;-;-;264372,12;-;264372,12"
"""150565 PLACAS"";-;5160,00;-;1916205,45;-;1921365,45"
"""150570 PONTA DE PEDRAS"";-;-;-;168252,17;-;168252,17"
"""150580 PORTEL"";-;107510,00;-;2119231,25;-;2226741,25"
"""150590 PORTO DE MOZ"";-;-;-;1145097,74;-;1145097,74"
"""150600 PRAINHA"";-;-;-;399025,32;-;399025,32"
"""150610 PRIMAVERA"";-;-;-;64034,38;-;64034,38"
"""150611 QUATIPURU"";-;-;-;284250,61;-;284250,61"
"""150613 REDENCAO"";75202,71;7655625,24;-;10271667,78;-;18002495,73"
"""150616 RIO MARIA"";-;-;-;2258569,13;-;2258569,13"
"""150618 RONDON DO PARA"";-;-;-;1153761,90;-;1153761,90"
"""150619 RUROPOLIS"";-;-;-;740503,16;-;740503,16"
"""150620 SALINOPOLIS"";-;93363,60;-;3718716,81;-;3812080,41"
"""150630 SALVATERRA"";-;69444,00;-;1507541,56;-;1576985,56"
