"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Car ter de atendimento nÆo informado"";""Total"""
"""140030 MUCAJAI"";1329;586;-;-;-;-;107663;-;109578"
"""140040 NORMANDIA"";44;-;-;-;-;-;19146;-;19190"
"""140045 PACARAIMA"";914;204;-;-;-;-;53288;-;54406"
"""140047 RORAINOPOLIS"";15320;-;6679;-;-;-;274311;-;296310"
"""140050 SAO JOAO DA BALIZA"";-;-;-;-;-;-;38296;-;38296"
"""140060 SAO LUIZ"";14981;374;18;-;40;140;47371;-;62924"
"""140070 UIRAMUTA"";-;-;-;-;-;-;506;-;506"
"""150010 ABAETETUBA"";163177;312751;49;7;18;2;976722;-;1452726"
"""150013 ABEL FIGUEIREDO"";1584;1244;1;-;-;-;57870;-;60699"
"""150020 ACARA"";52302;4055;1;-;-;-;644973;-;701331"
"""150030 AFUA"";17313;9286;-;1;-;-;16681;-;43281"
"""150034 AGUA AZUL DO NORTE"";34312;6205;-;-;-;1;373502;-;414020"
"""150040 ALENQUER"";90424;4271;22;54;-;-;80685;-;175456"
"""150050 ALMEIRIM"";123875;879;4;2;-;1;302329;-;427090"
"""150060 ALTAMIRA"";646251;22415;99;6;-;-;2135004;-;2803775"
"""150070 ANAJAS"";241;-;-;-;-;-;159560;-;159801"
"""150080 ANANINDEUA"";479974;69451;4;13;4;10;9483987;-;10033443"
"""150085 ANAPU"";5332;-;-;-;-;-;166418;-;171750"
"""150090 AUGUSTO CORREA"";26358;5979;-;10;-;-;70260;-;102607"
"""150095 AURORA DO PARA"";87103;46708;4;1;290;-;1128;-;135234"
"""150100 AVEIRO"";215;1681;-;-;-;-;16280;-;18176"
"""150110 BAGRE"";325;4;3;-;-;-;2;-;334"
"""150120 BAIAO"";9474;2904;-;2;3;-;232209;-;244592"
"""150125 BANNACH"";6238;3;-;-;-;-;36089;-;42330"
"""150130 BARCARENA"";266045;426635;182;13;49;3;1849576;-;2542503"
"""150140 BELEM"";13224678;711666;409;410;55;1197;21172022;-;35110437"
"""150145 BELTERRA"";1610;3;-;-;-;-;413616;-;415229"
"""150150 BENEVIDES"";27340;126010;-;1;-;-;566075;-;719426"
"""150157 BOM JESUS DO TOCANTINS"";1495;8748;-;-;-;-;49488;-;59731"
"""150160 BONITO"";24;19710;-;5;-;-;453357;-;473096"
"""150170 BRAGANCA"";130426;9615;3;-;-;-;614353;-;754397"
"""150172 BRASIL NOVO"";21189;2;-;-;-;-;211703;-;232894"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;-;-;-;-;-;1891;-;1891"
"""150178 BREU BRANCO"";86764;64218;37;-;4;-;443895;-;594918"
"""150180 BREVES"";52255;250439;5;1;-;-;1059496;-;1362196"
"""150190 BUJARU"";29236;1199;-;7;-;-;174338;-;204780"
"""150195 CACHOEIRA DO PIRIA"";-;-;-;-;-;-;58239;-;58239"
"""150200 CACHOEIRA DO ARARI"";-;-;-;-;-;-;121470;-;121470"
"""150210 CAMETA"";109903;103992;33;7;18;-;744246;-;958199"
"""150215 CANAA DOS CARAJAS"";331012;108014;3;6;6774;-;1302191;-;1748000"
"""150220 CAPANEMA"";197659;484226;13;-;-;-;611476;-;1293374"
"""150230 CAPITAO POCO"";2513;201889;6;-;12;2;50844;-;255266"
"""150240 CASTANHAL"";1111691;31340;12;4;-;2;2513632;-;3656681"
"""150250 CHAVES"";633;93;-;-;-;-;50735;-;51461"
"""150260 COLARES"";19362;2598;-;-;-;-;119561;-;141521"
"""150270 CONCEICAO DO ARAGUAIA"";252478;3547;-;-;2;-;554483;-;810510"
"""150275 CONCORDIA DO PARA"";65493;1;-;-;-;-;147503;-;212997"
"""150276 CUMARU DO NORTE"";1153;-;-;1;-;-;137942;-;139096"
"""150277 CURIONOPOLIS"";19436;2;-;-;-;-;165105;-;184543"
"""150280 CURRALINHO"";1297;19421;-;-;-;-;145569;-;166287"
"""150285 CURUA"";8975;10788;13;-;-;3;740;-;20519"
"""150290 CURUCA"";34935;1746;-;180;-;-;341788;-;378649"
"""150293 DOM ELISEU"";96991;134482;15;1;1;-;919050;-;1150540"
"""150295 ELDORADO DOS CARAJAS"";37074;2268;-;-;-;-;669349;-;708691"
"""150300 FARO"";-;7;-;-;-;-;4438;-;4445"
"""150304 FLORESTA DO ARAGUAIA"";15027;6710;-;-;-;-;1345202;-;1366939"
"""150307 GARRAFAO DO NORTE"";14427;-;-;-;-;-;87411;-;101838"
"""150309 GOIANESIA DO PARA"";20401;42;2;4;-;-;265228;-;285677"
"""150310 GURUPA"";78992;5392;-;-;-;-;481521;-;565905"
"""150320 IGARAPE-ACU"";44387;1515;-;-;1;-;458405;-;504308"
"""150330 IGARAPE-MIRI"";62500;34;17;-;-;99;214467;-;277117"
"""150340 INHANGAPI"";355;-;-;-;-;-;100020;-;100375"
"""150345 IPIXUNA DO PARA"";66136;101155;269;12;119;2;106186;-;273879"
"""150350 IRITUIA"";81002;217;-;-;-;-;173674;-;254893"
"""150360 ITAITUBA"";764617;362262;84;23;25;55;71507;-;1198573"
"""150370 ITUPIRANGA"";4449;46163;-;-;-;-;361015;-;411627"
"""150375 JACAREACANGA"";-;11750;2;-;-;-;105006;-;116758"
"""150380 JACUNDA"";99124;53854;6;-;1;-;128278;-;281263"
"""150390 JURUTI"";331475;3896;1;-;-;-;601390;-;936762"
"""150400 LIMOEIRO DO AJURU"";237;297;-;-;-;-;82002;-;82536"
"""150405 MAE DO RIO"";41971;19;1;-;-;-;119713;-;161704"
"""150410 MAGALHAES BARATA"";4204;967;-;-;-;-;39028;-;44199"
"""150420 MARABA"";1260213;44665;55;3;3261;1;1047549;-;2355747"
"""150430 MARACANA"";25910;430;-;1;-;-;183414;-;209755"
"""150440 MARAPANIM"";8939;1;-;-;-;-;164969;-;173909"
