"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Car ter de atendimento nÆo informado"";""Total"""
"""421505 RIO RUFINO"";3758;-;-;-;-;-;48777;-;52535"
"""421507 RIQUEZA"";8601;-;-;-;-;-;16233;-;24834"
"""421510 RODEIO"";14988;492;-;-;-;1;236432;-;251913"
"""421520 ROMELANDIA"";80072;-;-;-;-;-;271;-;80343"
"""421530 SALETE"";1035;205;-;-;-;-;100646;-;101886"
"""421535 SALTINHO"";13344;-;-;-;-;-;87;-;13431"
"""421540 SALTO VELOSO"";13477;6185;4;-;-;-;10522;-;30188"
"""421545 SANGAO"";36532;-;-;-;-;-;328522;-;365054"
"""421550 SANTA CECILIA"";26372;100863;-;-;-;-;11043;-;138278"
"""421555 SANTA HELENA"";33498;-;-;-;-;-;153;-;33651"
"""421560 SANTA ROSA DE LIMA"";1506;-;-;-;-;-;5302;-;6808"
"""421565 SANTA ROSA DO SUL"";42103;-;-;-;-;-;302516;-;344619"
"""421567 SANTA TEREZINHA"";22933;-;-;-;-;-;57770;-;80703"
"""421568 SANTA TEREZINHA DO PROGRESSO"";12003;-;-;-;-;-;13846;-;25849"
"""421569 SANTIAGO DO SUL"";18653;-;-;-;-;-;1715;-;20368"
"""421570 SANTO AMARO DA IMPERATRIZ"";82412;63699;-;-;-;-;342287;-;488398"
"""421575 SAO BERNARDINO"";18618;-;-;-;-;-;9899;-;28517"
"""421580 SAO BENTO DO SUL"";281122;51466;10;2;3;2;1339542;-;1672147"
"""421590 SAO BONIFACIO"";23426;-;-;-;-;-;144592;-;168018"
"""421600 SAO CARLOS"";51970;21031;-;-;-;-;77619;-;150620"
"""421605 SAO CRISTOVAO DO SUL"";854;-;-;-;-;-;11548;-;12402"
"""421610 SAO DOMINGOS"";14711;-;-;-;-;-;188396;-;203107"
"""421620 SAO FRANCISCO DO SUL"";59690;3850;-;-;-;-;1240479;-;1304019"
"""421625 SAO JOAO DO OESTE"";45282;82;-;-;-;-;72372;-;117736"
"""421630 SAO JOAO BATISTA"";24837;2528;-;-;-;-;314417;-;341782"
"""421635 SAO JOAO DO ITAPERIU"";12968;-;-;-;-;-;109022;-;121990"
"""421640 SAO JOAO DO SUL"";31437;1;-;-;-;-;36689;-;68127"
"""421650 SAO JOAQUIM"";26827;304;-;2;-;-;334111;-;361244"
"""421660 SAO JOSE"";339476;712062;3;-;1;-;2323962;-;3375504"
"""421670 SAO JOSE DO CEDRO"";132316;-;-;-;-;-;105423;-;237739"
"""421680 SAO JOSE DO CERRITO"";6731;-;-;-;-;-;1529;-;8260"
"""421690 SAO LOURENCO DO OESTE"";149913;1071;-;1;-;1;505924;-;656910"
"""421700 SAO LUDGERO"";102698;-;-;-;-;-;549888;-;652586"
"""421710 SAO MARTINHO"";10730;-;-;-;-;-;11688;-;22418"
"""421715 SAO MIGUEL DA BOA VISTA"";16031;-;-;-;-;-;13775;-;29806"
"""421720 SAO MIGUEL DO OESTE"";270791;170556;-;-;-;-;674849;-;1116196"
"""421725 SAO PEDRO DE ALCANTARA"";8883;36;-;-;-;-;111196;-;120115"
"""421730 SAUDADES"";52280;523;-;-;-;-;103692;-;156495"
"""421740 SCHROEDER"";9342;2;-;-;-;-;238869;-;248213"
"""421750 SEARA"";18977;72788;1;1;-;-;376801;-;468568"
"""421755 SERRA ALTA"";19053;-;-;-;-;-;20321;-;39374"
"""421760 SIDEROPOLIS"";36256;5;-;-;-;-;224901;-;261162"
"""421770 SOMBRIO"";96667;2;-;-;-;-;878518;-;975187"
"""421775 SUL BRASIL"";21753;-;-;-;-;-;25496;-;47249"
"""421780 TAIO"";13982;1653;-;1;1;1;430297;-;445935"
"""421790 TANGARA"";30550;844;-;-;-;-;99349;-;130743"
"""421795 TIGRINHOS"";10372;-;-;-;-;-;18831;-;29203"
"""421800 TIJUCAS"";52756;188256;2;2;-;-;545148;-;786164"
"""421810 TIMBE DO SUL"";40062;6;-;-;-;-;225297;-;265365"
"""421820 TIMBO"";116557;3905;-;-;-;-;571677;-;692139"
"""421825 TIMBO GRANDE"";53666;94240;-;-;-;-;17130;-;165036"
"""421830 TRES BARRAS"";18343;-;-;-;-;-;106192;-;124535"
"""421835 TREVISO"";4755;-;-;-;-;-;92626;-;97381"
"""421840 TREZE DE MAIO"";31748;198;-;-;-;-;240065;-;272011"
"""421850 TREZE TILIAS"";53249;30750;-;1;-;-;79782;-;163782"
"""421860 TROMBUDO CENTRAL"";3;116;-;-;-;-;82454;-;82573"
"""421870 TUBARAO"";266463;136005;-;-;-;-;673535;-;1076003"
"""421875 TUNAPOLIS"";32407;3566;-;-;-;-;49912;-;85885"
"""421880 TURVO"";21485;300;-;-;-;-;546966;-;568751"
"""421885 UNIAO DO OESTE"";23638;-;-;-;-;-;18174;-;41812"
"""421890 URUBICI"";20622;241;-;4;-;1;73715;-;94583"
"""421900 URUSSANGA"";51631;1544;-;-;-;-;350953;-;404128"
"""421910 VARGEAO"";4152;446;-;-;-;-;31144;-;35742"
"""421915 VARGEM"";5514;-;-;-;-;-;1510;-;7024"
"""421917 VARGEM BONITA"";9929;-;-;-;-;-;89464;-;99393"
"""421920 VIDAL RAMOS"";13426;30;-;-;-;-;99242;-;112698"
"""421930 VIDEIRA"";1005327;7545;-;1;-;-;411787;-;1424660"
"""421935 VITOR MEIRELES"";2166;1422;-;-;-;-;97667;-;101255"
"""421940 WITMARSUM"";23381;990;-;-;-;-;132002;-;156373"
"""421950 XANXERE"";159374;198336;10;-;-;-;740492;-;1098212"
"""421960 XAVANTINA"";6006;-;-;-;-;-;68304;-;74310"
"""421970 XAXIM"";75913;57049;1;18;2;135;527338;-;660456"
"""421985 ZORTEA"";-;-;-;-;-;-;410;-;410"
"""422000 BALNEARIO RINCAO"";34914;1;-;-;-;-;495089;-;530004"
"""430003 ACEGUA"";1876;368;-;-;-;-;26129;-;28373"
"""430005 AGUA SANTA"";3205;3;-;-;-;-;9845;-;13053"
"""430010 AGUDO"";32574;1622;-;-;-;-;75557;-;109753"
"""430020 AJURICABA"";26451;12243;-;4;-;-;58;-;38756"
"""430030 ALECRIM"";1371;-;-;-;-;-;23570;-;24941"
"""430040 ALEGRETE"";1621687;71216;1;-;-;-;231511;-;1924415"
"""430045 ALEGRIA"";14441;-;-;-;-;-;6851;-;21292"
"""430050 ALPESTRE"";182;776;-;-;-;-;20548;-;21506"
"""430055 ALTO ALEGRE"";7930;-;-;-;-;-;561;-;8491"
"""430057 ALTO FELIZ"";15478;-;-;-;-;-;81172;-;96650"
"""430060 ALVORADA"";320242;1807;-;1;1;-;1016604;-;1338655"
"""430063 AMARAL FERRADOR"";96;21;-;-;-;-;14249;-;14366"
"""430064 AMETISTA DO SUL"";3929;781;-;-;-;-;64008;-;68718"
"""430066 ANDRE DA ROCHA"";-;-;-;-;-;-;2061;-;2061"
"""430070 ANTA GORDA"";3410;1;-;-;-;-;11816;-;15227"
"""430080 ANTONIO PRADO"";24396;1363;10;-;-;-;241872;-;267641"
"""430085 ARAMBARE"";3115;-;-;-;-;-;33320;-;36435"
"""430087 ARARICA"";50496;73;-;-;-;-;3267;-;53836"
"""430090 ARATIBA"";84406;972;-;-;-;-;81695;-;167073"
"""430100 ARROIO DO MEIO"";12925;37675;-;-;-;-;163305;-;213905"
"""430105 ARROIO DO SAL"";4771;-;-;-;-;-;167225;-;171996"
"""430107 ARROIO DO PADRE"";7118;7;-;-;-;-;42;-;7167"
"""430110 ARROIO DOS RATOS"";28768;10;-;-;-;-;10046;-;38824"
"""430120 ARROIO DO TIGRE"";28492;234;-;-;-;-;11782;-;40508"
"""430130 ARROIO GRANDE"";26312;705;5;-;-;-;158138;-;185160"
"""430140 ARVOREZINHA"";33961;10054;1;-;-;-;982;-;44998"
"""430150 AUGUSTO PESTANA"";24168;26487;-;-;-;-;90190;-;140845"
"""430155 AUREA"";-;-;-;-;-;-;4414;-;4414"
"""430160 BAGE"";1450945;5945;3;5;-;-;1030882;-;2487780"
"""430163 BALNEARIO PINHAL"";17012;87;-;-;-;-;555394;-;572493"
"""430165 BARAO"";7473;17;-;-;-;4;32710;-;40204"
"""430170 BARAO DE COTEGIPE"";1433;-;-;-;-;-;3039;-;4472"
"""430175 BARAO DO TRIUNFO"";-;-;-;-;-;-;13915;-;13915"
"""430180 BARRACAO"";12426;107;-;-;-;-;507;-;13040"
"""430185 BARRA DO GUARITA"";230;-;-;-;-;-;-;-;230"
"""430190 BARRA DO RIBEIRO"";68933;-;-;-;-;-;125677;-;194610"
"""430192 BARRA DO RIO AZUL"";220;-;-;-;-;-;31;-;251"
"""430195 BARRA FUNDA"";-;-;-;-;-;-;37706;-;37706"
"""430200 BARROS CASSAL"";-;-;-;-;-;-;20808;-;20808"
"""430205 BENJAMIN CONSTANT DO SUL"";732;-;-;-;-;-;449;-;1181"
"""430210 BENTO GONCALVES"";147238;393384;4;6;-;-;887349;-;1427981"
"""430215 BOA VISTA DAS MISSOES"";129;-;-;-;-;-;-;-;129"
"""430220 BOA VISTA DO BURICA"";36889;14066;-;-;-;-;521;-;51476"
"""430222 BOA VISTA DO CADEADO"";2161;-;-;-;-;-;-;-;2161"
"""430223 BOA VISTA DO INCRA"";-;-;-;-;-;-;1259;-;1259"
"""430225 BOA VISTA DO SUL"";-;-;-;-;-;-;47;-;47"
"""430230 BOM JESUS"";3670;55;2;-;-;1;113650;-;117378"
"""430235 BOM PRINCIPIO"";168;1895;-;-;-;-;223705;-;225768"
"""430237 BOM PROGRESSO"";137;-;-;-;-;-;-;-;137"
"""430240 BOM RETIRO DO SUL"";3144;61235;-;-;-;-;53113;-;117492"
"""430245 BOQUEIRAO DO LEAO"";741;28;-;-;-;-;27933;-;28702"
"""430250 BOSSOROCA"";11236;4;-;-;-;-;276;-;11516"
"""430258 BOZANO"";-;-;-;-;-;-;112;-;112"
"""430260 BRAGA"";-;-;-;-;-;-;176;-;176"
"""430270 BUTIA"";50401;290;-;-;-;-;50472;-;101163"
"""430280 CACAPAVA DO SUL"";204574;6042;3;-;-;-;65996;-;276615"
"""430290 CACEQUI"";40120;2;-;-;-;-;128166;-;168288"
"""430300 CACHOEIRA DO SUL"";1707262;14695;1;1;-;2;898256;-;2620217"
"""430310 CACHOEIRINHA"";216142;19673;10;-;-;-;599362;-;835187"
"""430320 CACIQUE DOBLE"";237;4664;40;1;3;-;9077;-;14022"
"""430330 CAIBATE"";5880;2218;-;-;2;-;3345;-;11445"
"""430340 CAICARA"";1116;380;-;-;-;-;30726;-;32222"
"""430350 CAMAQUA"";225973;12941;-;-;-;-;668129;-;907043"
"""430355 CAMARGO"";40032;-;-;1;-;-;798;-;40831"
"""430360 CAMBARA DO SUL"";3627;1301;-;-;-;-;25981;-;30909"
"""430367 CAMPESTRE DA SERRA"";2025;-;-;-;-;-;103;-;2128"
"""430370 CAMPINA DAS MISSOES"";10857;25381;-;-;-;-;18911;-;55149"
"""430380 CAMPINAS DO SUL"";20892;5;-;-;-;-;19094;-;39991"
"""430390 CAMPO BOM"";257613;30770;-;-;-;-;1540246;-;1828629"
"""430400 CAMPO NOVO"";2460;13;-;-;-;-;14718;-;17191"
"""430410 CAMPOS BORGES"";11499;-;-;-;-;-;168;-;11667"
"""430420 CANDELARIA"";112846;14;-;-;-;-;443666;-;556526"
"""430430 CANDIDO GODOI"";624;-;-;-;1142;-;45157;-;46923"
"""430435 CANDIOTA"";13391;1;-;-;-;-;124360;-;137752"
"""430440 CANELA"";170159;9810;-;1;58;-;364872;-;544900"
"""430450 CANGUCU"";50254;2082;-;-;-;-;396489;-;448825"
"""430460 CANOAS"";2137501;406731;3;13;6;3;2409761;-;4954018"
"""430461 CANUDOS DO VALE"";160;-;-;-;-;-;22;-;182"
"""430462 CAPAO BONITO DO SUL"";43;-;-;-;-;-;1;-;44"
"""430463 CAPAO DA CANOA"";53969;6010;-;1;-;-;901332;-;961312"
"""430465 CAPAO DO CIPO"";25;-;-;-;-;-;192;-;217"
"""430466 CAPAO DO LEAO"";36104;5;-;-;-;-;199477;-;235586"
"""430467 CAPIVARI DO SUL"";5729;-;-;-;-;-;37962;-;43691"
"""430468 CAPELA DE SANTANA"";-;-;-;-;-;-;694;-;694"
"""430469 CAPITAO"";270;-;-;-;-;-;13;-;283"
"""430470 CARAZINHO"";241347;96;-;-;-;-;589394;-;830837"
"""430471 CARAA"";7379;-;-;-;-;-;250;-;7629"
"""430480 CARLOS BARBOSA"";25240;2272;-;-;-;-;445046;-;472558"
"""430485 CARLOS GOMES"";351;-;-;-;-;-;548;-;899"
"""430490 CASCA"";46369;27815;-;-;-;-;348;-;74532"
"""430495 CASEIROS"";13;-;-;-;-;-;5973;-;5986"
"""430500 CATUIPE"";14778;3;-;-;-;-;36162;-;50943"
"""430510 CAXIAS DO SUL"";7835170;114768;49;11;8;3;3739208;-;11689217"
"""430511 CENTENARIO"";9836;56;-;-;-;-;2731;-;12623"
"""430512 CERRITO"";-;-;-;-;-;-;1906;-;1906"
"""430513 CERRO BRANCO"";20346;4;-;5;-;2;93347;-;113704"
"""430515 CERRO GRANDE"";-;-;-;-;-;-;214;-;214"
"""430517 CERRO GRANDE DO SUL"";3003;9794;-;-;-;-;74841;-;87638"
"""430520 CERRO LARGO"";23079;6431;1;-;-;-;3550;-;33061"
"""430530 CHAPADA"";175;831;-;-;-;-;53657;-;54663"
"""430535 CHARQUEADAS"";81913;4540;-;-;-;-;123497;-;209950"
"""430537 CHARRUA"";-;-;-;-;-;-;95;-;95"
"""430540 CHIAPETTA"";14350;3696;-;-;-;-;231;-;18277"
"""430543 CHUI"";-;-;-;-;-;-;187;-;187"
"""430544 CHUVISCA"";-;-;-;-;-;-;5617;-;5617"
"""430545 CIDREIRA"";28010;1;-;1;-;-;124514;-;152526"
"""430550 CIRIACO"";3;6379;-;2;-;-;24933;-;31317"
"""430560 COLORADO"";-;-;-;-;-;-;8220;-;8220"
"""430570 CONDOR"";255;1331;1;-;-;-;4362;-;5949"
"""430580 CONSTANTINA"";20125;22634;-;-;-;-;1126;-;43885"
"""430583 COQUEIRO BAIXO"";-;-;-;-;-;-;76;-;76"
"""430585 COQUEIROS DO SUL"";86;512;-;-;-;-;30642;-;31240"
"""430587 CORONEL BARROS"";-;-;-;-;-;-;120;-;120"
"""430590 CORONEL BICACO"";264;440;-;-;-;-;11763;-;12467"
"""430593 CORONEL PILAR"";-;-;-;-;-;-;156;-;156"
"""430597 COXILHA"";-;67;-;-;-;-;100;-;167"
"""430600 CRISSIUMAL"";135495;10;-;-;-;-;1595;-;137100"
"""430605 CRISTAL"";19308;3;-;-;-;-;26963;-;46274"
"""430607 CRISTAL DO SUL"";171;-;-;-;-;-;-;-;171"
"""430610 CRUZ ALTA"";1267239;707;-;-;-;-;644461;-;1912407"
"""430613 CRUZALTENSE"";562;-;-;-;-;-;116;-;678"
"""430620 CRUZEIRO DO SUL"";12893;50911;-;-;5;-;34775;-;98584"
"""430630 DAVID CANABARRO"";13286;201;-;-;-;-;16438;-;29925"
"""430632 DERRUBADAS"";219;-;-;-;-;-;-;-;219"
"""430635 DEZESSEIS DE NOVEMBRO"";-;-;-;-;-;-;77;-;77"
"""430637 DILERMANDO DE AGUIAR"";-;-;-;-;-;-;162;-;162"
"""430640 DOIS IRMAOS"";127475;778;-;-;-;-;44364;-;172617"
"""430645 DOIS LAJEADOS"";7853;34;-;-;-;-;1310;-;9197"
"""430650 DOM FELICIANO"";11907;88263;-;-;-;-;69148;-;169318"
"""430655 DOM PEDRO DE ALCANTARA"";22;-;-;-;-;-;295;-;317"
"""430660 DOM PEDRITO"";93328;2349;-;-;-;-;291105;-;386782"
"""430670 DONA FRANCISCA"";-;-;-;-;-;-;213;-;213"
"""430673 DOUTOR MAURICIO CARDOSO"";125;-;-;-;-;-;1201;-;1326"
"""430675 DOUTOR RICARDO"";234;-;-;-;-;-;96;-;330"
"""430676 ELDORADO DO SUL"";22248;-;-;-;-;-;80284;-;102532"
"""430680 ENCANTADO"";108508;8172;-;8;-;-;285053;-;401741"
"""430690 ENCRUZILHADA DO SUL"";63743;18;-;-;-;1;130368;-;194130"
"""430692 ENGENHO VELHO"";-;-;-;-;-;-;81;-;81"
"""430693 ENTRE-IJUIS"";21598;7;-;2;-;-;2965;-;24572"
"""430695 ENTRE RIOS DO SUL"";648;-;-;-;-;-;553;-;1201"
"""430697 EREBANGO"";325;-;-;-;-;-;528;-;853"
"""430700 ERECHIM"";1884102;138593;-;1;-;4;1495185;-;3517885"
"""430710 HERVAL"";361;161;-;-;-;-;21632;-;22154"
"""430720 ERVAL GRANDE"";945;774;-;-;-;-;14970;-;16689"
"""430730 ERVAL SECO"";23589;3;-;-;-;-;23050;-;46642"
"""430740 ESMERALDA"";-;-;-;-;-;-;11412;-;11412"
"""430745 ESPERANCA DO SUL"";140;-;-;-;-;-;36;-;176"
"""430750 ESPUMOSO"";53111;63922;-;7;-;-;19157;-;136197"
"""430755 ESTACAO"";16697;-;-;-;-;-;555;-;17252"
"""430760 ESTANCIA VELHA"";102794;-;-;-;-;-;276238;-;379032"
"""430770 ESTEIO"";257085;14140;-;13;5;2;1149704;-;1420949"
"""430780 ESTRELA"";130372;3624;5;-;2;-;285744;-;419747"
"""430781 ESTRELA VELHA"";4179;1;-;-;-;-;37574;-;41754"
"""430783 EUGENIO DE CASTRO"";113;-;-;-;-;-;115;-;228"
"""430786 FAGUNDES VARELA"";2491;-;-;-;-;-;94;-;2585"
"""430790 FARROUPILHA"";119689;10525;22;-;-;-;603859;-;734095"
"""430800 FAXINAL DO SOTURNO"";118552;6275;5;-;-;-;191982;-;316814"
"""430805 FAXINALZINHO"";343;-;-;-;-;-;555;-;898"
"""430807 FAZENDA VILANOVA"";242;-;-;-;-;-;606;-;848"
"""430810 FELIZ"";48784;185;-;-;-;-;175018;-;223987"
"""430820 FLORES DA CUNHA"";32086;3834;1;-;-;-;196766;-;232687"
"""430830 FONTOURA XAVIER"";23340;23280;-;-;-;-;96;-;46716"
"""430840 FORMIGUEIRO"";511;-;-;-;-;-;27099;-;27610"
"""430843 FORQUETINHA"";270;-;-;-;-;-;3404;-;3674"
"""430845 FORTALEZA DOS VALOS"";21;28;-;-;-;-;17002;-;17051"
"""430850 FREDERICO WESTPHALEN"";1577650;29;-;-;-;-;312851;-;1890530"
"""430860 GARIBALDI"";80272;6152;1;-;3;-;265583;-;352011"
"""430865 GARRUCHOS"";2857;-;-;-;-;-;44;-;2901"
"""430870 GAURAMA"";10733;899;-;-;-;-;3091;-;14723"
"""430880 GENERAL CAMARA"";12935;-;-;-;-;-;19738;-;32673"
"""430885 GENTIL"";1044;-;-;-;-;-;2288;-;3332"
"""430890 GETULIO VARGAS"";97265;72840;8;2;-;-;6957;-;177072"
"""430900 GIRUA"";135666;52199;1;-;-;-;199176;-;387042"
"""430905 GLORINHA"";10972;-;-;-;-;-;43870;-;54842"
"""430910 GRAMADO"";286975;19142;2;1;6;-;744645;-;1050771"
"""430912 GRAMADO DOS LOUREIROS"";275;-;-;-;-;-;1355;-;1630"
"""430915 GRAMADO XAVIER"";-;-;-;-;-;-;80;-;80"
"""430920 GRAVATAI"";411764;63016;12;34;1;-;2361391;-;2836218"
"""430925 GUABIJU"";8;-;-;-;-;-;12832;-;12840"
"""430930 GUAIBA"";105651;2552;17;-;1;-;377917;-;486138"
"""430940 GUAPORE"";60658;3711;-;-;-;-;339498;-;403867"
"""430950 GUARANI DAS MISSOES"";27876;54;-;-;-;-;4080;-;32010"
"""430955 HARMONIA"";337;-;-;-;-;723;5458;-;6518"
"""430957 HERVEIRAS"";-;-;-;-;-;-;44;-;44"
"""430960 HORIZONTINA"";74094;1441;3;-;-;-;926634;-;1002172"
"""430965 HULHA NEGRA"";1586;16;-;-;-;-;11506;-;13108"
"""430970 HUMAITA"";5;3033;-;-;-;-;8424;-;11462"
"""430975 IBARAMA"";-;-;-;-;-;-;132;-;132"
"""430980 IBIACA"";9494;181;-;-;-;-;990;-;10665"
"""430990 IBIRAIARAS"";4960;2820;-;-;-;-;31961;-;39741"
"""430995 IBIRAPUITA"";4992;1;-;-;-;-;222;-;5215"
"""431000 IBIRUBA"";17664;1383;-;-;-;-;170052;-;189099"
"""431010 IGREJINHA"";129692;3632;-;-;-;-;358355;-;491679"
"""431020 IJUI"";2236113;51436;-;19;-;2;1340454;-;3628024"
"""431030 ILOPOLIS"";6202;-;-;-;-;-;15773;-;21975"
"""431033 IMBE"";38297;868;-;-;1;-;236616;-;275782"
"""431036 IMIGRANTE"";1724;-;-;-;-;-;21112;-;22836"
"""431040 INDEPENDENCIA"";5742;-;-;-;-;-;10596;-;16338"
"""431041 INHACORA"";161;-;-;-;-;-;3209;-;3370"
"""431043 IPE"";-;-;-;-;-;-;223;-;223"
"""431046 IPIRANGA DO SUL"";351;-;-;-;-;-;554;-;905"
"""431050 IRAI"";4524;28151;47;-;-;-;264;-;32986"
"""431053 ITAARA"";-;-;-;-;-;-;302;-;302"
"""431055 ITACURUBI"";-;-;-;-;-;-;91;-;91"
"""431057 ITAPUCA"";-;-;-;-;-;-;69;-;69"
"""431060 ITAQUI"";49782;82403;-;-;-;-;73113;-;205298"
"""431065 ITATI"";2884;-;-;-;1;-;8564;-;11449"
"""431070 ITATIBA DO SUL"";281;-;-;-;-;-;196;-;477"
"""431075 IVORA"";352;70;-;-;-;-;5109;-;5531"
"""431080 IVOTI"";21107;1674;-;-;-;-;299434;-;322215"
"""431085 JABOTICABA"";38814;30844;-;4;-;-;4598;-;74260"
"""431087 JACUIZINHO"";-;-;-;-;-;-;123;-;123"
"""431090 JACUTINGA"";6900;281;-;-;-;-;909;-;8090"
"""431100 JAGUARAO"";36194;12037;-;-;-;-;272214;-;320445"
"""431110 JAGUARI"";1739;1911;-;-;-;-;84763;-;88413"
"""431112 JAQUIRANA"";13393;3;-;-;-;-;45187;-;58583"
"""431113 JARI"";110;-;-;-;-;-;1884;-;1994"
"""431115 JOIA"";49;-;-;-;-;-;4172;-;4221"
"""431120 JULIO DE CASTILHOS"";48677;12;-;-;-;-;508679;-;557368"
"""431123 LAGOA BONITA DO SUL"";-;-;-;-;-;-;22;-;22"
"""431125 LAGOAO"";3063;38;-;-;-;-;130;-;3231"
"""431127 LAGOA DOS TRES CANTOS"";1791;-;-;-;-;-;41001;-;42792"
"""431130 LAGOA VERMELHA"";63087;133965;26;8;9;1;130321;-;327417"
"""431140 LAJEADO"";3435884;120914;2;1;-;-;990059;-;4546860"
"""431142 LAJEADO DO BUGRE"";165;-;-;-;-;-;1342;-;1507"
"""431150 LAVRAS DO SUL"";16936;4882;1;-;-;-;28517;-;50336"
"""431160 LIBERATO SALZANO"";5;1854;-;-;-;-;12658;-;14517"
"""431162 LINDOLFO COLLOR"";1924;-;-;-;-;-;20201;-;22125"
"""431164 LINHA NOVA"";-;-;-;-;-;-;180;-;180"
"""431170 MACHADINHO"";8137;1010;-;-;-;-;133734;-;142881"
"""431173 MAMPITUBA"";2089;-;-;-;-;-;3115;-;5204"
"""431177 MAQUINE"";966;-;-;-;-;-;23342;-;24308"
"""431179 MARATA"";-;-;-;-;-;-;1510;-;1510"
"""431180 MARAU"";88738;108935;-;-;-;-;526129;-;723802"
"""431190 MARCELINO RAMOS"";16562;3997;-;-;-;-;65;-;20624"
"""431200 MARIANO MORO"";348;-;-;-;-;-;529;-;877"
"""431205 MARQUES DE SOUZA"";253;806;-;-;-;-;35768;-;36827"
"""431210 MATA"";27723;108;-;-;-;-;65107;-;92938"
"""431213 MATO CASTELHANO"";2470;15;-;-;-;-;341;-;2826"
"""431215 MATO LEITAO"";-;-;-;-;-;-;28;-;28"
"""431217 MATO QUEIMADO"";2650;-;1;-;-;-;69;-;2720"
"""431220 MAXIMILIANO DE ALMEIDA"";9661;5831;-;-;-;-;163;-;15655"
"""431225 MINAS DO LEAO"";23291;10;-;-;-;-;100802;-;124103"
"""431230 MIRAGUAI"";-;-;-;-;-;-;76;-;76"
"""431235 MONTAURI"";-;-;-;-;-;-;65;-;65"
"""431238 MONTE BELO DO SUL"";794;-;-;-;-;-;18551;-;19345"
"""431240 MONTENEGRO"";253395;23702;1;-;-;-;707001;-;984099"
"""431242 MORMACO"";180;-;-;-;-;-;1518;-;1698"
"""431244 MORRINHOS DO SUL"";3068;-;1;-;-;-;1996;-;5065"
"""431245 MORRO REDONDO"";130;159;-;-;-;-;26678;-;26967"
"""431247 MORRO REUTER"";5645;-;-;-;-;-;52366;-;58011"
"""431250 MOSTARDAS"";5204;1027;1;-;-;-;96849;-;103081"
"""431260 MUCUM"";3259;-;-;-;-;-;40458;-;43717"
"""431261 MUITOS CAPOES"";-;-;-;-;-;-;59;-;59"
"""431262 MULITERNO"";-;-;-;-;-;-;4179;-;4179"
"""431265 NAO-ME-TOQUE"";87590;39304;-;-;-;-;590;-;127484"
"""431267 NICOLAU VERGUEIRO"";-;-;-;-;-;-;601;-;601"
"""431270 NONOAI"";54031;105103;1;-;-;-;904;-;160039"
"""431275 NOVA ALVORADA"";18318;197;4;-;22;1;52;-;18594"
"""431280 NOVA ARACA"";478;-;-;-;-;-;11891;-;12369"
"""431290 NOVA BASSANO"";6681;21224;-;-;-;-;44747;-;72652"
"""431295 NOVA BOA VISTA"";215;-;-;-;-;-;19933;-;20148"
"""431300 NOVA BRESCIA"";270;-;-;-;-;-;27316;-;27586"
"""431301 NOVA CANDELARIA"";221;-;-;-;-;-;104;-;325"
"""431303 NOVA ESPERANCA DO SUL"";2530;-;-;-;-;-;17587;-;20117"
"""431306 NOVA HARTZ"";23970;-;-;-;-;-;45788;-;69758"
"""431308 NOVA PADUA"";-;-;-;-;-;-;55;-;55"
"""431310 NOVA PALMA"";784;433;-;-;3;-;32698;-;33918"
"""431320 NOVA PETROPOLIS"";29036;5268;4;-;-;-;131441;-;165749"
"""431330 NOVA PRATA"";59285;7440;-;-;-;-;315788;-;382513"
"""431333 NOVA RAMADA"";164;-;-;-;-;-;2867;-;3031"
"""431335 NOVA ROMA DO SUL"";1708;-;-;-;-;-;398;-;2106"
"""431337 NOVA SANTA RITA"";68421;18440;1;-;-;-;92684;-;179546"
"""431340 NOVO HAMBURGO"";796433;397955;1144;50;35;71;3801978;-;4997666"
"""431342 NOVO MACHADO"";-;-;-;-;-;-;34;-;34"
"""431344 NOVO TIRADENTES"";220;1;-;-;-;-;3375;-;3596"
"""431346 NOVO XINGU"";174;-;-;-;-;-;171;-;345"
"""431349 NOVO BARREIRO"";-;-;-;-;-;-;24190;-;24190"
"""431350 OSORIO"";3147040;14316;-;-;-;-;704835;-;3866191"
"""431360 PAIM FILHO"";2692;13588;-;-;1;-;159;-;16440"
"""431365 PALMARES DO SUL"";43200;149;-;-;-;-;156201;-;199550"
"""431370 PALMEIRA DAS MISSOES"";1415160;12;17;-;-;-;422934;-;1838123"
"""431380 PALMITINHO"";10988;29320;5;-;3;-;3324;-;43640"
"""431390 PANAMBI"";101664;18304;-;-;1;-;1175396;-;1295365"
"""431400 PARAI"";3182;1565;-;-;-;-;87338;-;92085"
"""431402 PARAISO DO SUL"";18923;83;-;-;-;-;10955;-;29961"
"""431403 PARECI NOVO"";6160;-;-;-;-;-;5123;-;11283"
"""431405 PAROBE"";115795;13611;-;-;-;-;936024;-;1065430"
"""431407 PASSO DO SOBRADO"";-;-;-;-;-;-;5064;-;5064"
"""431410 PASSO FUNDO"";2733869;679410;22;54;112;4;433711;-;3847182"
"""431413 PAULO BENTO"";1540;-;21;-;-;-;22;-;1583"
"""431415 PAVERAMA"";-;-;-;-;-;-;1021;-;1021"
