"""Munic¡pio"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""110070 CAMPO NOVO DE RONDONIA"";-;-;-;-;-;22069,56;13488,51;15408,65;15441,84;17433,20;21442,32;19058,37;16312,93;17656,98;15992,78;15181,32;13887,02;15787,27;16139,33;18704,53;20776,57;18879,36;16740,92;14129,34;14288,27;9492,56;8982,58;13896,47;12622,02;14707,21;19445,35;19898,00;6758,07;10532,81;6412,53;3707,82;14464,18;-;23337,56;17239,65;17247,75;25456,49;13120,82;25149,13;22174,93;23763,47;18859,12;26172,11;21885,30;12939,06;20945,80;23012,60;19378,49;-;790420,95"
"""110080 CANDEIAS DO JAMARI"";-;-;-;-;-;42778,25;40056,25;39400,84;35512,73;55432,53;51561,14;54431,02;54158,83;61380,11;70712,42;80077,60;40376,52;68189,29;60714,66;90184,97;72081,34;85307,85;60777,46;54364,29;18625,93;65950,81;46374,70;34127,97;37026,71;55227,35;64322,10;62224,64;32318,47;83179,44;79677,38;69869,59;60858,67;80311,66;82003,87;88700,28;64648,49;67005,64;48181,04;59026,43;70518,74;63896,08;72271,79;63701,86;18278,96;67139,81;47989,45;67710,42;47850,92;46953,54;2883470,84"
"""110090 CASTANHEIRAS"";-;-;-;-;-;1974,94;1968,60;2687,47;2236,65;3137,88;5290,88;2284,66;2425,18;3074,73;3552,18;2992,48;3234,33;3515,14;4479,63;6408,04;5308,03;-;2017,90;6416,41;6225,77;2122,33;11942,02;7403,19;2229,87;7594,35;8318,31;7833,40;8764,80;6731,32;6582,49;9405,20;8076,09;7424,73;-;9762,45;10050,51;12977,90;7951,72;10794,93;13367,22;11326,70;-;13314,72;10346,04;3373,88;10828,37;13106,96;10098,38;7326,54;308285,32"
"""110092 CHUPINGUAIA"";-;-;-;-;-;9884,85;9676,69;7765,76;9172,68;6052,48;17853,24;2353,05;6625,29;6498,90;29712,01;9169,54;5052,87;19977,85;22988,19;29706,66;29646,21;18734,90;4860,83;36356,33;42709,80;33956,94;29371,28;32048,61;24929,77;-;29546,89;34747,92;43223,69;39221,02;17563,86;20120,20;19569,12;18280,41;-;30732,49;26697,05;34162,77;34511,11;33451,50;39938,65;5860,91;9977,10;46190,95;35161,49;32725,23;33980,18;36090,59;26231,35;-;1093089,21"
"""110094 CUJUBIM"";-;-;-;-;-;56479,95;103961,45;99343,38;102080,21;115266,87;206378,63;183978,86;152786,16;151082,29;163945,73;157532,98;172241,53;137682,29;170706,30;180622,13;189845,99;173870,38;89104,56;177148,69;167036,18;163893,44;52067,75;70905,29;84590,15;82025,41;87508,69;82953,52;78138,57;71147,22;68634,17;71080,37;72097,91;79274,43;97857,53;83415,12;64293,98;45383,60;40249,03;56811,87;72696,96;83443,61;79699,12;69183,28;86367,16;93395,70;95580,43;81058,80;-;-;5064847,67"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;-;-;1748,26;1958,85;2549,38;3277,11;2579,44;2267,60;2767,30;2524,78;2921,02;3107,83;11844,30;-;5157,60;6396,96;13509,46;23438,58;23933,76;17634,43;5035,22;11711,30;8935,61;8387,78;7482,14;4681,64;6034,20;11361,93;17765,17;16782,05;15579,17;16965,15;9533,23;12840,45;13254,75;12880,70;16607,60;17278,11;10312,94;14882,75;14195,57;14724,03;17198,87;14494,27;12254,56;10876,77;9852,36;11244,22;7068,76;7108,82;10623,56;495570,34"
"""110110 ITAPUA DO OESTE"";-;-;-;-;-;28157,84;22645,67;27411,46;26191,04;35091,61;38723,80;37671,52;40657,26;25658,47;15371,88;29284,91;24006,73;-;37478,17;51266,07;39259,98;38564,91;30235,95;32735,38;39720,51;41455,57;39797,47;35440,49;31943,42;41547,70;40620,77;49208,59;-;44982,80;35269,74;37591,15;36869,70;47843,68;49053,12;-;80922,18;65349,58;61609,05;51245,16;55034,84;80718,44;70420,30;60316,35;52416,76;48989,64;57199,55;47344,76;-;-;1883323,97"
"""110120 MINISTRO ANDREAZZA"";-;-;-;-;-;-;-;-;-;2308,74;1134,06;15730,38;17402,09;20114,83;23793,07;20265,82;22496,76;26774,91;25015,43;24219,83;24154,78;28753,10;24777,49;25622,30;26699,80;29050,76;27994,29;26764,16;25877,75;26483,87;30439,27;33941,22;27199,92;26354,69;22309,35;21217,41;23843,08;25144,67;29276,87;23658,55;28650,86;26379,33;25506,84;29557,54;31955,97;30333,00;37614,06;35498,90;26983,00;27315,75;31890,47;28969,75;26888,57;-;1116363,29"
"""110130 MIRANTE DA SERRA"";-;-;-;-;-;22075,50;19852,32;28885,79;42623,01;37676,29;26577,84;48852,34;53031,18;100810,04;97777,61;86257,95;85213,07;108291,81;63991,78;35167,54;33155,82;15730,28;48255,70;44045,64;47040,89;19607,94;35664,83;49386,21;34526,02;21530,52;19071,24;27539,65;32974,30;25029,44;21918,13;25448,68;28282,84;23345,94;33401,85;29198,96;14987,85;28803,03;34662,24;36025,28;38230,46;45982,84;42794,76;35355,40;37912,98;38869,79;39943,70;36546,92;35450,04;-;1937804,24"
"""110140 MONTE NEGRO"";-;-;-;-;-;43578,21;25588,75;30382,45;25943,27;32879,73;35362,32;35652,06;54550,83;43897,12;46247,12;58682,22;58373,89;57304,06;65650,31;82974,86;84467,08;57512,68;69015,64;37241,75;67766,12;71250,45;75965,21;75219,39;69059,42;60202,95;78135,62;84525,98;90305,63;94129,02;76957,95;74935,44;72872,35;70293,77;70073,95;68373,71;65012,40;73370,82;54150,68;68838,10;71494,34;84137,77;65468,85;37962,73;78182,48;59946,47;58755,80;69654,69;67608,66;66612,59;3066567,69"
"""110143 NOVA UNIAO"";-;-;-;-;-;32679,55;32405,94;31399,18;28891,49;39908,85;34540,64;46229,65;30246,67;33952,52;34307,78;40928,99;36631,56;40244,98;41312,86;39013,72;43981,09;37723,28;36791,92;35682,25;35947,08;34791,56;32426,10;42102,54;29024,53;38325,07;36664,86;39216,01;41255,97;37203,43;45742,29;38868,78;35772,52;42420,94;40575,09;39713,87;43738,86;40520,66;41014,28;48479,93;55670,15;62631,37;62876,31;56218,14;59180,00;57113,33;60682,02;65823,61;64488,43;-;2025360,65"
"""110145 PARECIS"";-;-;-;-;-;-;-;-;11915,74;10591,96;19079,61;17791,83;14374,67;17816,91;21000,60;21655,45;35752,10;30397,66;20928,60;22843,20;26909,65;23087,50;29420,06;17523,42;19184,60;16831,90;17431,90;16393,30;28390,00;17132,70;6572,70;6572,70;20219,80;29585,30;29494,40;38858,45;29510,29;22367,89;11875,24;25330,77;26650,77;32013,64;23718,10;37371,21;73132,80;71949,84;17416,50;70271,31;73848,43;70560,86;87212,42;89138,49;89590,83;-;1439716,10"
