"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Total"""
"""171515 NOVO ALEGRE"";1567;-;-;-;-;-;70;1637"
"""171525 NOVO JARDIM"";915;-;-;-;-;-;4;919"
"""171575 PALMEIROPOLIS"";2853;-;-;-;-;-;6411;9264"
"""171610 PARAISO DO TOCANTINS"";10666;984;2;2;-;-;130341;141995"
"""171630 PAU D'ARCO"";579;-;-;-;-;-;97;676"
"""171650 PEDRO AFONSO"";2;84;-;-;-;-;11083;11169"
"""171670 COLMEIA"";123;508;-;-;-;-;18656;19287"
"""171700 PINDORAMA DO TOCANTINS"";411;1201;-;-;-;-;9044;10656"
"""171780 PONTE ALTA DO BOM JESUS"";-;-;-;-;-;-;1064;1064"
"""171790 PONTE ALTA DO TOCANTINS"";1450;28;-;-;-;-;4713;6191"
"""171800 PORTO ALEGRE DO TOCANTINS"";489;7;-;-;-;-;6;502"
"""171820 PORTO NACIONAL"";8473;3711;-;1;-;-;158105;170290"
"""171830 PRAIA NORTE"";615;-;-;-;-;-;194;809"
"""171840 PRESIDENTE KENNEDY"";308;89;-;-;-;-;545;942"
"""171845 PUGMIL"";116;-;-;-;-;-;1091;1207"
"""171870 RIO DOS BOIS"";286;-;-;-;-;-;1100;1386"
"""171875 RIO SONO"";176;-;-;-;-;-;1398;1574"
"""171884 SANDOLANDIA"";312;-;-;-;-;-;160;472"
"""171886 SANTA FE DO ARAGUAIA"";65;-;-;-;-;-;1669;1734"
"""171889 SANTA RITA DO TOCANTINS"";206;-;-;-;-;-;-;206"
"""171890 SANTA ROSA DO TOCANTINS"";-;-;-;-;-;-;102;102"
"""171900 SANTA TEREZA DO TOCANTINS"";35;-;-;-;-;-;61;96"
"""172000 SANTA TEREZINHA DO TOCANTINS"";423;-;-;-;-;-;674;1097"
"""172020 SAO MIGUEL DO TOCANTINS"";670;-;-;-;-;-;2657;3327"
"""172049 SAO VALERIO"";2813;959;-;-;-;-;1523;5295"
"""172065 SILVANOPOLIS"";988;-;-;-;-;-;958;1946"
"""172080 SITIO NOVO DO TOCANTINS"";1045;456;-;-;-;-;3375;4876"
"""172090 TAGUATINGA"";3004;-;-;-;-;-;18463;21467"
"""172093 TAIPAS DO TOCANTINS"";-;-;-;-;-;-;3312;3312"
"""172097 TALISMA"";77;373;-;-;-;-;238;688"
"""172100 PALMAS"";186963;8428;2;-;-;-;605048;800441"
"""172110 TOCANTINIA"";20;-;-;-;-;-;26;46"
"""172125 TUPIRAMA"";88;-;-;-;-;-;-;88"
"""172208 WANDERLANDIA"";734;-;-;-;-;-;6160;6894"
"""172210 XAMBIOA"";299;125;-;-;-;-;4889;5313"
"""210005 ACAILANDIA"";37999;20730;26;-;140;-;138635;197530"
"""210030 ALDEIAS ALTAS"";796;-;-;-;-;-;5162;5958"
"""210043 ALTO ALEGRE DO MARANHAO"";-;303;-;-;-;-;52412;52715"
"""210080 ANAPURUS"";1065;74;-;-;-;-;12655;13794"
"""210090 ARAIOSES"";718;-;-;-;-;-;1223;1941"
"""210120 BACABAL"";24921;3545;2;-;1;-;96753;125222"
"""210125 BACABEIRA"";1183;172;-;-;-;-;21680;23035"
"""210135 BACURITUBA"";65;-;-;-;-;-;1595;1660"
"""210140 BALSAS"";36412;2000;1;-;-;-;151683;190096"
"""210160 BARRA DO CORDA"";95658;14374;18;29;111;-;71790;181980"
"""210170 BARREIRINHAS"";3449;2611;-;-;5;-;67055;73120"
"""210173 BELAGUA"";288;-;-;-;-;-;1975;2263"
"""210177 BELA VISTA DO MARANHAO"";1489;161;-;-;-;-;8843;10493"
"""210190 BEQUIMAO"";67;85;-;-;-;-;4944;5096"
"""210207 BOM LUGAR"";1845;-;-;-;-;-;424;2269"
"""210210 BREJO"";10513;-;-;-;-;-;16786;27299"
"""210220 BURITI"";2209;-;-;-;-;-;15173;17382"
"""210232 BURITICUPU"";1166;12278;-;-;102;2;39567;53115"
"""210235 BURITIRANA"";1682;-;-;-;-;-;8322;10004"
"""210280 CAROLINA"";4369;111;-;-;-;-;18898;23378"
"""210290 CARUTAPERA"";457;-;-;-;-;-;23019;23476"
"""210300 CAXIAS"";38029;3174;-;-;29;-;324586;365818"
"""210320 CHAPADINHA"";18865;18825;13;-;33;-;76999;114735"
"""210325 CIDELANDIA"";303;-;-;-;-;-;11172;11475"
"""210330 CODO"";30498;14689;48;-;-;-;104882;150117"
"""210340 COELHO NETO"";5404;316;-;-;-;-;43208;48928"
"""210350 COLINAS"";56;862;1;-;-;-;14287;15206"
"""210355 CONCEICAO DO LAGO-ACU"";291;-;-;-;-;-;2195;2486"
"""210360 COROATA"";10443;15886;-;2;-;-;131982;158313"
"""210370 CURURUPU"";505;23;-;-;-;-;17234;17762"
"""210375 DAVINOPOLIS"";2626;-;-;-;-;-;14075;16701"
"""210390 DUQUE BACELAR"";1475;-;-;-;-;-;10340;11815"
"""210400 ESPERANTINOPOLIS"";1369;230;-;-;-;-;17552;19151"
"""210405 ESTREITO"";330;-;-;-;-;-;451;781"
"""210407 FEIRA NOVA DO MARANHAO"";2586;-;-;-;-;-;1839;4425"
"""210410 FORTALEZA DOS NOGUEIRAS"";355;-;-;-;-;-;7134;7489"
"""210467 GOVERNADOR NUNES FREIRE"";8004;107;-;-;-;-;29697;37808"
"""210480 GRAJAU"";43144;632;-;-;-;-;81929;125705"
"""210500 HUMBERTO DE CAMPOS"";718;-;-;-;-;-;1223;1941"
"""210530 IMPERATRIZ"";135448;26694;2;-;-;2;438576;600722"
"""210535 ITAIPAVA DO GRAJAU"";2177;-;-;-;-;-;8102;10279"
"""210540 ITAPECURU MIRIM"";3843;1272;-;-;-;-;44176;49291"
"""210542 ITINGA DO MARANHAO"";-;88;-;-;-;-;10499;10587"
"""210547 JENIPAPO DOS VIEIRAS"";2687;-;-;-;-;-;14909;17596"
"""210550 JOAO LISBOA"";1106;-;-;-;-;-;12775;13881"
"""210565 JUNCO DO MARANHAO"";978;-;-;-;-;-;6576;7554"
"""210570 LAGO DA PEDRA"";11378;367;1;-;-;-;69484;81230"
"""210580 LAGO DO JUNCO"";1488;-;-;-;-;-;1442;2930"
"""210592 LAGOA DO MATO"";852;-;-;-;-;-;10163;11015"
"""210594 LAGO DOS RODRIGUES"";20;62;-;-;-;-;6660;6742"
"""210596 LAGOA GRANDE DO MARANHAO"";629;-;-;-;-;-;-;629"
"""210610 LORETO"";157;301;-;-;-;-;2986;3444"
