"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""170930 GUARAI"";18;12188;44;-;12250"
"""170950 GURUPI"";9931;97892;35660;5689;149172"
"""170980 IPUEIRAS"";-;239;-;120;359"
"""171090 ITAPIRATINS"";-;448;-;104;552"
"""171110 ITAPORA DO TOCANTINS"";2308;3825;-;20;6153"
"""171180 JUARINA"";267;227;-;19;513"
"""171200 LAJEADO"";82;82;-;59;223"
"""171245 LUZINOPOLIS"";-;-;-;1014;1014"
"""171280 MAURILANDIA DO TOCANTINS"";18;-;-;569;587"
"""171320 MIRACEMA DO TOCANTINS"";2281;35472;-;1360;39113"
"""171330 MIRANORTE"";45;2546;-;624;3215"
"""171360 MONTE DO CARMO"";1138;5789;-;80;7007"
"""171395 MURICILANDIA"";-;82;-;116;198"
"""171420 NATIVIDADE"";1460;11375;-;2269;15104"
"""171430 NAZARE"";270;507;-;103;880"
"""171488 NOVA OLINDA"";2307;5324;-;692;8323"
"""171500 NOVA ROSALANDIA"";1402;944;-;438;2784"
"""171515 NOVO ALEGRE"";18;29;-;1590;1637"
"""171525 NOVO JARDIM"";-;-;-;919;919"
"""171575 PALMEIROPOLIS"";1233;5531;-;2500;9264"
"""171610 PARAISO DO TOCANTINS"";65106;73254;-;3635;141995"
"""171630 PAU D'ARCO"";-;-;-;676;676"
"""171650 PEDRO AFONSO"";2069;9098;2;-;11169"
"""171670 COLMEIA"";6616;12596;-;75;19287"
"""171700 PINDORAMA DO TOCANTINS"";5115;4695;-;846;10656"
"""171780 PONTE ALTA DO BOM JESUS"";186;878;-;-;1064"
"""171790 PONTE ALTA DO TOCANTINS"";3522;1144;-;1525;6191"
"""171800 PORTO ALEGRE DO TOCANTINS"";-;76;-;426;502"
"""171820 PORTO NACIONAL"";13865;151554;440;4431;170290"
"""171830 PRAIA NORTE"";26;70;-;713;809"
"""171840 PRESIDENTE KENNEDY"";-;487;-;455;942"
"""171845 PUGMIL"";-;1083;-;124;1207"
"""171870 RIO DOS BOIS"";-;1043;-;343;1386"
"""171875 RIO SONO"";143;1247;-;184;1574"
"""171884 SANDOLANDIA"";-;-;-;472;472"
"""171886 SANTA FE DO ARAGUAIA"";-;1582;-;152;1734"
"""171889 SANTA RITA DO TOCANTINS"";-;6;-;200;206"
"""171890 SANTA ROSA DO TOCANTINS"";-;-;-;102;102"
"""171900 SANTA TEREZA DO TOCANTINS"";44;13;-;39;96"
"""172000 SANTA TEREZINHA DO TOCANTINS"";3;589;-;505;1097"
"""172020 SAO MIGUEL DO TOCANTINS"";2729;313;-;285;3327"
"""172049 SAO VALERIO"";935;1532;-;2828;5295"
"""172065 SILVANOPOLIS"";57;790;-;1099;1946"
"""172080 SITIO NOVO DO TOCANTINS"";1903;2822;-;151;4876"
"""172090 TAGUATINGA"";6398;12458;-;2611;21467"
"""172093 TAIPAS DO TOCANTINS"";3312;-;-;-;3312"
"""172097 TALISMA"";394;222;-;72;688"
"""172100 PALMAS"";40634;360338;148523;250946;800441"
