"""Munic¡pio"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""110070 CAMPO NOVO DE RONDONIA"";-;-;-;-;-;22069,56;13488,51;15488,85;15446,69;17444,87;21462,99;19062,37;16318,60;17660,98;15994,78;15192,66;13893,69;15788,27;16149,68;18713,20;20776,57;18879,36;50994,56;14129,34;17798,82;9547,51;9048,19;14064,91;13641,87;20766,01;19679,21;20187,52;6758,07;11086,88;6412,53;4516,17;18218,13;-;23434,61;19867,41;17730,57;26372,65;13133,42;26941,43;26649,06;29704,75;24653,47;28231,31;21924,20;13279,26;27996,07;24989,62;20545,17;-;876134,35"
"""110080 CANDEIAS DO JAMARI"";-;-;-;-;-;42870,60;40056,25;39407,14;35516,51;56068,76;52015,43;55932,02;54188,58;61389,56;71884,34;80105,58;40381,56;70831,64;65227,93;91488,48;72341,15;86079,62;61052,05;54732,21;19868,08;66895,50;47168,87;34127,97;37827,30;55887,74;64956,25;64410,09;33623,17;83590,14;80267,14;69982,75;67153,05;81393,25;82618,74;465835,89;67152,25;67622,57;55111,99;59995,35;70949,93;65030,14;74468,98;64312,51;19829,92;67638,80;53313,50;80354,24;59761,69;60410,15;3353127,36"
"""110090 CASTANHEIRAS"";-;-;-;-;-;1974,94;1968,60;2687,47;2236,65;3137,88;5290,88;2284,66;2425,18;3074,73;3552,18;2992,48;3234,33;3515,14;4479,63;6408,04;5308,03;-;2017,90;6416,41;6267,70;2122,33;11942,02;7403,19;2229,87;7594,35;8318,31;7833,40;8764,80;6731,32;6582,49;9405,20;8076,09;7424,73;-;9762,45;12600,51;14627,90;8021,72;12694,93;16017,22;16316,70;-;15754,72;12126,04;3373,88;14848,37;14266,96;11828,38;7326,54;333267,25"
"""110092 CHUPINGUAIA"";-;-;-;-;-;9884,85;9676,69;7765,76;9408,70;6824,68;18898,86;2440,58;11182,50;9234,79;31471,51;9169,54;5052,87;19977,85;22988,19;29827,66;29784,88;18734,90;4860,83;36496,30;42779,85;33956,94;29371,28;32048,61;24929,77;-;29546,89;34747,92;43223,69;39221,02;17563,86;20120,20;19569,12;18280,41;-;30735,49;26697,05;34162,77;34511,11;33451,50;50658,65;5917,56;9977,10;46190,95;35169,87;40456,96;51742,57;42253,94;27744,02;-;1148711,04"
"""110094 CUJUBIM"";-;-;-;-;-;58552,65;104348,90;100477,38;103466,21;160448,58;290471,58;206950,86;203495,76;222403,24;1406224,50;1025580,85;198426,74;147046,61;890703,48;249558,57;239341,21;360132,98;147139,32;229583,89;278493,46;276499,12;53073,23;72859,37;86054,27;87227,25;97284,59;89216,70;87470,12;78673,17;72267,38;78313,51;88751,48;90765,45;109122,67;90406,86;68632,16;51286,02;41725,27;60949,86;80842,47;92226,78;88036,15;73718,23;93256,81;100385,40;106730,53;82312,50;-;-;9020934,12"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;-;-;1807,46;2141,64;2972,12;3779,53;3589,69;2374,16;3753,32;3636,56;5080,50;4747,52;13257,49;-;5157,60;6688,56;14230,66;23438,58;25471,99;18592,40;5174,18;36837,06;9285,61;8570,32;7648,96;10987,54;10135,42;25376,85;39928,97;40705,39;37577,01;41132,71;9533,23;25650,45;27774,75;26160,70;30707,60;33157,11;41612,94;28191,05;26775,57;14724,03;17198,87;14904,27;12254,56;10876,77;9852,36;11244,22;7068,76;7108,82;10623,56;779499,42"
"""110110 ITAPUA DO OESTE"";-;-;-;-;-;28531,56;22997,61;27455,95;26249,10;35283,20;39873,70;39457,10;42069,14;25711,05;15398,59;41465,81;25727,21;-;48857,61;68223,03;63206,29;50706,83;30235,95;32840,41;44972,09;41479,51;39797,47;35889,75;31985,45;41575,10;40763,50;49208,59;-;45217,97;35390,34;37591,15;36873,40;47959,97;49053,12;-;81597,18;65469,28;61834,05;51489,96;55791,29;80748,58;70430,83;62693,73;54658,76;53586,00;62237,26;47874,66;-;-;1990459,13"
"""110120 MINISTRO ANDREAZZA"";-;-;-;-;-;-;-;-;-;2792,84;2402,14;18041,49;17477,61;20686,33;24487,27;20281,66;24178,86;26774,91;25015,43;24219,83;24154,78;28753,10;24777,49;25622,30;26699,80;29050,76;27994,29;26764,16;25877,75;26483,87;2171374,30;33941,22;27199,92;26354,69;22309,35;21217,41;23843,08;25144,67;29276,87;23658,55;28650,86;600343,68;25506,84;29557,54;31955,97;30427,50;37614,06;35498,90;26983,00;27315,75;31890,47;28969,75;26888,57;-;3838459,62"
"""110130 MIRANTE DA SERRA"";-;-;-;-;-;22075,50;19852,32;28885,79;42623,01;37676,29;26577,84;48852,34;58699,78;100810,04;97777,61;87079,93;95759,43;122660,67;93210,70;43956,11;45004,82;24120,78;49929,64;44051,27;47040,89;19607,94;35664,83;60782,53;35254,82;21530,52;19071,24;27539,65;33073,98;25029,44;21918,13;25481,30;28282,84;23378,07;33663,59;29236,34;14987,85;28803,03;34714,11;36337,28;38230,46;45998,59;42794,76;35355,40;37912,98;40624,79;39943,70;36611,67;35450,04;-;2043924,64"
"""110140 MONTE NEGRO"";-;-;-;-;-;44007,21;25588,75;30445,24;25944,92;32962,02;35385,42;35652,06;54550,83;43909,18;46247,12;58778,42;58373,89;57329,53;65773,92;82974,86;84491,65;57962,38;69015,64;37241,75;67766,12;71695,68;76447,41;76594,54;69059,42;60208,10;78135,62;85427,63;91628,34;94196,48;76982,52;75048,38;72878,35;70521,47;70073,95;68373,71;65020,76;73370,82;54150,68;68926,30;71766,08;84137,77;65474,62;37962,73;78391,02;60576,02;58832,81;70069,59;67608,66;66870,89;3074831,26"
"""110143 NOVA UNIAO"";-;-;-;-;-;35100,35;34265,96;31713,08;29144,54;40143,23;34540,64;46501,00;30495,43;34215,36;34533,08;42929,54;36895,75;40506,04;43540,86;41032,27;45387,12;38314,61;36791,92;35682,25;35947,08;34829,56;32439,86;46201,49;29058,93;38325,07;36664,86;39483,94;44485,53;38625,01;47571,10;39840,99;35797,27;42969,43;40649,72;39715,24;43884,45;41162,31;41045,78;48544,53;55670,15;62652,55;62915,93;56353,08;59308,13;57113,33;60693,86;71078,30;64488,43;-;2059248,94"
"""110145 PARECIS"";-;-;-;-;-;-;-;-;11915,74;10591,96;19079,61;21208,45;14374,67;18337,80;21000,60;21704,95;35761,35;30471,91;20928,60;24701,70;28782,55;30023,90;31041,16;18470,62;19190,90;16863,40;19279,60;16634,50;30100,00;20104,00;9822,30;10160,20;20219,80;29585,30;37164,40;38858,45;30906,37;25083,97;11875,24;26726,85;28046,85;33333,64;24478,10;37371,21;279620,10;73681,14;17416,50;70272,75;73848,43;81537,85;87312,42;89177,09;89625,57;-;1706692,50"
