"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""150835 VITORIA DO XINGU"";26844;136893;26;1014;164777"
"""150840 XINGUARA"";142505;1649367;1048;115879;1908799"
"""160005 SERRA DO NAVIO"";9260;14759;-;1059;25078"
"""160010 AMAPA"";31643;27902;-;221;59766"
"""160015 PEDRA BRANCA DO AMAPARI"";21320;168201;574;926;191021"
"""160020 CALCOENE"";5071;35252;-;-;40323"
"""160021 CUTIAS"";1221;-;-;458;1679"
"""160023 FERREIRA GOMES"";14810;81917;-;219;96946"
"""160025 ITAUBAL"";20;-;-;720;740"
"""160027 LARANJAL DO JARI"";61749;567552;4388;1668;635357"
"""160030 MACAPA"";686546;5373917;817643;158171;7036277"
"""160040 MAZAGAO"";1855;132574;-;77;134506"
"""160050 OIAPOQUE"";6012;220206;-;700;226918"
"""160053 PORTO GRANDE"";4360;48593;-;207;53160"
"""160055 PRACUUBA"";-;-;-;60;60"
"""160060 SANTANA"";55292;1458323;4400;3385;1521400"
"""160070 TARTARUGALZINHO"";11694;47838;-;-;59532"
"""160080 VITORIA DO JARI"";8273;86398;-;787;95458"
"""170025 ABREULANDIA"";41;22;-;1116;1179"
"""170030 AGUIARNOPOLIS"";74;447;-;530;1051"
"""170035 ALIANCA DO TOCANTINS"";9783;29032;-;6264;45079"
"""170040 ALMAS"";288;56690;-;380;57358"
"""170070 ALVORADA"";1370;108696;-;2044;112110"
"""170100 ANANAS"";10832;49457;-;865;61154"
"""170105 ANGICO"";590;412;-;2720;3722"
"""170110 APARECIDA DO RIO NEGRO"";95;52919;-;1080;54094"
"""170130 ARAGOMINAS"";19691;54;-;408;20153"
"""170190 ARAGUACEMA"";10606;33499;-;11487;55592"
"""170200 ARAGUACU"";306;159815;-;522;160643"
"""170210 ARAGUAINA"";530348;2288620;679576;97532;3596076"
"""170215 ARAGUANA"";-;9767;-;589;10356"
"""170220 ARAGUATINS"";834;964688;-;1309;966831"
"""170230 ARAPOEMA"";52;72709;-;566;73327"
"""170240 ARRAIAS"";23315;74759;-;8153;106227"
"""170255 AUGUSTINOPOLIS"";19180;264506;654;7100;291440"
"""170270 AURORA DO TOCANTINS"";131;416;-;2816;3363"
"""170290 AXIXA DO TOCANTINS"";580;36;-;495;1111"
"""170300 BABACULANDIA"";33557;53;-;321;33931"
"""170305 BANDEIRANTES DO TOCANTINS"";28;2147;-;824;2999"
"""170307 BARRA DO OURO"";-;-;-;443;443"
"""170310 BARROLANDIA"";30008;21352;-;775;52135"
"""170320 BERNARDO SAYAO"";-;-;-;23;23"
"""170330 BOM JESUS DO TOCANTINS"";18;16;-;445;479"
"""170360 BRASILANDIA DO TOCANTINS"";4;409;-;420;833"
"""170370 BREJINHO DE NAZARE"";12044;26684;-;6368;45096"
"""170380 BURITI DO TOCANTINS"";503;7438;-;3248;11189"
"""170382 CACHOEIRINHA"";-;-;-;197;197"
"""170384 CAMPOS LINDOS"";399;-;-;655;1054"
"""170386 CARIRI DO TOCANTINS"";26645;42857;-;4962;74464"
"""170388 CARMOLANDIA"";120;10;-;441;571"
"""170389 CARRASCO BONITO"";1225;39;-;588;1852"
"""170390 CASEARA"";332;3;-;533;868"
"""170410 CENTENARIO"";104;-;-;63;167"
"""170460 CHAPADA DE AREIA"";-;8115;-;4262;12377"
"""170510 CHAPADA DA NATIVIDADE"";105;18;-;790;913"
"""170550 COLINAS DO TOCANTINS"";24667;215887;566;1447;242567"
"""170555 COMBINADO"";178;19001;-;3940;23119"
"""170560 CONCEICAO DO TOCANTINS"";151;10458;-;6627;17236"
"""170600 COUTO MAGALHAES"";13228;14147;-;337;27712"
"""170610 CRISTALANDIA"";10556;27165;21;286;38028"
"""170625 CRIXAS DO TOCANTINS"";7597;121;-;1926;9644"
"""170650 DARCINOPOLIS"";-;-;-;488;488"
"""170700 DIANOPOLIS"";3655;170084;-;761;174500"
"""170710 DIVINOPOLIS DO TOCANTINS"";234897;74712;104;14424;324137"
"""170720 DOIS IRMAOS DO TOCANTINS"";7469;28420;-;300;36189"
"""170730 DUERE"";8105;-;-;134;8239"
"""170740 ESPERANTINA"";608;26414;-;9002;36024"
"""170755 FATIMA"";110;220;-;661;991"
"""170765 FIGUEIROPOLIS"";-;10753;-;4364;15117"
"""170770 FILADELFIA"";30938;9215;-;674;40827"
"""170820 FORMOSO DO ARAGUAIA"";16893;136392;56;10826;164167"
"""170825 TABOCAO"";387;166;-;7225;7778"
"""170830 GOIANORTE"";288;6476;-;491;7255"
"""170900 GOIATINS"";26595;16534;-;7790;50919"
"""170930 GUARAI"";4609;271800;713;3525;280647"
"""170950 GURUPI"";268118;977658;266673;56139;1568588"
"""170980 IPUEIRAS"";575;686;-;1201;2462"
"""171050 ITACAJA"";6696;30611;-;959;38266"
"""171070 ITAGUATINS"";256;292;-;632;1180"
"""171090 ITAPIRATINS"";-;8962;-;715;9677"
"""171110 ITAPORA DO TOCANTINS"";7208;11358;-;228;18794"
"""171150 JAU DO TOCANTINS"";6488;9905;-;2407;18800"
"""171180 JUARINA"";-;-;-;122;122"
"""171190 LAGOA DA CONFUSAO"";118958;4918;-;1035;124911"
"""171195 LAGOA DO TOCANTINS"";-;-;-;56;56"
"""171200 LAJEADO"";853;14657;-;2353;17863"
"""171215 LAVANDEIRA"";457;3151;-;4614;8222"
"""171245 LUZINOPOLIS"";-;-;-;5320;5320"
"""171250 MARIANOPOLIS DO TOCANTINS"";4554;15068;-;3877;23499"
"""171270 MATEIROS"";164;75;-;386;625"
"""171280 MAURILANDIA DO TOCANTINS"";626;330;-;1223;2179"
"""171320 MIRACEMA DO TOCANTINS"";33364;392774;-;6686;432824"
"""171330 MIRANORTE"";11835;86973;-;7464;106272"
"""171360 MONTE DO CARMO"";113098;41392;-;3842;158332"
"""171370 MONTE SANTO DO TOCANTINS"";-;14154;-;3625;17779"
"""171380 PALMEIRAS DO TOCANTINS"";-;10329;-;30;10359"
"""171395 MURICILANDIA"";-;-;-;1338;1338"
"""171420 NATIVIDADE"";45399;74478;111;8773;128761"
"""171430 NAZARE"";13624;3480;-;247;17351"
"""171488 NOVA OLINDA"";12263;30768;-;911;43942"
"""171500 NOVA ROSALANDIA"";13487;12059;-;4530;30076"
"""171510 NOVO ACORDO"";309;105;-;727;1141"
"""171515 NOVO ALEGRE"";102;7698;-;22666;30466"
"""171525 NOVO JARDIM"";-;8;-;2300;2308"
"""171550 OLIVEIRA DE FATIMA"";312;567;-;144;1023"
"""171570 PALMEIRANTE"";-;-;-;1194;1194"
"""171575 PALMEIROPOLIS"";313911;76845;1;4664;395421"
"""171610 PARAISO DO TOCANTINS"";687098;480450;-;28777;1196325"
"""171620 PARANA"";35365;90040;-;19121;144526"
"""171630 PAU D'ARCO"";-;-;-;262;262"
"""171650 PEDRO AFONSO"";39912;128057;-;656;168625"
"""171660 PEIXE"";39609;88093;-;352618;480320"
"""171665 PEQUIZEIRO"";3135;40766;-;21327;65228"
"""171670 COLMEIA"";83476;33555;-;351;117382"
"""171700 PINDORAMA DO TOCANTINS"";58859;41090;66;3666;103681"
"""171720 PIRAQUE"";5229;1165;-;197;6591"
"""171750 PIUM"";16310;44717;-;1876;62903"
"""171780 PONTE ALTA DO BOM JESUS"";709;5102;-;12995;18806"
"""171790 PONTE ALTA DO TOCANTINS"";20050;63446;-;3467;86963"
"""171800 PORTO ALEGRE DO TOCANTINS"";-;-;-;286;286"
"""171820 PORTO NACIONAL"";168643;1164716;189467;29956;1552782"
"""171830 PRAIA NORTE"";251;1373;-;17186;18810"
"""171840 PRESIDENTE KENNEDY"";1846;24697;-;272;26815"
"""171845 PUGMIL"";672;8795;-;657;10124"
"""171850 RECURSOLANDIA"";597;121;-;4621;5339"
"""171855 RIACHINHO"";6836;7191;-;1783;15810"
"""171865 RIO DA CONCEICAO"";-;529;-;2203;2732"
"""171870 RIO DOS BOIS"";124;55;-;210;389"
"""171875 RIO SONO"";3315;8098;-;6170;17583"
"""171880 SAMPAIO"";-;-;-;547;547"
"""171884 SANDOLANDIA"";25;96;-;2609;2730"
"""171886 SANTA FE DO ARAGUAIA"";-;168;-;1257;1425"
"""171888 SANTA MARIA DO TOCANTINS"";-;-;-;163;163"
"""171889 SANTA RITA DO TOCANTINS"";44;293;-;1858;2195"
"""171890 SANTA ROSA DO TOCANTINS"";-;-;-;1378;1378"
"""171900 SANTA TEREZA DO TOCANTINS"";40;793;-;1134;1967"
"""172000 SANTA TEREZINHA DO TOCANTINS"";80;5751;-;1530;7361"
"""172010 SAO BENTO DO TOCANTINS"";-;-;-;426;426"
"""172020 SAO MIGUEL DO TOCANTINS"";41381;1287;-;3762;46430"
"""172025 SAO SALVADOR DO TOCANTINS"";1631;5034;-;4834;11499"
"""172030 SAO SEBASTIAO DO TOCANTINS"";145;-;-;454;599"
"""172049 SAO VALERIO"";3909;9362;-;3977;17248"
"""172065 SILVANOPOLIS"";137233;41757;-;1392;180382"
"""172080 SITIO NOVO DO TOCANTINS"";858;35262;295;489;36904"
"""172085 SUCUPIRA"";1002;825;-;7346;9173"
