"""Regi∆o de Sa£de/Munic°pio"";""2021"";""2022"";""2023"";""2024"";""2025"";""2026"";""Total"""
""".....  PIRASSUNUNGA"";21;2303;2532;2563;2674;190;10283"
"""35102 Limeira"";319;14722;15708;16309;16213;1044;64315"
""".....  LIMEIRA"";319;14722;15708;16309;16213;1044;64315"
"""35103 Piracicaba"";891;38480;42706;46918;44063;2894;175952"
""".....  PIRACICABA"";854;32079;36103;39155;36010;2406;146607"
""".....  CAPIVARI"";23;2468;2579;2852;2652;85;10659"
""".....  RIO DAS PEDRAS"";4;893;946;904;933;50;3730"
""".....  CHARQUEADA"";2;398;302;324;293;27;1346"
""".....  SAO PEDRO"";8;2642;2776;3683;4175;326;13610"
"""35104 Rio Claro"";128;8667;9410;10142;11155;635;40137"
""".....  RIO CLARO"";124;8496;9283;10018;11016;633;39570"
""".....  ITIRAPINA"";4;171;127;124;139;2;567"
"""35111 Alta Paulista"";34;5865;5413;5857;5855;439;23463"
""".....  PANORAMA"";2;271;-;-;-;-;273"
""".....  JUNQUEIROPOLIS"";-;1522;1286;1206;1218;85;5317"
""".....  TUPI PAULISTA"";5;1067;1032;1111;1267;118;4600"
""".....  DRACENA"";27;3005;3095;3540;3370;236;13273"
"""35112 Alta Sorocabana"";950;43497;44609;46160;51950;3700;190866"
""".....  SANTO ANASTACIO"";4;1611;2005;1837;2119;173;7749"
""".....  PRESIDENTE BERNARDES"";7;854;1266;1382;1276;98;4883"
""".....  ALVARES MACHADO"";-;640;860;767;808;75;3150"
""".....  MARTINOPOLIS"";11;1744;1836;2114;2955;216;8876"
""".....  PRESIDENTE PRUDENTE"";923;38070;37959;39260;43616;3096;162924"
""".....  REGENTE FEIJO"";5;578;683;800;1176;42;3284"
"""35113 Alto Capivari"";91;3928;4242;4355;5019;385;18020"
""".....  IEPE"";53;713;767;611;750;50;2944"
""".....  RANCHARIA"";38;3215;3475;3744;4269;335;15076"
"""35114 Extremo Oeste Paulista"";46;4500;4876;5549;5490;364;20825"
""".....  PRESIDENTE VENCESLAU"";25;2134;2387;2531;2438;140;9655"
""".....  PRESIDENTE EPITACIO"";21;2366;2489;3018;3052;224;11170"
"""35115 Pontal do Paranapanema"";56;4650;4272;4045;4439;289;17751"
""".....  TEODORO SAMPAIO"";15;1399;1126;839;1197;73;4649"
""".....  ROSANA"";41;3251;3146;3206;3242;216;13102"
"""35121 Vale do Ribeira"";278;17104;19467;20447;19083;1247;77626"
""".....  REGISTRO"";141;7982;10654;11163;9296;493;39729"
""".....  PARIQUERA-ACU"";137;9122;8813;9284;9787;754;37897"
"""35131 Horizonte Verde"";213;15836;16412;16209;15969;1109;65748"
""".....  JABOTICABAL"";31;2466;2344;2136;2186;169;9332"
""".....  MONTE ALTO"";21;2244;2420;2677;2647;166;10175"
""".....  SERTAOZINHO"";108;6512;6822;6335;6637;475;26889"
""".....  PONTAL"";12;1733;1691;1781;1521;85;6823"
