"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""150750 SAO JOAO DO ARAGUAIA"";-;56810,08;56810,08"
"""150760 SAO MIGUEL DO GUAMA"";108906,62;734926,67;843833,29"
"""150770 SAO SEBASTIAO DA BOA VISTA"";44797,22;580340,12;625137,34"
"""150775 SAPUCAIA"";-;135214,76;135214,76"
"""150780 SENADOR JOSE PORFIRIO"";-;227369,64;227369,64"
"""150790 SOURE"";34090,59;469637,56;503728,15"
"""150795 TAILANDIA"";484618,98;2169326,89;2653945,87"
"""150797 TERRA SANTA"";64042,80;415323,12;479365,92"
"""150800 TOME-ACU"";37986,19;1423541,45;1461527,64"
"""150803 TRACUATEUA"";-;397013,08;397013,08"
"""150805 TRAIRAO"";96100,77;391911,44;488012,21"
"""150808 TUCUMA"";-;1508398,77;1508398,77"
"""150810 TUCURUI"";1477228,47;8597254,19;10074482,66"
"""150812 ULIANOPOLIS"";273316,85;1726625,08;1999941,93"
"""150815 URUARA"";262552,24;1303896,70;1566448,94"
"""150820 VIGIA"";9103,00;700830,54;709933,54"
"""150830 VISEU"";289563,02;791174,72;1080737,74"
"""150835 VITORIA DO XINGU"";119642,67;830336,58;949979,25"
"""150840 XINGUARA"";107939,65;1262299,01;1370238,66"
"""160005 SERRA DO NAVIO"";-;14945,47;14945,47"
"""160010 AMAPA"";-;68451,90;68451,90"
"""160015 PEDRA BRANCA DO AMAPARI"";-;66933,63;66933,63"
"""160020 CALCOENE"";-;85245,23;85245,23"
"""160023 FERREIRA GOMES"";-;24279,65;24279,65"
"""160027 LARANJAL DO JARI"";78900,88;1928892,05;2007792,93"
"""160030 MACAPA"";3101423,05;39910447,98;43011871,03"
"""160040 MAZAGAO"";-;47456,07;47456,07"
"""160050 OIAPOQUE"";55727,66;661946,35;717674,01"
"""160053 PORTO GRANDE"";-;29765,96;29765,96"
"""160060 SANTANA"";44253,27;3563671,06;3607924,33"
"""160070 TARTARUGALZINHO"";-;51904,69;51904,69"
"""170070 ALVORADA"";53549,30;109572,06;163121,36"
"""170100 ANANAS"";-;43247,77;43247,77"
"""170190 ARAGUACEMA"";66643,41;219182,28;285825,69"
"""170200 ARAGUACU"";20203,00;104812,23;125015,23"
"""170210 ARAGUAINA"";8586099,92;32205322,40;40791422,32"
"""170220 ARAGUATINS"";170973,84;211767,66;382741,50"
"""170230 ARAPOEMA"";271759,31;303259,14;575018,45"
"""170240 ARRAIAS"";132965,00;537938,36;670903,36"
"""170255 AUGUSTINOPOLIS"";417142,09;2028654,32;2445796,41"
"""170370 BREJINHO DE NAZARE"";-;9664,26;9664,26"
"""170550 COLINAS DO TOCANTINS"";271287,49;704506,67;975794,16"
"""170610 CRISTALANDIA"";-;1794,19;1794,19"
"""170700 DIANOPOLIS"";317896,63;568775,85;886672,48"
"""170710 DIVINOPOLIS DO TOCANTINS"";28661,36;15168,13;43829,49"
"""170730 DUERE"";29280,68;24501,11;53781,79"
"""170820 FORMOSO DO ARAGUAIA"";91475,20;268611,62;360086,82"
"""170900 GOIATINS"";-;51837,56;51837,56"
"""170930 GUARAI"";617053,99;1134214,28;1751268,27"
"""170950 GURUPI"";676314,95;8968085,39;9644400,34"
"""171050 ITACAJA"";-;15934,85;15934,85"
"""171190 LAGOA DA CONFUSAO"";-;23029,01;23029,01"
"""171320 MIRACEMA DO TOCANTINS"";1011455,37;2116849,43;3128304,80"
"""171420 NATIVIDADE"";-;23531,99;23531,99"
"""171575 PALMEIROPOLIS"";-;1376,60;1376,60"
"""171610 PARAISO DO TOCANTINS"";683866,57;2640604,54;3324471,11"
"""171620 PARANA"";-;135983,01;135983,01"
"""171650 PEDRO AFONSO"";162225,16;386228,30;548453,46"
"""171660 PEIXE"";77652,40;76227,03;153879,43"
"""171700 PINDORAMA DO TOCANTINS"";143748,05;-;143748,05"
"""171750 PIUM"";161008,30;103252,04;264260,34"
"""171790 PONTE ALTA DO TOCANTINS"";-;16992,77;16992,77"
"""171820 PORTO NACIONAL"";390097,91;2543160,51;2933258,42"
"""172065 SILVANOPOLIS"";-;19405,79;19405,79"
"""172080 SITIO NOVO DO TOCANTINS"";277297,08;56148,42;333445,50"
"""172090 TAGUATINGA"";83132,47;211082,22;294214,69"
"""172100 PALMAS"";6339823,41;40966602,83;47306426,24"
"""172120 TOCANTINOPOLIS"";143258,86;328237,28;471496,14"
"""172210 XAMBIOA"";420784,76;294450,15;715234,91"
"""210005 ACAILANDIA"";597113,35;6399978,69;6997092,04"
"""210010 AFONSO CUNHA"";-;125150,42;125150,42"
"""210020 ALCANTARA"";-;98679,28;98679,28"
"""210030 ALDEIAS ALTAS"";-;183154,61;183154,61"
"""210043 ALTO ALEGRE DO MARANHAO"";-;1898265,79;1898265,79"
"""210047 ALTO ALEGRE DO PINDARE"";22854,72;1096464,15;1119318,87"
"""210050 ALTO PARNAIBA"";-;83261,97;83261,97"
"""210060 AMARANTE DO MARANHAO"";66736,60;1282876,07;1349612,67"
"""210070 ANAJATUBA"";-;157919,03;157919,03"
"""210080 ANAPURUS"";-;192793,91;192793,91"
"""210083 APICUM-ACU"";-;369204,15;369204,15"
"""210087 ARAGUANA"";-;381042,96;381042,96"
"""210090 ARAIOSES"";-;56326,70;56326,70"
"""210095 ARAME"";-;611978,39;611978,39"
"""210100 ARARI"";-;272669,92;272669,92"
"""210110 AXIXA"";162946,04;83894,76;246840,80"
"""210120 BACABAL"";640119,39;8851419,05;9491538,44"
"""210125 BACABEIRA"";-;158143,23;158143,23"
"""210130 BACURI"";-;403843,27;403843,27"
"""210140 BALSAS"";167114,19;6920360,87;7087475,06"
"""210150 BARAO DE GRAJAU"";-;135310,50;135310,50"
"""210160 BARRA DO CORDA"";177616,43;4997445,75;5175062,18"
"""210170 BARREIRINHAS"";65651,44;5199059,82;5264711,26"
"""210177 BELA VISTA DO MARANHAO"";-;231787,23;231787,23"
"""210190 BEQUIMAO"";-;233835,86;233835,86"
"""210193 BERNARDO DO MEARIM"";-;47883,22;47883,22"
"""210200 BOM JARDIM"";-;741525,70;741525,70"
"""210203 BOM JESUS DAS SELVAS"";-;519280,66;519280,66"
"""210210 BREJO"";-;526319,62;526319,62"
"""210220 BURITI"";-;297270,47;297270,47"
"""210230 BURITI BRAVO"";28852,44;404314,23;433166,67"
"""210232 BURITICUPU"";136169,57;1468869,55;1605039,12"
"""210240 CAJAPIO"";-;160220,33;160220,33"
"""210250 CAJARI"";-;116595,23;116595,23"
"""210260 CANDIDO MENDES"";-;81790,42;81790,42"
"""210270 CANTANHEDE"";6291,04;436105,57;442396,61"
"""210275 CAPINZAL DO NORTE"";-;48171,05;48171,05"
"""210280 CAROLINA"";-;744263,78;744263,78"
"""210290 CARUTAPERA"";142081,63;1208217,69;1350299,32"
"""210300 CAXIAS"";1572265,88;19051575,42;20623841,30"
"""210310 CEDRAL"";-;263448,08;263448,08"
"""210312 CENTRAL DO MARANHAO"";-;141812,64;141812,64"
"""210320 CHAPADINHA"";631159,29;2514182,72;3145342,01"
"""210325 CIDELANDIA"";-;319208,72;319208,72"
"""210330 CODO"";-;3492571,07;3492571,07"
"""210340 COELHO NETO"";69601,17;1067351,46;1136952,63"
"""210350 COLINAS"";100922,77;3970646,31;4071569,08"
"""210355 CONCEICAO DO LAGO-ACU"";-;219941,98;219941,98"
"""210360 COROATA"";116048,10;9308565,41;9424613,51"
"""210370 CURURUPU"";-;2299261,26;2299261,26"
"""210380 DOM PEDRO"";-;635403,54;635403,54"
"""210390 DUQUE BACELAR"";-;240546,04;240546,04"
"""210400 ESPERANTINOPOLIS"";199,00;664468,84;664667,84"
"""210405 ESTREITO"";-;815065,07;815065,07"
"""210407 FEIRA NOVA DO MARANHAO"";-;227176,13;227176,13"
"""210408 FERNANDO FALCAO"";-;117445,05;117445,05"
"""210409 FORMOSA DA SERRA NEGRA"";-;233937,16;233937,16"
"""210410 FORTALEZA DOS NOGUEIRAS"";-;234141,05;234141,05"
"""210420 FORTUNA"";-;134900,65;134900,65"
"""210440 GONCALVES DIAS"";-;276131,92;276131,92"
"""210450 GOVERNADOR ARCHER"";-;224117,43;224117,43"
"""210455 GOVERNADOR EDISON LOBAO"";-;117522,30;117522,30"
"""210460 GOVERNADOR EUGENIO BARROS"";-;408048,09;408048,09"
"""210462 GOVERNADOR LUIZ ROCHA"";-;202103,96;202103,96"
"""210465 GOVERNADOR NEWTON BELLO"";-;200867,93;200867,93"
"""210467 GOVERNADOR NUNES FREIRE"";113938,46;1961719,91;2075658,37"
"""210470 GRACA ARANHA"";-;39526,63;39526,63"
