"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""210280 CAROLINA"";87762,67;-;704812,04;792574,71"
"""210290 CARUTAPERA"";107314,24;-;1408268,45;1515582,69"
"""210300 CAXIAS"";5058283,25;-;18904562,57;23962845,82"
"""210310 CEDRAL"";-;-;58442,28;58442,28"
"""210312 CENTRAL DO MARANHAO"";-;-;132175,71;132175,71"
"""210320 CHAPADINHA"";332548,10;-;3878604,15;4211152,25"
"""210325 CIDELANDIA"";10657,58;-;308580,67;319238,25"
"""210330 CODO"";-;12923,51;3764889,85;3777813,36"
"""210340 COELHO NETO"";8298,94;-;1042546,68;1050845,62"
"""210350 COLINAS"";136972,21;-;3685539,84;3822512,05"
"""210355 CONCEICAO DO LAGO-ACU"";-;-;130067,59;130067,59"
"""210360 COROATA"";231394,58;-;11404030,13;11635424,71"
"""210370 CURURUPU"";-;-;2264015,07;2264015,07"
"""210380 DOM PEDRO"";-;-;546040,71;546040,71"
"""210390 DUQUE BACELAR"";-;-;207163,34;207163,34"
"""210400 ESPERANTINOPOLIS"";-;-;592413,56;592413,56"
"""210405 ESTREITO"";-;-;342278,43;342278,43"
"""210407 FEIRA NOVA DO MARANHAO"";-;-;228687,15;228687,15"
"""210408 FERNANDO FALCAO"";-;-;125912,30;125912,30"
"""210409 FORMOSA DA SERRA NEGRA"";-;-;227907,38;227907,38"
"""210410 FORTALEZA DOS NOGUEIRAS"";-;-;307053,33;307053,33"
"""210420 FORTUNA"";-;-;278433,66;278433,66"
"""210440 GONCALVES DIAS"";-;-;285031,93;285031,93"
"""210450 GOVERNADOR ARCHER"";-;-;255451,57;255451,57"
"""210455 GOVERNADOR EDISON LOBAO"";-;-;100209,18;100209,18"
"""210460 GOVERNADOR EUGENIO BARROS"";-;-;420578,30;420578,30"
"""210462 GOVERNADOR LUIZ ROCHA"";-;-;208536,95;208536,95"
"""210465 GOVERNADOR NEWTON BELLO"";-;-;81606,48;81606,48"
"""210467 GOVERNADOR NUNES FREIRE"";187533,47;-;1217116,05;1404649,52"
"""210470 GRACA ARANHA"";-;-;86954,40;86954,40"
"""210480 GRAJAU"";-;-;6364993,47;6364993,47"
"""210490 GUIMARAES"";-;-;145519,69;145519,69"
"""210500 HUMBERTO DE CAMPOS"";-;-;569893,47;569893,47"
"""210510 ICATU"";-;-;114520,51;114520,51"
"""210515 IGARAPE DO MEIO"";-;-;240161,70;240161,70"
"""210520 IGARAPE GRANDE"";-;-;246618,00;246618,00"
"""210530 IMPERATRIZ"";1161309,96;-;44679586,39;45840896,35"
"""210535 ITAIPAVA DO GRAJAU"";6892,61;-;294271,42;301164,03"
"""210540 ITAPECURU MIRIM"";38855,94;-;1464826,88;1503682,82"
"""210542 ITINGA DO MARANHAO"";95454,47;-;613536,63;708991,10"
"""210545 JATOBA"";-;-;71535,42;71535,42"
"""210547 JENIPAPO DOS VIEIRAS"";-;-;163239,64;163239,64"
"""210550 JOAO LISBOA"";-;-;586861,87;586861,87"
"""210560 JOSELANDIA"";-;-;265436,15;265436,15"
"""210570 LAGO DA PEDRA"";-;-;5746207,61;5746207,61"
"""210580 LAGO DO JUNCO"";-;-;250171,76;250171,76"
"""210590 LAGO VERDE"";-;-;25470,80;25470,80"
"""210594 LAGO DOS RODRIGUES"";-;-;32232,77;32232,77"
"""210596 LAGOA GRANDE DO MARANHAO"";-;-;166329,84;166329,84"
"""210600 LIMA CAMPOS"";60571,61;-;268087,01;328658,62"
"""210610 LORETO"";48717,94;-;243122,71;291840,65"
"""210630 MAGALHAES DE ALMEIDA"";-;-;143754,49;143754,49"
"""210637 MARANHAOZINHO"";-;-;284059,09;284059,09"
"""210640 MATA ROMA"";-;-;288045,89;288045,89"
"""210650 MATINHA"";-;-;365259,35;365259,35"
"""210660 MATOES"";42189,89;-;615070,46;657260,35"
