"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""210725 NOVA COLINAS"";384;-;384"
"""210735 NOVA OLINDA DO MARANHAO"";1596;-;1596"
"""210740 OLHO D'AGUA DAS CUNHAS"";1251;-;1251"
"""210745 OLINDA NOVA DO MARANHAO"";852;-;852"
"""210750 PACO DO LUMIAR"";2513;-;2513"
"""210760 PALMEIRANDIA"";798;-;798"
"""210770 PARAIBANO"";831;-;831"
"""210780 PARNARAMA"";1628;-;1628"
"""210790 PASSAGEM FRANCA"";4655;-;4655"
"""210800 PASTOS BONS"";1148;-;1148"
"""210805 PAULINO NEVES"";1383;-;1383"
"""210810 PAULO RAMOS"";1986;-;1986"
"""210820 PEDREIRAS"";5045;-;5045"
"""210825 PEDRO DO ROSARIO"";410;-;410"
"""210830 PENALVA"";933;-;933"
"""210840 PERI MIRIM"";59;-;59"
"""210845 PERITORO"";3079;6;3085"
"""210850 PINDARE-MIRIM"";454;-;454"
"""210860 PINHEIRO"";9864;3;9867"
"""210870 PIO XII"";1593;-;1593"
"""210880 PIRAPEMAS"";416;-;416"
"""210890 POCAO DE PEDRAS"";904;-;904"
"""210900 PORTO FRANCO"";2862;-;2862"
"""210910 PRESIDENTE DUTRA"";8592;4;8596"
"""210920 PRESIDENTE JUSCELINO"";334;-;334"
"""210923 PRESIDENTE MEDICI"";1538;-;1538"
"""210927 PRESIDENTE SARNEY"";409;-;409"
"""210930 PRESIDENTE VARGAS"";317;-;317"
"""210940 PRIMEIRA CRUZ"";913;-;913"
"""210945 RAPOSA"";410;-;410"
"""210950 RIACHAO"";1322;1;1323"
"""210960 ROSARIO"";2430;-;2430"
"""210970 SAMBAIBA"";385;-;385"
"""210980 SANTA HELENA"";2026;-;2026"
"""210990 SANTA INES"";12956;3;12959"
"""211000 SANTA LUZIA"";3252;-;3252"
"""211003 SANTA LUZIA DO PARUA"";3454;4;3458"
"""211010 SANTA QUITERIA DO MARANHAO"";1463;3;1466"
"""211020 SANTA RITA"";1819;-;1819"
"""211023 SANTANA DO MARANHAO"";619;-;619"
"""211027 SANTO AMARO DO MARANHAO"";377;-;377"
"""211030 SANTO ANTONIO DOS LOPES"";755;-;755"
"""211040 SAO BENEDITO DO RIO PRETO"";815;-;815"
"""211050 SAO BENTO"";2025;-;2025"
"""211060 SAO BERNARDO"";1984;-;1984"
"""211065 SAO DOMINGOS DO AZEITAO"";600;-;600"
"""211070 SAO DOMINGOS DO MARANHAO"";1584;-;1584"
"""211080 SAO FELIX DE BALSAS"";311;-;311"
"""211085 SAO FRANCISCO DO BREJAO"";403;-;403"
"""211090 SAO FRANCISCO DO MARANHAO"";729;-;729"
"""211100 SAO JOAO BATISTA"";1325;-;1325"
"""211102 SAO JOAO DO CARU"";506;-;506"
"""211107 SAO JOAO DO SOTER"";1311;-;1311"
"""211110 SAO JOAO DOS PATOS"";1456;-;1456"
"""211120 SAO JOSE DE RIBAMAR"";3149;-;3149"
"""211125 SAO JOSE DOS BASILIOS"";466;-;466"
"""211130 SAO LUIS"";106691;12793;119484"
"""211140 SAO LUIS GONZAGA DO MARANHAO"";2002;-;2002"
"""211150 SAO MATEUS DO MARANHAO"";1922;-;1922"
"""211153 SAO PEDRO DA AGUA BRANCA"";860;-;860"
"""211157 SAO PEDRO DOS CRENTES"";1104;-;1104"
