"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""130350 PAUINI"";-;-;-;-;-;-;-;-;-;-;-;-;1218;-;-;-;-;-;-;-;-;-;-;-;-;-;1218"
"""130353 PRESIDENTE FIGUEIREDO"";-;-;-;-;-;-;-;-;-;-;-;-;1136;-;-;-;-;-;-;-;-;-;-;-;-;-;1136"
"""130356 RIO PRETO DA EVA"";-;-;-;-;-;-;-;-;-;-;-;-;455;-;-;-;-;-;-;-;-;-;-;-;-;-;455"
"""130360 SANTA ISABEL DO RIO NEGRO"";-;-;-;-;-;-;-;-;-;-;-;-;703;-;-;-;-;-;-;-;-;-;-;-;-;-;703"
"""130370 SANTO ANTONIO DO ICA"";-;-;-;-;-;-;-;-;-;-;-;-;1130;-;-;-;-;-;-;-;-;-;-;-;-;-;1130"
"""130380 SAO GABRIEL DA CACHOEIRA"";1997;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1997"
"""130390 SAO PAULO DE OLIVENCA"";-;-;-;-;-;-;-;-;-;-;-;-;2029;-;-;-;-;-;-;-;-;-;-;-;-;-;2029"
"""130395 SAO SEBASTIAO DO UATUMA"";-;-;-;-;-;-;-;-;-;-;-;-;748;-;-;-;-;-;-;-;-;-;-;-;-;-;748"
"""130400 SILVES"";-;-;-;-;-;-;-;-;-;-;-;-;694;-;-;-;-;-;-;-;-;-;-;-;-;-;694"
"""130406 TABATINGA"";458;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;458"
"""130410 TAPAUA"";-;241;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;241"
"""130420 TEFE"";-;-;-;-;-;-;-;-;-;-;-;-;6058;-;-;-;-;-;-;-;-;-;-;-;-;-;6058"
"""130423 TONANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;1418;-;-;-;-;-;-;-;-;-;-;-;-;-;1418"
"""130426 UARINI"";-;-;-;-;-;-;-;-;-;-;-;-;866;-;-;-;-;-;-;-;-;-;-;-;-;-;866"
"""130430 URUCARA"";-;-;-;-;-;-;-;-;-;-;-;-;820;-;-;-;-;-;-;-;-;-;-;-;-;-;820"
"""130440 URUCURITUBA"";-;-;-;-;-;-;-;-;-;-;-;-;346;-;-;-;-;-;-;-;-;-;-;-;-;-;346"
"""140005 ALTO ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131"
"""140010 BOA VISTA"";-;-;-;-;-;-;-;-;-;-;-;24314;7404;-;-;-;-;1805;-;-;-;255;-;-;-;-;33778"
"""140015 BONFIM"";-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28"
"""140020 CARACARAI"";-;-;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125"
"""140023 CAROEBE"";-;-;-;-;-;-;-;-;-;-;-;112;-;-;-;-;-;-;-;-;-;-;-;-;-;-;112"
"""140030 MUCAJAI"";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17"
"""140040 NORMANDIA"";-;-;-;-;-;-;-;-;-;-;-;162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;162"
"""140045 PACARAIMA"";-;-;-;-;-;-;-;-;-;-;-;402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;402"
"""140047 RORAINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;2146;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2146"
"""140050 SAO JOAO DA BALIZA"";-;-;-;-;-;-;-;-;-;-;-;396;-;-;-;-;-;-;-;-;-;-;-;-;-;-;396"
"""140060 SAO LUIZ"";-;-;-;-;-;-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;91"
"""150010 ABAETETUBA"";-;6336;-;-;-;-;-;-;-;-;-;-;774;-;-;-;-;4816;-;-;-;-;-;-;-;-;11926"
"""150013 ABEL FIGUEIREDO"";-;-;-;-;-;-;-;-;-;-;-;-;423;-;-;-;-;-;-;-;-;-;-;-;-;-;423"
"""150020 ACARA"";-;-;-;-;-;-;-;-;-;-;-;-;1756;-;-;-;-;-;-;-;-;-;-;-;-;-;1756"
"""150030 AFUA"";-;-;-;-;-;-;-;-;-;-;-;-;1039;-;-;-;-;-;-;-;-;-;-;-;-;-;1039"
"""150034 AGUA AZUL DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;1039;-;-;-;-;-;-;-;-;-;-;-;-;-;1039"
"""150040 ALENQUER"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5571;5571"
"""150050 ALMEIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;2078;-;-;-;-;-;-;-;-;-;-;-;-;-;2078"
"""150060 ALTAMIRA"";-;5363;-;-;-;-;-;-;-;-;-;-;6248;-;-;-;-;-;-;-;-;-;-;-;-;-;11611"
"""150070 ANAJAS"";-;-;-;-;-;-;-;-;-;-;-;-;1607;-;-;-;-;-;-;-;-;-;-;-;-;-;1607"
"""150080 ANANINDEUA"";-;11516;468;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3570;-;-;-;-;-;-;-;9115;24669"
"""150085 ANAPU"";-;-;-;-;-;-;-;-;-;-;-;-;1311;-;-;-;-;-;-;-;-;-;-;-;-;-;1311"
"""150090 AUGUSTO CORREA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3806;3806"
"""150095 AURORA DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;1523;-;-;-;-;-;-;-;-;-;-;-;-;-;1523"
"""150110 BAGRE"";-;-;-;-;-;-;-;-;-;-;-;-;425;-;-;-;-;-;-;-;-;-;-;-;-;-;425"
"""150120 BAIAO"";-;-;-;-;-;-;-;-;-;-;-;-;2326;-;-;-;-;-;-;-;-;-;-;-;-;-;2326"
"""150125 BANNACH"";-;-;-;-;-;-;-;-;-;-;-;-;196;-;-;-;-;-;-;-;-;-;-;-;-;-;196"
"""150130 BARCARENA"";-;2804;-;-;-;-;-;-;-;-;-;-;4869;-;-;-;-;-;-;-;-;-;-;-;-;-;7673"
"""150140 BELEM"";-;27224;23644;-;8034;-;-;37011;-;-;-;-;-;-;-;6275;-;7136;-;-;-;-;-;-;-;33870;143194"
"""150145 BELTERRA"";-;-;-;-;-;-;-;-;-;-;-;-;407;-;-;-;-;-;-;-;-;-;-;-;-;-;407"
"""150157 BOM JESUS DO TOCANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;1065;-;-;-;-;-;-;-;-;-;-;-;-;-;1065"
"""150170 BRAGANCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11195;11195"
"""150172 BRASIL NOVO"";-;-;-;-;-;-;-;-;-;-;-;-;2642;-;-;-;-;-;-;-;-;-;-;-;-;-;2642"
