"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""204-6 Sociedade Anìnima Aberta"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""399-9 Associaá∆o Privada"";""Total"""
"""150320 IGARAPE-ACU"";-;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;81"
"""150330 IGARAPE-MIRI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;378;-;-;-;-;-;-;-;378"
"""150345 IPIXUNA DO PARA"";-;91;-;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;-;-;-;216"
"""150360 ITAITUBA"";-;428;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;428"
"""150380 JACUNDA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;247;-;-;-;-;-;-;-;247"
"""150390 JURUTI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;37"
"""150400 LIMOEIRO DO AJURU"";-;-;-;-;-;-;-;-;-;-;-;-;148;-;-;-;-;-;-;-;-;-;-;-;-;-;148"
"""150405 MAE DO RIO"";-;-;-;-;-;-;-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;87"
"""150420 MARABA"";-;301;-;-;-;-;-;-;-;-;-;-;1097;-;-;-;-;-;-;-;-;-;-;-;-;-;1398"
"""150442 MARITUBA"";-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;630;697"
"""150445 MEDICILANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;145;-;-;-;-;-;-;-;-;-;-;-;-;-;145"
"""150450 MELGACO"";-;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;81"
"""150470 MOJU"";-;-;-;-;-;-;-;-;-;-;-;-;149;-;-;-;-;-;-;-;-;-;-;-;-;-;149"
"""150480 MONTE ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;344;-;-;-;-;-;-;-;-;-;-;-;-;-;344"
"""150495 NOVA ESPERANCA DO PIRIA"";-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;49"
"""150506 NOVO REPARTIMENTO"";-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;67"
"""150520 OEIRAS DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;-;-;-;99"
"""150530 ORIXIMINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105;105"
"""150540 OUREM"";-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;57"
"""150543 OURILANDIA DO NORTE"";-;476;-;-;-;-;-;-;-;-;-;-;255;-;-;-;-;-;-;-;-;-;-;-;-;-;731"
"""150549 PALESTINA DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;152;-;-;-;-;-;-;-;-;-;-;-;-;-;152"
"""150550 PARAGOMINAS"";-;201;-;-;-;-;-;-;-;-;-;-;452;-;-;-;-;-;-;-;-;-;-;-;-;-;653"
"""150553 PARAUAPEBAS"";-;-;-;-;-;-;-;-;-;-;-;-;960;-;-;-;-;-;17;-;-;-;-;-;-;-;977"
"""150555 PAU D'ARCO"";-;-;-;-;-;-;-;-;-;-;-;-;111;-;-;-;-;-;-;-;-;-;-;-;-;-;111"
"""150563 PICARRA"";-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""150565 PLACAS"";-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;80"
"""150570 PONTA DE PEDRAS"";-;-;-;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;96"
"""150580 PORTEL"";-;-;-;-;-;-;-;-;-;-;-;-;248;-;-;-;-;-;-;-;-;-;-;-;-;-;248"
"""150590 PORTO DE MOZ"";-;-;-;-;-;-;-;-;-;-;-;-;202;-;-;-;-;-;-;-;-;-;-;-;-;-;202"
"""150613 REDENCAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;567;567"
"""150616 RIO MARIA"";-;125;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;-;-;-;215"
"""150618 RONDON DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;230;-;-;-;-;-;-;-;-;-;-;-;-;-;230"
"""150620 SALINOPOLIS"";-;240;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;240"
"""150640 SANTA CRUZ DO ARARI"";-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;54"
"""150650 SANTA IZABEL DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;322;-;-;-;-;-;-;-;-;-;-;-;-;-;322"
"""150658 SANTA MARIA DAS BARREIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;59"
"""150660 SANTA MARIA DO PARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;306;306"
"""150670 SANTANA DO ARAGUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;196;-;-;-;-;-;-;-;-;-;-;-;-;-;196"
"""150680 SANTAREM"";-;376;-;-;-;-;-;-;-;-;-;-;1381;-;-;-;-;-;20;-;-;-;-;-;-;213;1990"
"""150700 SANTO ANTONIO DO TAUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;415;415"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;89"
"""150720 SAO DOMINGOS DO CAPIM"";-;-;-;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;96"
"""150730 SAO FELIX DO XINGU"";-;-;103;-;-;-;-;-;-;-;-;-;104;-;-;-;-;-;108;-;-;-;-;-;-;-;315"
