"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""150460 MOCAJUBA"";1;1796;-;-;-;-;1797"
"""150470 MOJU"";-;1613;-;-;-;-;1613"
"""150480 MONTE ALEGRE"";2;2884;-;-;-;-;2886"
"""150490 MUANA"";211;2081;-;-;-;-;2292"
"""150495 NOVA ESPERANCA DO PIRIA"";14;611;-;-;-;-;625"
"""150497 NOVA IPIXUNA"";-;228;-;-;-;-;228"
"""150503 NOVO PROGRESSO"";196;1952;-;-;-;-;2148"
"""150506 NOVO REPARTIMENTO"";396;1147;-;-;-;-;1543"
"""150510 OBIDOS"";91;2323;-;-;-;-;2414"
"""150520 OEIRAS DO PARA"";-;1105;-;-;-;115;1220"
"""150530 ORIXIMINA"";183;4401;-;-;-;-;4584"
"""150540 OUREM"";226;620;-;-;-;-;846"
"""150543 OURILANDIA DO NORTE"";254;3690;-;-;-;-;3944"
"""150548 PACAJA"";201;2413;-;-;-;-;2614"
"""150549 PALESTINA DO PARA"";-;255;-;-;-;-;255"
"""150550 PARAGOMINAS"";1354;5039;-;-;7;1;6401"
"""150553 PARAUAPEBAS"";381;8798;-;-;-;-;9179"
"""150555 PAU D'ARCO"";102;544;-;-;-;-;646"
"""150563 PICARRA"";-;731;-;-;-;-;731"
"""150565 PLACAS"";12;1425;-;-;-;-;1437"
"""150570 PONTA DE PEDRAS"";2;1134;-;-;-;-;1136"
"""150580 PORTEL"";62;2517;-;-;-;-;2579"
"""150590 PORTO DE MOZ"";14;2351;-;-;-;-;2365"
"""150600 PRAINHA"";201;1041;-;-;-;-;1242"
"""150613 REDENCAO"";2237;7294;-;-;156;174;9861"
"""150616 RIO MARIA"";21;1198;-;-;-;-;1219"
"""150618 RONDON DO PARA"";356;1943;-;-;-;-;2299"
"""150619 RUROPOLIS"";17;1578;-;-;8;4;1607"
"""150620 SALINOPOLIS"";80;2493;-;-;-;-;2573"
"""150630 SALVATERRA"";-;878;-;-;-;-;878"
"""150640 SANTA CRUZ DO ARARI"";2;483;-;-;-;-;485"
"""150650 SANTA IZABEL DO PARA"";-;1115;-;-;-;-;1115"
"""150658 SANTA MARIA DAS BARREIRAS"";151;799;-;-;-;-;950"
"""150660 SANTA MARIA DO PARA"";23;831;-;-;-;-;854"
"""150670 SANTANA DO ARAGUAIA"";174;4074;-;-;-;-;4248"
"""150680 SANTAREM"";3567;15840;-;-;-;-;19407"
"""150700 SANTO ANTONIO DO TAUA"";586;4777;-;-;-;195;5558"
"""150715 SAO DOMINGOS DO ARAGUAIA"";-;482;-;-;-;-;482"
"""150720 SAO DOMINGOS DO CAPIM"";-;858;-;-;-;-;858"
"""150730 SAO FELIX DO XINGU"";280;3312;-;-;-;-;3592"
"""150745 SAO GERALDO DO ARAGUAIA"";184;1437;-;-;-;-;1621"
"""150747 SAO JOAO DE PIRABAS"";25;690;-;-;-;-;715"
"""150750 SAO JOAO DO ARAGUAIA"";-;239;-;-;-;-;239"
"""150760 SAO MIGUEL DO GUAMA"";1;1990;-;-;-;-;1991"
"""150770 SAO SEBASTIAO DA BOA VISTA"";4;1308;-;-;-;-;1312"
"""150775 SAPUCAIA"";1;265;-;-;-;-;266"
"""150780 SENADOR JOSE PORFIRIO"";-;947;-;-;-;-;947"
"""150790 SOURE"";-;1387;-;-;-;-;1387"
"""150795 TAILANDIA"";385;4315;-;-;-;-;4700"
"""150797 TERRA SANTA"";171;839;-;-;-;-;1010"
"""150800 TOME-ACU"";36;3715;-;-;-;-;3751"
"""150803 TRACUATEUA"";-;1221;-;-;-;-;1221"
"""150805 TRAIRAO"";80;1309;-;-;-;-;1389"
"""150808 TUCUMA"";108;5097;-;-;1;-;5206"
"""150810 TUCURUI"";1378;5097;-;-;249;471;7195"
