"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""230320 CARIRIACU"";-;2;-;-;2"
"""230330 CARIUS"";-;6;-;-;6"
"""230350 CASCAVEL"";-;4;-;-;4"
"""230370 CAUCAIA"";-;33;-;-;33"
"""230380 CEDRO"";-;5;-;-;5"
"""230395 CHOROZINHO"";-;1;-;-;1"
"""230410 CRATEUS"";1;45;-;-;46"
"""230420 CRATO"";4;33;-;-;37"
"""230425 CRUZ"";-;5;-;-;5"
"""230426 DEPUTADO IRAPUAN PINHEIRO"";-;2;-;-;2"
"""230428 EUSEBIO"";-;3;-;-;3"
"""230440 FORTALEZA"";66;704;10;-;780"
"""230445 FORTIM"";-;2;-;-;2"
"""230450 FRECHEIRINHA"";-;2;-;-;2"
"""230480 GRANJEIRO"";-;1;-;-;1"
"""230495 GUAIUBA"";-;1;-;-;1"
"""230500 GUARACIABA DO NORTE"";-;5;-;-;5"
"""230520 HIDROLANDIA"";-;2;-;-;2"
"""230523 HORIZONTE"";-;4;-;-;4"
"""230526 IBARETAMA"";-;1;-;-;1"
"""230530 IBIAPINA"";-;2;-;-;2"
"""230540 ICO"";-;13;-;-;13"
"""230550 IGUATU"";-;33;-;-;33"
"""230580 IPU"";-;2;-;-;2"
"""230590 IPUEIRAS"";-;3;-;-;3"
"""230600 IRACEMA"";-;2;-;-;2"
"""230620 ITAICABA"";-;1;-;-;1"
"""230625 ITAITINGA"";-;6;-;-;6"
"""230630 ITAPAJE"";-;3;-;-;3"
"""230640 ITAPIPOCA"";-;22;-;-;22"
"""230655 ITAREMA"";-;3;-;-;3"
"""230680 JAGUARIBARA"";-;3;-;-;3"
"""230690 JAGUARIBE"";-;1;-;-;1"
"""230710 JARDIM"";-;4;-;-;4"
"""230725 JIJOCA DE JERICOACOARA"";-;1;-;-;1"
"""230730 JUAZEIRO DO NORTE"";1;150;-;-;151"
"""230740 JUCAS"";-;2;-;-;2"
"""230750 LAVRAS DA MANGABEIRA"";-;2;-;-;2"
"""230760 LIMOEIRO DO NORTE"";4;18;-;-;22"
"""230763 MADALENA"";-;2;-;-;2"
"""230765 MARACANAU"";-;51;-;-;51"
"""230770 MARANGUAPE"";-;9;-;-;9"
"""230820 MERUOCA"";-;1;-;-;1"
"""230830 MILAGRES"";-;6;-;-;6"
"""230840 MISSAO VELHA"";-;3;-;-;3"
"""230860 MONSENHOR TABOSA"";-;4;-;-;4"
"""230870 MORADA NOVA"";-;4;-;-;4"
"""230910 MULUNGU"";-;2;-;-;2"
"""230930 NOVA RUSSAS"";-;8;-;-;8"
"""230940 NOVO ORIENTE"";6;-;-;-;6"
"""230950 OROS"";-;3;-;-;3"
"""230960 PACAJUS"";-;6;-;-;6"
"""230970 PACATUBA"";-;5;-;-;5"
"""231020 PARACURU"";-;4;-;-;4"
"""231025 PARAIPABA"";-;4;-;-;4"
"""231030 PARAMBU"";1;-;-;-;1"
"""231050 PEDRA BRANCA"";-;3;-;-;3"
"""231070 PENTECOSTE"";-;2;-;-;2"
"""231080 PEREIRO"";-;1;-;-;1"
"""231100 PORANGA"";-;1;-;-;1"
"""231110 PORTEIRAS"";-;4;-;-;4"
"""231120 POTENGI"";-;4;-;-;4"
"""231130 QUIXADA"";-;19;-;-;19"
"""231140 QUIXERAMOBIM"";18;79;-;-;97"
"""231150 QUIXERE"";-;3;-;-;3"
"""231160 REDENCAO"";-;4;-;-;4"
"""231180 RUSSAS"";-;14;-;-;14"
"""231195 SALITRE"";-;1;-;-;1"
"""231210 SANTANA DO CARIRI"";-;1;-;-;1"
"""231220 SANTA QUITERIA"";-;8;-;-;8"
"""231290 SOBRAL"";25;181;-;-;206"
"""231300 SOLONOPOLE"";-;3;-;-;3"
"""231310 TABULEIRO DO NORTE"";-;4;-;-;4"
"""231330 TAUA"";-;28;-;-;28"
"""231340 TIANGUA"";-;19;-;-;19"
"""231360 UBAJARA"";-;3;-;-;3"
"""231395 VARJOTA"";-;4;-;-;4"
"""231400 VARZEA ALEGRE"";-;10;-;-;10"
"""231410 VICOSA DO CEARA"";-;4;-;-;4"
"""240020 ACU"";-;3;-;-;3"
"""240050 ALEXANDRIA"";-;3;-;-;3"
"""240100 APODI"";-;2;-;-;2"
"""240200 CAICO"";-;41;-;-;41"
"""240230 CARAUBAS"";-;2;-;-;2"
"""240260 CEARA-MIRIM"";-;16;-;-;16"
"""240310 CURRAIS NOVOS"";-;23;-;-;23"
"""240325 PARNAMIRIM"";14;6;-;-;20"
"""240420 GOIANINHA"";-;1;-;-;1"
"""240520 JANDUIS"";-;1;-;-;1"
"""240560 JARDIM DE PIRANHAS"";-;2;-;-;2"
"""240570 JARDIM DO SERIDO"";-;3;-;-;3"
"""240580 JOAO CAMARA"";-;12;-;-;12"
"""240670 LAJES"";1;-;-;-;1"
"""240710 MACAIBA"";-;11;-;-;11"
"""240720 MACAU"";6;-;-;-;6"
"""240800 MOSSORO"";3;136;-;-;139"
"""240810 NATAL"";81;232;7;12;332"
"""240830 NOVA CRUZ"";-;8;-;-;8"
"""240910 PASSA E FICA"";-;2;-;-;2"
"""240940 PAU DOS FERROS"";1;23;-;-;24"
"""241070 RIACHO DA CRUZ"";-;2;-;-;2"
"""241120 SANTA CRUZ"";-;7;-;-;7"
"""241150 SANTO ANTONIO"";-;10;-;-;10"
"""241200 SAO GONCALO DO AMARANTE"";-;9;-;-;9"
"""241260 SAO PAULO DO POTENGI"";-;11;-;-;11"
"""250040 ALAGOA NOVA"";-;1;-;-;1"
"""250150 BANANEIRAS"";-;4;-;-;4"
"""250190 BELEM"";-;1;-;-;1"
"""250320 CABEDELO"";-;9;-;-;9"
"""250370 CAJAZEIRAS"";3;36;-;-;39"
"""250400 CAMPINA GRANDE"";6;227;-;-;233"
"""250430 CATOLE DO ROCHA"";-;21;-;-;21"
"""250440 CONCEICAO"";1;-;-;-;1"
"""250480 COREMAS"";-;3;-;-;3"
"""250510 CUITE"";-;1;-;-;1"
"""250600 ESPERANCA"";-;5;-;-;5"
"""250630 GUARABIRA"";1;41;-;-;42"
"""250690 ITABAIANA"";-;13;-;-;13"
"""250700 ITAPORANGA"";-;4;-;-;4"
"""250750 JOAO PESSOA"";31;329;-;-;360"
"""250890 MAMANGUAPE"";-;25;-;-;25"
"""250970 MONTEIRO"";-;16;-;-;16"
"""251080 PATOS"";5;61;-;-;66"
"""251120 PEDRAS DE FOGO"";-;5;-;-;5"
"""251130 PIANCO"";-;21;-;-;21"
"""251140 PICUI"";-;20;-;-;20"
"""251200 POCINHOS"";-;8;-;-;8"
"""251210 POMBAL"";2;14;-;-;16"
"""251230 PRINCESA ISABEL"";-;1;-;-;1"
"""251250 QUEIMADAS"";-;6;-;-;6"
"""251370 SANTA RITA"";17;46;-;-;63"
"""251550 SERRA BRANCA"";-;5;-;-;5"
"""251600 SOLANEA"";-;4;-;-;4"
"""251620 SOUSA"";1;20;-;-;21"
"""251630 SUME"";-;4;-;-;4"
"""251650 TAPEROA"";-;11;-;-;11"
"""251660 TAVARES"";-;1;-;-;1"
"""260010 AFOGADOS DA INGAZEIRA"";2;19;-;-;21"
"""260030 AGRESTINA"";-;1;-;-;1"
"""260050 AGUAS BELAS"";-;1;-;-;1"
"""260060 ALAGOINHA"";-;1;-;-;1"
"""260110 ARARIPINA"";11;-;-;-;11"
"""260120 ARCOVERDE"";-;25;-;-;25"
"""260140 BARREIROS"";-;2;-;-;2"
"""260190 BEZERROS"";15;-;-;-;15"
"""260200 BODOCO"";-;1;-;-;1"
"""260210 BOM CONSELHO"";-;3;-;-;3"
"""260220 BOM JARDIM"";-;1;-;-;1"
"""260230 BONITO"";-;3;-;-;3"
"""260260 BREJO DA MADRE DE DEUS"";-;2;-;-;2"
"""260290 CABO DE SANTO AGOSTINHO"";-;55;-;1;56"
"""260310 CACHOEIRINHA"";-;1;-;-;1"
"""260345 CAMARAGIBE"";-;1;-;-;1"
"""260370 CANHOTINHO"";-;1;-;-;1"
"""260380 CAPOEIRAS"";-;1;-;-;1"
"""260410 CARUARU"";4;232;-;-;236"
"""260420 CATENDE"";-;2;-;-;2"
"""260470 CORRENTES"";-;1;-;-;1"
"""260540 FEIRA NOVA"";-;1;-;-;1"
"""260570 FLORESTA"";-;1;-;-;1"
"""260580 FREI MIGUELINHO"";-;3;-;-;3"
"""260600 GARANHUNS"";-;64;-;-;64"
"""260620 GOIANA"";-;9;-;-;9"
"""260640 GRAVATA"";-;5;-;-;5"
"""260790 JABOATAO DOS GUARARAPES"";21;53;-;-;74"
"""260795 JAQUEIRA"";-;1;-;-;1"
"""260800 JATAUBA"";-;1;-;-;1"
"""260810 JOAO ALFREDO"";-;2;-;-;2"
"""260845 LAGOA DO CARRO"";-;1;-;-;1"
"""260860 LAGOA DO OURO"";-;1;-;-;1"
"""260875 LAGOA GRANDE"";-;3;-;-;3"
"""260880 LAJEDO"";-;1;-;-;1"
"""260890 LIMOEIRO"";-;26;-;-;26"
"""260900 MACAPARANA"";-;1;-;-;1"
"""260940 MORENO"";-;27;-;-;27"
"""260950 NAZARE DA MATA"";-;9;-;-;9"
"""260960 OLINDA"";-;33;-;-;33"
"""260970 OROBO"";-;2;-;-;2"
