"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""210610 LORETO"";22796,91;-;22796,91"
"""210650 MATINHA"";27658,31;-;27658,31"
"""210660 MATOES"";46770,99;-;46770,99"
"""210680 MIRINZAL"";9709,27;-;9709,27"
"""210690 MONCAO"";150407,53;-;150407,53"
"""210700 MONTES ALTOS"";3704,91;-;3704,91"
"""210710 MORROS"";41883,16;-;41883,16"
"""210720 NINA RODRIGUES"";21017,90;-;21017,90"
"""210725 NOVA COLINAS"";10718,34;-;10718,34"
"""210735 NOVA OLINDA DO MARANHAO"";43996,78;-;43996,78"
"""210740 OLHO D'AGUA DAS CUNHAS"";30869,46;-;30869,46"
"""210750 PACO DO LUMIAR"";159939,49;-;159939,49"
"""210760 PALMEIRANDIA"";14484,75;-;14484,75"
"""210780 PARNARAMA"";63941,78;-;63941,78"
"""210790 PASSAGEM FRANCA"";105991,40;-;105991,40"
"""210805 PAULINO NEVES"";34847,44;-;34847,44"
"""210820 PEDREIRAS"";319092,28;-;319092,28"
"""210830 PENALVA"";26084,18;-;26084,18"
"""210840 PERI MIRIM"";3620,56;-;3620,56"
"""210845 PERITORO"";253484,71;2596,16;256080,87"
"""210860 PINHEIRO"";552330,36;-;552330,36"
"""210870 PIO XII"";29806,49;-;29806,49"
"""210910 PRESIDENTE DUTRA"";1073291,95;430,00;1073721,95"
"""210923 PRESIDENTE MEDICI"";36568,87;-;36568,87"
"""210927 PRESIDENTE SARNEY"";13081,63;-;13081,63"
"""210930 PRESIDENTE VARGAS"";4180,75;-;4180,75"
"""210950 RIACHAO"";51069,00;-;51069,00"
"""210960 ROSARIO"";102862,70;-;102862,70"
"""210970 SAMBAIBA"";9546,19;-;9546,19"
"""210980 SANTA HELENA"";64782,22;-;64782,22"
"""210990 SANTA INES"";875669,98;-;875669,98"
"""211003 SANTA LUZIA DO PARUA"";174177,91;-;174177,91"
"""211027 SANTO AMARO DO MARANHAO"";11172,37;-;11172,37"
"""211080 SAO FELIX DE BALSAS"";13235,89;-;13235,89"
"""211085 SAO FRANCISCO DO BREJAO"";14110,27;-;14110,27"
"""211107 SAO JOAO DO SOTER"";15803,28;-;15803,28"
"""211120 SAO JOSE DE RIBAMAR"";135914,81;-;135914,81"
"""211130 SAO LUIS"";15090837,37;11373438,33;26464275,70"
"""211140 SAO LUIS GONZAGA DO MARANHAO"";58100,85;-;58100,85"
"""211150 SAO MATEUS DO MARANHAO"";106086,90;-;106086,90"
"""211153 SAO PEDRO DA AGUA BRANCA"";25316,03;-;25316,03"
"""211160 SAO RAIMUNDO DAS MANGABEIRAS"";57752,11;-;57752,11"
"""211172 SATUBINHA"";14509,40;-;14509,40"
"""211178 SERRANO DO MARANHAO"";13929,69;-;13929,69"
"""211180 SITIO NOVO"";28436,21;-;28436,21"
"""211210 TIMBIRAS"";291799,50;-;291799,50"
"""211220 TIMON"";673473,90;-;673473,90"
"""211223 TRIZIDELA DO VALE"";35306,09;-;35306,09"
"""211240 TURIACU"";40831,13;-;40831,13"
"""211245 TURILANDIA"";24644,09;-;24644,09"
"""211250 TUTOIA"";51331,37;-;51331,37"
"""211260 URBANO SANTOS"";70598,52;-;70598,52"
"""211270 VARGEM GRANDE"";37033,11;-;37033,11"
"""211280 VIANA"";229421,19;1774,16;231195,35"
"""211285 VILA NOVA DOS MARTIRIOS"";12012,51;-;12012,51"
"""211400 ZE DOCA"";96893,63;-;96893,63"
"""220010 AGRICOLANDIA"";1858,23;-;1858,23"
"""220030 ALTO LONGA"";5973,81;-;5973,81"
"""220040 ALTOS"";49931,51;-;49931,51"
"""220050 AMARANTE"";21481,52;-;21481,52"
"""220100 ARRAIAL"";1662,50;-;1662,50"
"""220120 BARRAS"";83319,19;-;83319,19"
"""220160 BENEDITINOS"";4179,86;-;4179,86"
"""220190 BOM JESUS"";303901,06;-;303901,06"
"""220220 CAMPO MAIOR"";218092,65;-;218092,65"
"""220230 CANTO DO BURITI"";39145,08;-;39145,08"
"""220260 CASTELO DO PIAUI"";12169,56;-;12169,56"
"""220290 CORRENTE"";117480,39;-;117480,39"
"""220310 CRISTINO CASTRO"";37729,33;-;37729,33"
"""220320 CURIMATA"";34781,08;-;34781,08"
"""220330 DEMERVAL LOBAO"";45955,00;-;45955,00"
"""220350 ELESBAO VELOSO"";95834,23;-;95834,23"
"""220370 ESPERANTINA"";157157,91;-;157157,91"
"""220400 FRANCINOPOLIS"";784,86;-;784,86"
"""220430 FRONTEIRAS"";129084,95;-;129084,95"
"""220450 GUADALUPE"";22474,52;-;22474,52"
"""220470 INHUMA"";5819,38;-;5819,38"
"""220510 ITAUEIRA"";16517,55;-;16517,55"
"""220520 JAICOS"";46108,15;-;46108,15"
"""220540 JOAQUIM PIRES"";3276,54;-;3276,54"
"""220550 JOSE DE FREITAS"";67453,83;-;67453,83"
"""220570 LUIS CORREIA"";11408,23;-;11408,23"
"""220580 LUZILANDIA"";230333,02;-;230333,02"
"""220590 MANOEL EMIDIO"";2468,05;-;2468,05"
"""220620 MIGUEL ALVES"";18489,47;-;18489,47"
