"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""220550 JOSE DE FREITAS"";-;-;67453,83;67453,83"
"""220570 LUIS CORREIA"";-;-;11408,23;11408,23"
"""220580 LUZILANDIA"";127597,24;-;102735,78;230333,02"
"""220590 MANOEL EMIDIO"";-;-;2468,05;2468,05"
"""220620 MIGUEL ALVES"";-;-;18489,47;18489,47"
"""220650 MONSENHOR HIPOLITO"";-;-;8417,66;8417,66"
"""220680 NOSSA SENHORA DOS REMEDIOS"";-;-;8686,44;8686,44"
"""220700 OEIRAS"";68020,35;-;252575,70;320596,05"
"""220730 PAES LANDIM"";-;-;3275,59;3275,59"
"""220760 PARNAGUA"";-;-;88770,87;88770,87"
"""220770 PARNAIBA"";1415222,10;936,00;818444,60;2234602,70"
"""220790 PEDRO II"";-;-;109040,84;109040,84"
"""220800 PICOS"";36218,56;-;1109769,90;1145988,46"
"""220820 PIO IX"";-;-;10912,09;10912,09"
"""220830 PIRACURUCA"";-;-;76502,67;76502,67"
"""220840 PIRIPIRI"";-;2715,95;555616,13;558332,08"
"""220880 REGENERACAO"";-;-;38383,65;38383,65"
"""220960 SAO FELIX DO PIAUI"";-;-;104,44;104,44"
"""221000 SAO JOAO DO PIAUI"";-;-;63920,34;63920,34"
"""221040 SAO MIGUEL DO TAPUIO"";16787,82;-;5565,37;22353,19"
"""221060 SAO RAIMUNDO NONATO"";115389,79;-;360232,56;475622,35"
"""221070 SIMOES"";-;-;42419,42;42419,42"
"""221100 TERESINA"";4897149,83;3239,62;13301812,89;18202202,34"
"""221110 UNIAO"";-;-;33241,91;33241,91"
"""221120 URUCUI"";40308,02;-;44356,95;84664,97"
"""221130 VALENCA DO PIAUI"";63329,01;-;92337,46;155666,47"
"""230020 ACARAU"";316961,04;-;300842,50;617803,54"
"""230030 ACOPIARA"";27029,20;-;74559,12;101588,32"
"""230040 AIUABA"";-;-;6138,70;6138,70"
"""230060 ALTANEIRA"";-;-;3130,71;3130,71"
"""230070 ALTO SANTO"";-;-;16088,51;16088,51"
"""230080 ANTONINA DO NORTE"";-;-;7280,55;7280,55"
"""230090 APUIARES"";-;-;3717,95;3717,95"
"""230100 AQUIRAZ"";-;-;123429,02;123429,02"
"""230110 ARACATI"";-;4034,48;225276,80;229311,28"
"""230120 ARACOIABA"";-;-;221559,86;221559,86"
"""230130 ARARIPE"";-;-;13783,50;13783,50"
"""230160 ASSARE"";1605,12;-;20569,12;22174,24"
"""230170 AURORA"";-;-;194023,21;194023,21"
"""230190 BARBALHA"";754502,82;-;4071293,69;4825796,51"
"""230195 BARREIRA"";-;-;9445,18;9445,18"
"""230210 BATURITE"";22282,57;-;72317,54;94600,11"
"""230220 BEBERIBE"";12790,35;-;27429,15;40219,50"
"""230230 BELA CRUZ"";6247,03;-;33434,74;39681,77"
"""230240 BOA VIAGEM"";81604,59;-;60360,59;141965,18"
