"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""130068 BOA VISTA DO RAMOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;956;-;-;-;-;-;-;-;-;-;-;-;-;-;956"
"""130070 BOCA DO ACRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;1387;-;-;-;-;-;-;-;-;-;-;-;-;-;1387"
"""130080 BORBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1396;-;-;-;-;-;-;-;-;-;-;-;-;-;1396"
"""130083 CAAPIRANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;576;-;-;-;-;-;-;-;-;-;-;-;-;-;576"
"""130090 CANUTAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;648;-;-;-;-;-;-;-;-;-;-;-;-;-;648"
"""130100 CARAUARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;1997;-;-;-;-;-;-;-;-;-;-;-;-;-;1997"
"""130110 CAREIRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1605;-;-;-;-;-;-;-;-;-;-;-;-;-;1605"
"""130115 CAREIRO DA VARZEA"";-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;36"
"""130120 COARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;4898;-;-;-;-;-;-;-;-;-;-;-;-;-;4898"
"""130130 CODAJAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1278;-;-;-;-;-;-;-;-;-;-;-;-;-;1278"
"""130140 EIRUNEPE"";-;-;-;-;-;-;-;-;-;-;-;-;-;2177;-;-;-;-;-;-;-;-;-;-;-;-;-;2177"
"""130150 ENVIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1041;-;-;-;-;-;-;-;-;-;-;-;-;-;1041"
"""130160 FONTE BOA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1509;-;-;-;-;-;-;-;-;-;-;-;-;-;1509"
"""130165 GUAJARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;266;-;-;-;-;-;-;-;-;-;-;-;-;-;266"
"""130170 HUMAITA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2461;-;-;-;-;-;-;-;-;-;-;-;-;-;2461"
"""130180 IPIXUNA"";-;-;-;-;-;-;-;-;-;-;-;-;-;2020;-;-;-;-;-;-;-;-;-;-;-;-;-;2020"
"""130185 IRANDUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;496;-;-;-;-;-;-;-;-;-;-;-;-;-;496"
"""130190 ITACOATIARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;5762;-;-;-;-;-;-;-;-;-;-;-;-;-;5762"
"""130195 ITAMARATI"";-;-;-;-;-;-;-;-;-;-;-;-;-;616;-;-;-;-;-;-;-;-;-;-;-;-;-;616"
"""130200 ITAPIRANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;561;-;-;-;-;-;-;-;-;-;-;-;-;-;561"
"""130210 JAPURA"";-;-;-;-;-;-;-;-;-;-;-;-;-;332;-;-;-;-;-;-;-;-;-;-;-;-;-;332"
"""130220 JURUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;280;-;-;-;-;-;-;-;-;-;-;-;-;-;280"
"""130230 JUTAI"";-;1433;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1433"
"""130240 LABREA"";-;2108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2108"
"""130250 MANACAPURU"";-;-;-;-;-;-;-;-;-;-;-;-;-;7375;-;-;-;-;-;-;-;-;-;-;-;-;-;7375"
"""130255 MANAQUIRI"";-;-;-;-;-;-;-;-;-;-;-;-;-;936;-;-;-;-;-;-;-;-;-;-;-;-;-;936"
"""130260 MANAUS"";-;129383;5337;-;-;-;-;20412;-;-;-;-;-;-;-;-;5785;-;331;-;-;-;57;-;-;-;896;162201"
"""130270 MANICORE"";-;-;-;-;-;-;-;-;-;-;-;-;-;2035;-;-;-;-;-;-;-;-;-;-;-;-;-;2035"
"""130280 MARAA"";-;-;-;-;-;-;-;-;-;-;-;-;-;266;-;-;-;-;-;-;-;-;-;-;-;-;-;266"
"""130290 MAUES"";-;-;-;-;-;-;-;-;-;-;-;-;-;2897;-;-;-;-;-;-;-;-;-;-;-;-;-;2897"
"""130300 NHAMUNDA"";-;-;-;-;-;-;-;-;-;-;-;-;-;912;-;-;-;-;-;-;-;-;-;-;-;-;-;912"
"""130310 NOVA OLINDA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;897;-;-;-;-;-;-;-;-;-;-;-;-;-;897"
"""130320 NOVO AIRAO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1160;-;-;-;-;-;-;-;-;-;-;-;-;-;1160"
"""130330 NOVO ARIPUANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1312;-;-;-;-;-;-;-;-;-;-;-;-;-;1312"
"""130340 PARINTINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;5972;-;-;-;-;-;-;-;-;-;-;-;-;3868;9840"
"""130350 PAUINI"";-;-;-;-;-;-;-;-;-;-;-;-;-;1010;-;-;-;-;-;-;-;-;-;-;-;-;-;1010"
"""130353 PRESIDENTE FIGUEIREDO"";-;-;-;-;-;-;-;-;-;-;-;-;-;1441;-;-;-;-;-;-;-;-;-;-;-;-;-;1441"
"""130356 RIO PRETO DA EVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;461;-;-;-;-;-;-;-;-;-;-;-;-;-;461"
"""130360 SANTA ISABEL DO RIO NEGRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;901;-;-;-;-;-;-;-;-;-;-;-;-;-;901"
"""130370 SANTO ANTONIO DO ICA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1986;-;-;-;-;-;-;-;-;-;-;-;-;-;1986"
"""130380 SAO GABRIEL DA CACHOEIRA"";2041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2041"
"""130390 SAO PAULO DE OLIVENCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1796;-;-;-;-;-;-;-;-;-;-;-;-;-;1796"
"""130395 SAO SEBASTIAO DO UATUMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;680;-;-;-;-;-;-;-;-;-;-;-;-;-;680"
"""130400 SILVES"";-;-;-;-;-;-;-;-;-;-;-;-;-;852;-;-;-;-;-;-;-;-;-;-;-;-;-;852"
"""130406 TABATINGA"";269;186;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;455"
"""130410 TAPAUA"";-;965;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;965"
"""130420 TEFE"";-;-;-;-;-;-;-;-;-;-;-;-;-;6145;-;-;-;-;-;-;-;-;-;-;-;-;-;6145"
"""130423 TONANTINS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1465;-;-;-;-;-;-;-;-;-;-;-;-;-;1465"
"""130426 UARINI"";-;-;-;-;-;-;-;-;-;-;-;-;-;976;-;-;-;-;-;-;-;-;-;-;-;-;-;976"
"""130430 URUCARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1081;-;-;-;-;-;-;-;-;-;-;-;-;-;1081"
"""130440 URUCURITUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;463;-;-;-;-;-;-;-;-;-;-;-;-;-;463"
"""140005 ALTO ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116"
"""140010 BOA VISTA"";-;-;-;-;-;-;-;-;-;-;-;-;21838;5569;-;-;34;-;2842;-;-;-;467;-;-;-;-;30750"
"""140015 BONFIM"";-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19"
"""140020 CARACARAI"";-;-;-;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125"
