"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""410970 IBAITI"";-;-;-;-;-;-;-;-;-;-;-;-;-;363;-;-;-;-;-;-;-;-;-;-;-;-;-;363"
"""410975 IBEMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;321;-;-;-;-;-;-;-;-;-;-;-;-;-;321"
"""410980 IBIPORA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5753;5753"
"""411030 INAJA"";-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;36"
"""411040 INDIANOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;393;-;-;-;-;-;-;-;-;-;-;-;-;-;393"
"""411060 IPORA"";-;-;-;-;-;-;-;-;-;38;-;-;-;561;-;-;-;-;-;-;-;-;-;-;-;-;-;599"
"""411070 IRATI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5778;5778"
"""411100 ITAMBARACA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;201;201"
"""411125 ITAPERUCU"";-;-;-;-;-;-;-;-;-;-;-;-;-;1126;-;-;-;-;-;-;-;-;-;-;-;-;-;1126"
"""411130 ITAUNA DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;120"
"""411140 IVAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;265;-;-;-;-;-;-;-;-;-;-;-;-;-;265"
"""411150 IVAIPORA"";-;3604;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6586;10190"
"""411170 JABOTI"";-;-;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;-;-;-;-;-;-;-;-;150"
"""411180 JACAREZINHO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1414;-;-;-;-;-;-;-;3939;5353"
"""411190 JAGUAPITA"";-;-;-;-;-;-;-;-;-;-;-;-;-;144;-;-;-;-;-;-;-;-;-;-;-;-;-;144"
"""411200 JAGUARIAIVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;1845;-;-;-;-;-;-;-;-;-;-;-;-;-;1845"
"""411210 JANDAIA DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3504;3504"
"""411240 JAPURA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;547;547"
"""411250 JARDIM ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;850;-;-;-;-;-;-;-;-;-;-;-;-;-;850"
"""411275 JESUITAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;580;580"
"""411280 JOAQUIM TAVORA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;374;374"
"""411300 JUSSARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;234;-;-;-;-;-;-;-;-;-;-;-;-;-;234"
"""411310 KALORE"";-;-;-;-;-;-;-;-;-;-;-;-;-;158;-;-;-;-;-;-;-;-;-;-;-;-;-;158"
"""411320 LAPA"";-;2538;-;-;-;-;-;-;-;-;-;-;-;580;-;-;-;-;-;-;-;-;-;-;-;-;-;3118"
"""411330 LARANJEIRAS DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5980;5980"
"""411345 LINDOESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;375;-;-;-;-;-;-;-;-;-;-;-;-;-;375"
"""411350 LOANDA"";-;-;-;-;-;-;-;-;-;-;-;-;-;651;-;-;-;-;-;-;-;-;-;-;-;-;5374;6025"
"""411370 LONDRINA"";-;17096;-;-;22726;-;-;-;-;-;-;-;-;1996;-;-;-;-;1810;-;-;-;-;-;-;-;35341;78969"
"""411375 LUNARDELLI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;382;382"
"""411380 LUPIONOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;68"
"""411390 MALLET"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;642;642"
"""411400 MAMBORE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;233;-;-;-;-;-;-;-;-;233"
"""411420 MANDAGUARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1473;1473"
"""411430 MANDIRITUBA"";-;-;-;-;-;-;-;-;-;-;-;-;-;528;-;-;-;-;-;-;-;-;-;-;-;-;-;528"
"""411440 MANGUEIRINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1078;1078"
"""411450 MANOEL RIBAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;399;-;-;-;-;-;-;-;-;-;-;-;-;-;399"
"""411460 MARECHAL CANDIDO RONDON"";-;-;-;-;-;-;-;-;-;-;-;-;-;1059;-;-;-;-;-;-;-;-;-;-;-;-;-;1059"
"""411500 MARILENA"";-;-;-;-;-;-;-;-;-;-;-;-;-;325;-;-;-;-;-;-;-;-;-;-;-;-;-;325"
"""411520 MARINGA"";-;-;-;-;12898;-;-;-;-;-;-;-;-;4330;-;-;-;1;9422;-;-;-;198;-;-;-;26689;53538"
"""411560 MATELANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1815;1815"
"""411570 MATINHOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;133;-;-;-;-;-;-;-;-;-;-;-;-;-;133"
"""411580 MEDIANEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5007;5007"
"""411600 MIRASELVA"";-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;29"
"""411605 MISSAL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2120;2120"
"""411620 MORRETES"";-;-;-;-;-;-;-;-;-;-;-;-;-;203;-;-;-;-;-;-;-;-;-;-;-;-;-;203"
"""411670 NOVA AURORA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4625;4625"
"""411680 NOVA CANTU"";-;-;174;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;174"
"""411690 NOVA ESPERANCA"";-;-;-;-;-;-;-;-;-;-;-;-;-;415;-;-;-;-;-;-;-;-;-;-;-;-;-;415"
"""411695 NOVA ESPERANCA DO SUDOESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;50"
"""411700 NOVA FATIMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;192;-;-;-;-;192"
"""411710 NOVA LONDRINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;464;-;-;-;-;-;-;-;-;-;-;-;-;-;464"
"""411720 NOVA OLIMPIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;77"
"""411722 NOVA SANTA ROSA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;318;318"
"""411727 NOVA TEBAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;446;-;-;-;-;-;-;-;-;-;-;-;-;-;446"
"""411750 PAICANDU"";-;-;-;-;-;-;-;-;-;-;-;-;-;776;-;-;-;-;-;-;-;-;-;-;-;-;-;776"
"""411760 PALMAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3740;3740"
"""411770 PALMEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;970;970"
"""411790 PALOTINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;3848;-;-;-;-;-;-;-;-;-;-;-;-;-;3848"
"""411820 PARANAGUA"";-;10704;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10704"
"""411840 PARANAVAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;12514;12565"
"""411845 PATO BRAGADO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;720;720"
"""411850 PATO BRANCO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18206;18206"
"""411890 PEROLA"";-;-;-;-;-;-;-;-;-;-;-;-;-;241;-;-;-;-;-;-;-;-;-;-;-;-;-;241"
"""411910 PIEN"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;956;956"
"""411915 PINHAIS"";-;688;-;-;-;-;-;-;-;-;-;-;-;3207;-;-;-;-;-;-;-;-;-;304;-;-;-;4199"
"""411940 PIRAI DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;271;-;-;-;-;-;-;-;-;-;-;-;-;-;271"
"""411950 PIRAQUARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2470;2470"
"""411960 PITANGA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5646;5646"
"""411970 PLANALTINA DO PARANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;174;-;-;-;-;-;-;-;-;-;-;-;-;-;174"
"""411980 PLANALTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;382;-;-;-;-;-;-;-;533;915"
"""411990 PONTA GROSSA"";-;-;-;-;22516;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18436;40952"
"""412000 PORECATU"";-;-;-;-;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;105"
"""412020 PORTO RICO"";-;-;-;-;-;-;-;-;-;-;-;-;-;79;-;-;-;-;-;-;-;-;-;-;-;-;-;79"
"""412033 PRADO FERREIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;32"
"""412035 PRANCHITA"";-;-;-;-;-;-;-;-;736;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;736"
"""412050 PRIMEIRO DE MAIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;15"
"""412060 PRUDENTOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4943;4943"
"""412090 QUEDAS DO IGUACU"";-;-;-;-;-;-;-;-;-;-;-;-;-;1985;-;-;-;-;-;-;-;-;-;-;-;-;-;1985"
"""412100 QUERENCIA DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;349;-;-;-;-;-;-;-;-;-;-;-;-;-;349"
"""412120 QUITANDINHA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;621;-;-;-;621"
"""412140 REALEZA"";-;-;-;-;-;-;-;-;-;-;-;-;-;438;-;-;-;-;-;-;-;-;-;-;-;-;-;438"
"""412150 REBOUCAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1004;1004"
"""412180 RIBEIRAO CLARO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;725;725"
"""412190 RIBEIRAO DO PINHAL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1590;1590"
"""412200 RIO AZUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;964;964"
"""412220 RIO BRANCO DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;912;-;-;-;-;176;-;-;-;-;-;-;-;-;1088"
"""412230 RIO NEGRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;794;794"
"""412240 ROLANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;867;-;-;-;6946;7813"
"""412250 RONCADOR"";-;-;-;-;-;-;-;-;-;-;-;-;-;1109;-;-;-;-;-;-;-;-;-;-;-;-;-;1109"
"""412260 RONDON"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1130;-;-;-;1130"
"""412290 SALTO DO ITARARE"";-;-;-;-;-;-;-;-;-;-;-;-;-;123;-;-;-;-;-;-;-;-;-;-;-;-;-;123"
"""412350 SANTA HELENA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2974;2974"
"""412380 SANTA IZABEL DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;785;-;-;-;-;-;-;-;-;-;-;-;-;-;785"
"""412390 SANTA MARIANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3448;-;-;-;-;-;-;-;-;3448"
"""412400 SANTANA DO ITARARE"";-;-;-;-;-;-;-;-;-;-;-;-;-;158;-;-;-;-;-;-;-;-;-;-;-;-;-;158"
"""412410 SANTO ANTONIO DA PLATINA"";-;5415;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2672;8087"
"""412420 SANTO ANTONIO DO CAIUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;-;-;-;94"
"""412440 SANTO ANTONIO DO SUDOESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1073;-;-;-;-;-;-;-;-;1073"
"""412460 SAO CARLOS DO IVAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;242;-;-;-;-;-;-;-;-;-;-;-;-;-;242"
"""412490 SAO JOAO DO CAIUA"";-;-;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;76"
"""412500 SAO JOAO DO IVAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;411;-;-;-;-;-;-;-;-;-;-;-;-;-;411"
"""412510 SAO JOAO DO TRIUNFO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;184;184"
"""412535 SAO JORGE DO PATROCINIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;394;-;-;-;-;-;-;-;-;-;-;-;-;-;394"
"""412540 SAO JOSE DA BOA VISTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;230;-;-;-;-;-;-;-;-;-;-;-;-;-;230"
"""412545 SAO JOSE DAS PALMEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;123;-;-;-;-;-;-;-;-;123"
"""412550 SAO JOSE DOS PINHAIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;12707;-;-;-;-;-;-;-;-;-;-;-;-;-;12707"
"""412560 SAO MATEUS DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2622;2622"
"""412570 SAO MIGUEL DO IGUACU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1625;1625"
"""412580 SAO PEDRO DO IVAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;433;433"
"""412620 SAPOPEMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;54"
"""412625 SARANDI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2420;2420"
"""412640 SERTANEJA"";-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;21"
"""412650 SERTANOPOLIS"";-;-;201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;201"
"""412660 SIQUEIRA CAMPOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;664;664"
"""412667 TAMARANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;89"
"""412670 TAMBOARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;228;-;-;-;-;-;-;-;-;-;-;-;-;-;228"
"""412700 TEIXEIRA SOARES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;113;113"
"""412710 TELEMACO BORBA"";-;611;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4887;5498"
"""412720 TERRA BOA"";-;-;-;-;-;-;-;-;-;-;-;-;-;662;-;-;-;-;-;-;-;-;-;-;-;-;1462;2124"
"""412730 TERRA RICA"";-;-;-;-;-;-;-;-;-;-;-;-;-;631;-;-;-;-;-;-;-;-;-;-;-;-;-;631"
"""412750 TIBAGI"";-;538;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;538"
"""412760 TIJUCAS DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;319;-;-;-;-;-;-;-;-;-;-;-;-;-;319"
"""412770 TOLEDO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15735;15735"
"""412780 TOMAZINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;496;496"
"""412785 TRES BARRAS DO PARANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;651;-;-;-;-;-;-;-;-;-;-;-;-;-;651"
"""412796 TURVO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1001;1001"
"""412800 UBIRATA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2702;2702"
"""412810 UMUARAMA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;791;-;-;-;-;-;-;-;26449;27240"
"""412820 UNIAO DA VITORIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8005;8005"
"""412840 URAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;640;640"
"""412850 WENCESLAU BRAZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;671;671"
"""412855 VERA CRUZ DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;511;511"
"""412860 VERE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;422;422"
"""420010 ABELARDO LUZ"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1284;1284"
"""420020 AGROLANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;261;-;-;-;261"
"""420040 AGUA DOCE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;210;210"
"""420070 ALFREDO WAGNER"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130;-;-;-;130"
"""420090 ANGELINA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;993;993"
"""420100 ANITA GARIBALDI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1668;1668"
"""420110 ANITAPOLIS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;516;516"
"""420127 ARABUTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;844;844"
"""420140 ARARANGUA"";-;9131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9131"
"""420150 ARMAZEM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2997;2997"
"""420160 ARROIO TRINTA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;320;320"
"""420200 BALNEARIO CAMBORIU"";-;451;-;-;-;-;-;-;-;-;-;-;-;8936;-;-;-;-;-;-;-;-;-;-;-;-;-;9387"
"""420230 BIGUACU"";-;-;-;-;-;-;-;-;-;-;-;-;-;1337;-;-;-;-;-;-;-;-;-;-;-;-;2359;3696"
"""420240 BLUMENAU"";-;-;-;-;-;-;-;-;-;-;-;-;-;584;-;-;-;-;71;-;-;-;-;21326;-;-;13562;35543"
"""420260 BOM RETIRO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1230;1230"
"""420280 BRACO DO NORTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4793;4793"
"""420290 BRUSQUE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31166;31166"
"""420300 CACADOR"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6494;6494"
"""420310 CAIBI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;441;441"
"""420320 CAMBORIU"";-;-;-;-;-;-;-;-;-;-;-;-;-;1506;-;-;-;-;-;-;-;-;-;-;-;-;-;1506"
"""420330 CAMPO ALEGRE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;955;955"
"""420340 CAMPO BELO DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1182;1182"
"""420350 CAMPO ERE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;966;-;-;-;-;-;-;-;-;966"
"""420360 CAMPOS NOVOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4959;-;-;-;-;-;-;-;-;-;-;-;4959"
"""420370 CANELINHA"";-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51"
"""420380 CANOINHAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4519;4519"
"""420390 CAPINZAL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2464;2464"
"""420410 CAXAMBU DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;349;349"
"""420420 CHAPECO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;23959;23960"
"""420430 CONCORDIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;7093;7133"
"""420440 CORONEL FREITAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;916;916"
"""420455 CORREIA PINTO"";-;-;-;-;-;-;-;-;-;-;-;-;-;722;-;-;-;-;-;-;-;-;-;-;-;-;-;722"
"""420460 CRICIUMA"";-;7345;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;14146;21493"
"""420470 CUNHA PORA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1481;-;-;-;1481"
"""420480 CURITIBANOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6588;-;-;-;6588"
"""420490 DESCANSO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1039;-;-;-;1039"
"""420500 DIONISIO CERQUEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1655;1655"
"""420530 FAXINAL DOS GUEDES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1782;1782"
"""420540 FLORIANOPOLIS"";-;51936;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12344;-;-;-;-;-;-;-;-;-;4386;68666"
"""420550 FRAIBURGO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2928;2928"
"""420590 GASPAR"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4156;4156"
"""420640 GUARACIABA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1519;1519"
"""420650 GUARAMIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3348;3348"
"""420660 GUARUJA DO SUL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;444;444"
"""420690 IBIRAMA"";-;4125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4125"
"""420700 ICARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4961;-;-;-;4961"
"""420720 IMARUI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1862;1862"
