"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""171650 PEDRO AFONSO"";548453,46;-;548453,46"
"""171660 PEIXE"";153879,43;-;153879,43"
"""171700 PINDORAMA DO TOCANTINS"";143748,05;-;143748,05"
"""171750 PIUM"";264260,34;-;264260,34"
"""171790 PONTE ALTA DO TOCANTINS"";16992,77;-;16992,77"
"""171820 PORTO NACIONAL"";2927259,03;5999,39;2933258,42"
"""172065 SILVANOPOLIS"";19405,79;-;19405,79"
"""172080 SITIO NOVO DO TOCANTINS"";333445,50;-;333445,50"
"""172090 TAGUATINGA"";294214,69;-;294214,69"
"""172100 PALMAS"";33018360,73;14288065,51;47306426,24"
"""172120 TOCANTINOPOLIS"";471496,14;-;471496,14"
"""172210 XAMBIOA"";715234,91;-;715234,91"
"""210005 ACAILANDIA"";6981124,25;15967,79;6997092,04"
"""210010 AFONSO CUNHA"";125150,42;-;125150,42"
"""210020 ALCANTARA"";98679,28;-;98679,28"
"""210030 ALDEIAS ALTAS"";183154,61;-;183154,61"
"""210043 ALTO ALEGRE DO MARANHAO"";1898265,79;-;1898265,79"
"""210047 ALTO ALEGRE DO PINDARE"";1119318,87;-;1119318,87"
"""210050 ALTO PARNAIBA"";83261,97;-;83261,97"
"""210060 AMARANTE DO MARANHAO"";1349612,67;-;1349612,67"
"""210070 ANAJATUBA"";157919,03;-;157919,03"
"""210080 ANAPURUS"";192793,91;-;192793,91"
"""210083 APICUM-ACU"";369204,15;-;369204,15"
"""210087 ARAGUANA"";381042,96;-;381042,96"
"""210090 ARAIOSES"";56326,70;-;56326,70"
"""210095 ARAME"";611978,39;-;611978,39"
"""210100 ARARI"";272669,92;-;272669,92"
"""210110 AXIXA"";90206,00;156634,80;246840,80"
"""210120 BACABAL"";9041914,14;449624,30;9491538,44"
"""210125 BACABEIRA"";158143,23;-;158143,23"
"""210130 BACURI"";403843,27;-;403843,27"
"""210140 BALSAS"";7087475,06;-;7087475,06"
"""210150 BARAO DE GRAJAU"";135310,50;-;135310,50"
"""210160 BARRA DO CORDA"";5175062,18;-;5175062,18"
"""210170 BARREIRINHAS"";5260418,98;4292,28;5264711,26"
"""210177 BELA VISTA DO MARANHAO"";231787,23;-;231787,23"
"""210190 BEQUIMAO"";233835,86;-;233835,86"
"""210193 BERNARDO DO MEARIM"";47883,22;-;47883,22"
