"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""351670 GARCA"";-;-;-;302;249;268;319;353;365;414;355;436;374;188;387;357;258;331;345;281;303;302;326;292;305;292;294;333;8029"
"""351740 GUAIRA"";-;-;-;438;384;395;465;531;399;549;445;514;550;498;547;425;621;517;549;721;628;616;775;682;670;685;892;507;14003"
"""351770 GUARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;46;118;63;80;-;-;-;15;105;99;88;97;99;811"
"""351790 GUARACI"";-;-;-;26;27;23;22;23;18;17;20;23;25;24;13;9;13;9;10;23;17;30;13;13;17;11;6;10;442"
"""351840 GUARATINGUETA"";-;-;-;2720;2543;1982;2742;3123;2882;3112;3130;3098;3211;3236;3123;3172;3044;3266;3337;3460;3185;3333;3189;3415;2869;2604;3190;3152;76118"
"""351860 GUARIBA"";-;-;-;27;261;122;159;74;53;67;65;123;106;288;40;5;44;125;212;164;187;263;289;306;344;274;117;166;3881"
"""351870 GUARUJA"";-;-;-;4023;4024;4178;4318;4337;4455;4501;4508;4442;4887;4629;4412;4636;4553;4504;4702;4985;4811;5561;4951;4999;5297;4961;5217;5189;117080"
"""351880 GUARULHOS"";-;185;1110;752086;732570;738942;772310;716605;770226;835063;742222;833629;883653;816567;777866;870178;842756;846763;827040;816737;839008;859191;833344;865831;862321;684368;685494;816383;20022448"
"""351900 HERCULANDIA"";-;-;-;-;-;-;4;4;4;2;3;4;4;-;4;4;3;4;-;-;-;4;4;4;-;4;4;-;60"
"""351907 HORTOLANDIA"";-;319;181;3272;3092;3467;3402;3613;3062;3436;3367;3387;3487;3290;3369;3252;3255;3522;3562;3939;3463;3751;3778;3857;3815;3526;3810;3712;87986"
"""351930 IBATE"";-;-;-;-;-;3;-;-;-;-;-;147;104;-;-;-;-;-;-;-;-;-;-;-;2;131;295;388;1070"
"""351960 IBITINGA"";-;-;-;149;132;128;134;160;129;96;142;126;147;192;151;109;154;147;177;77;151;147;140;135;136;70;98;154;3381"
"""352010 IGARAPAVA"";-;-;1;330;238;174;313;295;255;293;284;380;442;357;279;325;333;315;356;240;266;223;250;251;171;246;339;150;7106"
"""352040 ILHABELA"";-;-;-;906;894;740;887;837;937;970;914;778;861;810;885;824;716;758;661;722;660;622;580;631;754;690;728;-;18765"
"""352044 ILHA SOLTEIRA"";-;-;-;1533;1371;1601;1200;1224;1058;1359;1500;1295;1363;1281;1599;1400;1267;1565;1385;1484;1318;1661;1497;1358;1591;1227;1118;1623;34878"
"""352050 INDAIATUBA"";-;-;-;3113;3285;3469;3760;4057;4068;4477;4585;5186;5158;4196;3875;3615;3628;4491;4739;4956;4364;4034;3926;4365;4562;4552;4700;4613;105774"
"""352090 IPAUSSU"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;9;1;-;31"
"""352180 ITAI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;5"
"""352210 ITANHAEM"";-;-;-;133;143;135;174;173;127;146;146;111;125;134;141;126;147;136;149;187;140;140;147;120;187;137;126;164;3594"
"""352220 ITAPECERICA DA SERRA"";-;-;401;3797;3737;3713;3683;3786;3645;3996;3997;3693;4029;3693;3907;3883;3541;3698;3760;3799;3790;4047;4069;3931;4130;3673;3681;3390;95469"
"""352230 ITAPETININGA"";-;-;-;4655;4285;5284;4926;5003;4848;4849;4845;4344;4752;5025;3887;5280;4416;4954;5186;4267;4947;5839;5015;5042;5039;5156;5356;5407;122607"
"""352240 ITAPEVA"";-;-;-;3987;3920;3915;3989;4313;4077;4054;3858;3951;4481;4175;4059;4411;4034;4056;4223;4520;4604;4752;4667;4808;5133;4843;4868;5117;108815"
"""352250 ITAPEVI"";-;-;47;2072;2464;2436;2403;2354;2079;2392;2308;2163;2298;1933;2607;2080;2112;932;1418;1409;1280;1017;1181;1540;1342;1333;1420;1029;45649"
"""352260 ITAPIRA"";-;-;-;566;559;566;548;488;468;372;494;591;566;514;507;452;380;477;467;457;352;466;459;492;541;338;403;411;11934"
"""352270 ITAPOLIS"";-;-;1;266;236;303;366;434;450;429;426;324;363;279;355;455;415;387;464;416;412;480;498;489;446;403;363;332;9792"
"""352310 ITAQUAQUECETUBA"";-;-;-;1244;1313;1391;1242;1418;1572;1446;1286;2601;1285;2977;3152;2739;2914;4510;3110;3315;3069;2976;3153;2993;3116;3016;3101;2918;61857"
"""352320 ITARARE"";-;-;-;97;95;30;21;100;88;109;142;156;128;114;127;129;124;108;71;119;132;124;116;149;118;130;116;105;2748"
"""352340 ITATIBA"";-;-;-;1229;1340;1752;1881;2040;1845;1716;2048;1494;1716;1529;1255;1264;1753;1833;2164;2251;1298;1593;1651;2036;2008;1928;2071;1883;43578"
"""352380 ITOBI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2"
"""352390 ITU"";-;-;-;4905;5092;6051;5643;4171;6324;5797;5049;5824;6241;5860;6383;5036;4775;6655;6545;6955;6146;5778;5871;6104;6511;6231;6603;5918;146468"
"""352400 ITUPEVA"";-;-;-;572;440;583;385;749;731;762;739;796;675;728;486;332;547;1037;588;597;634;581;616;646;588;666;677;781;15936"
"""352410 ITUVERAVA"";-;-;-;2643;2335;2561;2510;2478;2474;2618;2771;2713;3050;2750;2709;2610;2396;2586;2260;2685;2782;2937;2782;2873;2820;2641;2867;2663;66514"
"""352430 JABOTICABAL"";-;-;-;1935;1943;1997;2009;2112;1893;2058;2096;2010;2250;2048;2087;1966;1923;2011;2028;2054;2050;2160;2112;2044;2233;2050;2252;2180;51501"
"""352440 JACAREI"";-;-;-;3340;3270;3420;3398;3510;3310;3328;3517;3499;3822;3841;3642;3472;3385;3453;3449;3639;3341;3641;3749;3751;3867;3677;3788;3905;89014"
"""352470 JAGUARIUNA"";-;-;-;704;908;884;943;996;913;927;950;763;606;691;382;772;547;126;403;879;792;741;832;815;811;602;832;731;18550"
"""352480 JALES"";-;-;-;4631;4263;4301;4678;4520;4492;5054;4639;4637;4921;4923;4619;4772;4601;4795;4943;5363;5122;5199;5004;5462;5291;4852;4941;5056;121079"
"""352510 JARDINOPOLIS"";-;-;-;-;-;-;-;-;-;-;-;53;62;41;49;3;11;12;-;-;-;-;-;-;-;-;-;-;231"
"""352530 JAU"";136;564;512;13356;12386;13070;13566;13773;13431;14235;14248;13909;15425;14353;14618;15291;14485;14874;15445;15052;14904;15742;15276;15733;15874;13762;11085;8761;353866"
"""352570 JOSE BONIFACIO"";-;-;-;78;74;89;85;60;111;109;98;99;117;101;131;155;249;200;246;243;245;277;259;271;385;345;299;289;4615"
