"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350460 BADY BASSITT"";-;-;-;196090,44;177837,47;166932,88;186580,89;202841,40;172569,67;230975,72;178290,13;232039,21;232611,28;212366,82;174188,88;231162,38;165557,54;232152,79;189508,57;212958,05;196033,85;188393,30;195356,34;207442,66;177763,83;219201,86;179946,60;211662,01;4970464,57"
"""350470 BALBINOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248,22;256,85;256,85;256,85;256,85;322,99;4902,79;6214,21;11345,17;15830,11;11966,10;51856,99"
"""350480 BALSAMO"";-;-;-;5403,49;4479,92;6323,85;10674,44;7246,08;5911,78;8144,68;8246,89;7973,92;8749,56;7622,55;5896,25;8091,16;8114,29;6214,09;362,18;43219,41;38709,17;66795,77;54383,71;64213,27;41192,67;41442,23;38666,07;43176,53;541253,96"
"""350490 BANANAL"";-;-;-;73442,82;71364,84;115275,17;162445,79;86835,78;91840,63;89751,11;87537,66;93192,02;96310,09;81680,21;78070,49;84931,36;96090,80;105152,32;101671,70;108574,26;96606,78;95509,21;68441,63;103539,25;99144,34;101634,12;112379,12;98353,41;2399774,91"
"""350500 BARAO DE ANTONINA"";-;-;-;-;7781,88;1963,57;2740,97;2563,75;2893,33;12930,45;11839,66;11776,14;12861,29;10779,36;7597,49;6263,31;12838,17;11578,38;11918,77;10079,38;17915,81;21378,22;17677,37;20731,30;-;-;-;-;216108,60"
"""350510 BARBOSA"";-;-;-;14744,43;12481,04;10321,83;7403,33;6422,72;3058,22;12894,90;-;10224,50;14968,47;-;10319,60;3210,70;3525,79;11972,43;10608,84;8946,03;12796,20;14509,93;15747,59;19881,69;19374,18;16253,58;9872,28;11612,85;261151,13"
"""350520 BARIRI"";-;-;-;163787,22;136323,84;150860,26;157306,06;161838,26;158365,10;140598,46;166715,54;164566,27;164167,61;150200,48;139956,86;161425,86;99312,51;123350,55;124083,48;133041,33;124927,44;163498,43;167722,86;189533,23;191171,10;185385,45;176712,13;165575,83;3860426,16"
"""350530 BARRA BONITA"";-;1023,08;67,06;185149,74;170206,52;182015,40;201382,86;185151,61;179429,24;163815,73;182091,18;209465,83;193521,91;191047,37;165917,95;180002,28;209152,83;208035,23;201510,60;179825,74;167520,45;166057,79;180078,11;189933,23;185279,68;169676,05;167712,16;162925,91;4577995,54"
"""350535 BARRA DO CHAPEU"";-;-;-;1515,80;4068,35;5742,25;1783,35;14506,42;9314,75;11591,12;12261,29;19462,77;14800,20;14416,71;17400,66;13695,40;15940,74;13818,19;22189,77;14660,81;9388,51;21036,51;14378,84;11241,14;19593,48;22192,43;20995,04;19715,78;345710,31"
"""350540 BARRA DO TURVO"";-;-;-;26603,02;28365,19;33346,44;32252,95;30316,17;28156,11;25575,91;30950,41;28225,62;26747,55;29290,39;29467,93;28919,60;30554,60;29994,17;29339,41;30993,19;30415,73;32417,42;30339,04;31689,04;36222,58;29748,56;35573,32;-;725504,35"
