"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350400 ASSIS"";-;242,10;309,60;2369495,64;2310455,25;2424000,04;2564452,72;2571658,30;2386273,87;2519684,07;2657039,18;2694570,92;2834516,52;2576326,49;2328031,74;2422190,82;2380378,89;2613288,01;2520973,37;2823244,21;2491753,20;2934009,40;2804224,69;3089376,02;2877330,14;2593701,26;2601766,45;2457449,29;64846742,19"
"""350410 ATIBAIA"";-;-;-;1227215,73;1742456,47;1775305,30;1615089,73;1463945,02;1661623,51;1207584,05;1653598,09;1649167,98;1682302,50;1271316,03;1229472,69;1507867,22;1466717,05;1457414,03;1699975,84;1447503,41;1589122,73;1341507,74;1718336,54;1753987,70;1653902,73;1661521,93;1351682,74;1607552,15;38436168,91"
"""350420 AURIFLAMA"";-;-;-;90813,36;94678,64;97219,15;115712,89;113348,65;110131,89;115323,40;159676,21;188358,42;111626,33;98747,35;100055,23;123344,36;110348,67;103552,36;100959,35;103479,62;83550,64;86179,55;95874,68;100586,40;93367,87;89816,37;95393,57;90437,13;2672582,09"
"""350430 AVAI"";-;-;-;13824,06;10435,73;11543,50;14760,56;12707,47;16201,15;15059,47;15881,65;17236,85;16454,08;15672,58;12673,43;13178,67;17397,10;16197,10;17486,71;17652,15;21045,37;21140,59;7050,73;24041,87;22939,04;19121,32;12467,96;2711,40;384880,54"
"""350440 AVANHANDAVA"";-;-;-;19708,12;15789,91;21344,18;25520,52;19958,32;22609,72;12101,83;17630,64;14431,04;23872,47;17259,53;7158,55;11147,73;16872,47;17293,81;11033,54;22596,41;18912,58;22716,10;10722,25;21323,98;35619,28;21755,77;15037,97;-;442416,72"
"""350450 AVARE"";-;-;-;1612630,86;1377465,23;1677618,19;1735503,64;1499467,25;1397372,63;1411474,36;1503339,25;1390402,57;1466278,75;1425975,09;1568194,74;1525961,43;1359601,31;1797288,19;1553471,48;1609990,21;1614782,20;1471953,56;1983083,21;1842597,53;1769884,77;1787994,12;1521405,27;1529733,86;39433469,70"
"""350460 BADY BASSITT"";-;-;-;196090,44;177837,47;166932,88;186752,30;209683,40;178190,67;237014,72;189108,53;237255,81;232611,28;213553,82;182867,88;245671,38;165557,54;246089,79;200343,57;234123,65;196033,85;241839,04;268721,40;269744,73;255918,52;219201,86;179946,60;211662,01;5342753,14"
"""350470 BALBINOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248,22;420,30;467,00;518,37;387,61;509,79;4991,50;6253,81;12565,17;24120,11;18396,10;68877,98"
"""350480 BALSAMO"";-;-;-;5403,49;4479,92;6323,85;13885,74;7246,08;5911,78;8144,68;11953,60;7973,92;12191,76;7622,55;5896,25;10005,15;13447,49;6214,09;362,18;61996,41;38709,17;66795,77;54383,71;64213,27;41192,67;41442,23;38666,07;43176,53;577638,36"
"""350490 BANANAL"";-;-;-;73442,82;71364,84;121235,83;162445,79;86835,78;91840,63;89751,11;87537,66;93192,02;96310,09;81680,21;78070,49;84931,36;96090,80;105152,32;101671,70;108685,26;96606,78;95509,21;68441,63;103539,25;99144,34;101634,12;112488,02;98353,41;2405955,47"
"""350500 BARAO DE ANTONINA"";-;-;-;-;8077,23;1963,57;2889,37;2563,75;2917,53;12930,45;12564,12;11896,56;13026,54;10779,36;7600,32;6263,31;12838,17;11582,49;11918,77;14190,08;17990,01;21473,80;17677,37;20803,90;-;-;-;-;221946,70"
"""350510 BARBOSA"";-;-;-;16958,01;13513,11;11886,28;9700,97;7921,79;4207,04;14053,06;-;11859,00;16602,97;-;10543,76;3813,13;5164,96;13522,87;12107,91;10211,60;13660,15;16009,00;17470,82;22492,22;21550,40;17892,75;10876,33;12929,79;294947,92"
"""350520 BARIRI"";-;-;-;177901,03;147728,16;164612,74;177572,36;182546,43;173128,40;151008,25;183970,99;179376,97;181842,24;167105,85;142386,77;165426,83;143393,48;172115,47;174549,08;191477,67;167206,43;164664,48;168642,36;191884,63;193983,65;188045,45;178112,13;165575,83;4294257,68"
"""350530 BARRA BONITA"";-;1023,08;67,06;185149,74;170206,52;182015,40;201382,86;185151,61;179429,24;163815,73;182091,18;209465,83;193521,91;191047,37;165917,95;180002,28;209595,68;208743,84;201579,74;179825,74;167520,45;166057,79;180078,11;189933,23;185279,68;169676,05;167712,16;162925,91;4579216,14"
"""350535 BARRA DO CHAPEU"";-;-;-;1515,80;7375,85;9925,45;5695,65;14506,42;9711,70;12196,38;12887,18;20154,67;15329,59;14931,17;17512,74;14167,07;16463,78;14247,83;22796,87;14693,50;9948,91;21372,75;15158,73;11277,02;19711,22;22504,85;21135,74;20634,00;365854,87"
"""350540 BARRA DO TURVO"";-;-;-;26603,02;28365,19;33346,44;32252,95;30316,17;28156,11;25575,91;30950,41;28225,62;26747,55;29290,39;29467,93;28919,60;30554,60;29994,17;29339,41;30993,19;30415,73;32417,42;30339,04;31689,04;36222,58;29748,56;35573,32;-;725504,35"
"""350550 BARRETOS"";203,90;3275,35;64105,06;13236350,45;12194438,13;13035090,41;13435383,09;13342136,63;12951156,75;13171339,02;13507745,63;13394602,10;14123952,91;12949879,52;12852946,09;13583590,67;13537738,14;13451297,60;13579798,98;14014015,93;13764073,98;14682388,14;14250350,39;14009041,71;14790530,06;14010027,33;14401087,01;13628105,84;339964650,82"
"""350560 BARRINHA"";-;-;-;2858,82;2784,16;3370,97;2757,34;2146,96;3895,32;6061,77;5762,84;5093,98;4766,32;4866,34;2211,95;4052,70;5101,66;114709,11;102857,12;140055,02;111922,11;129166,28;103672,54;113363,03;100739,07;123819,67;116998,08;126933,45;1339966,61"
"""350570 BARUERI"";-;73248,39;138620,51;6383711,79;6619776,34;7145454,28;8030645,91;7912097,26;7854147,68;7404172,89;7637524,85;7380605,32;7650824,13;6645872,28;5973055,63;6894358,98;6884997,12;7253946,60;6400283,27;7992421,55;7144040,25;7687011,18;7864290,77;7980860,09;8108241,20;7313257,18;6493246,23;6284056,39;181150768,07"
"""350580 BASTOS"";-;-;422,03;97246,24;102440,15;105304,80;117350,23;115558,70;119257,20;119595,84;138180,99;148623,37;152895,39;145415,21;130381,77;126818,13;137826,63;121109,31;134243,43;177411,46;142619,44;143011,08;119346,89;159203,39;171792,70;160239,69;160524,02;171158,35;3417976,44"
"""350590 BATATAIS"";-;3089,20;2182,63;788583,63;774731,78;829740,79;843723,21;868468,38;854355,72;874699,34;861909,07;885142,65;921744,28;891011,73;856121,06;963295,24;869704,88;854843,09;917563,62;958140,87;910525,59;992559,50;933282,30;936543,79;963150,56;831644,48;871666,35;757866,90;22016290,64"
"""350600 BAURU"";-;1814,36;32464,16;7974956,88;7753893,61;8395813,31;8845907,42;8989953,48;8969978,26;8613971,32;8937444,16;8822198,53;9694043,63;9082989,32;8527487,11;9091866,41;9794083,50;11303210,69;9465179,73;9760555,23;9272448,66;9479176,90;10175963,94;10311676,08;10442165,89;9666867,97;9730192,31;9888379,48;233024682,34"
"""350610 BEBEDOURO"";-;-;-;1154939,34;1380175,13;1443070,37;1490586,70;1430218,73;1444614,27;1526740,28;1550052,98;1492221,63;1517909,34;1359324,39;1274428,13;1328598,81;1412423,51;1278275,42;1859031,23;1553457,39;1484288,03;1671910,16;1658404,04;1722683,13;1711541,06;1539133,41;1416043,86;1563609,05;37263680,39"
"""350620 BENTO DE ABREU"";-;-;-;1388,11;403,93;952,97;1718,01;1661,59;7424,16;4992,66;692,92;4642,72;5892,10;4819,54;2171,77;514,41;1373,97;3808,80;6167,30;7003,35;7921,80;3591,65;4144,50;6623,55;4751,10;4356,45;3420,00;1898,10;92335,46"
"""350630 BERNARDINO DE CAMPOS"";-;-;-;53412,78;54405,88;61184,40;62425,87;58311,22;59487,75;54727,05;57920,00;67873,21;60317,61;57496,47;52839,69;58915,79;64586,53;76801,79;70352,29;73554,93;62701,98;54436,13;54073,64;54666,68;50831,59;53352,65;53650,74;52385,44;1480712,11"
"""350635 BERTIOGA"";-;-;473672,63;8825314,24;906731,61;1021081,20;916011,38;843501,41;761216,80;711122,23;806950,37;760760,31;810289,13;758075,50;703729,76;828472,33;794337,62;872921,93;903210,34;893111,78;811232,55;791582,09;902203,84;938228,46;1058867,34;863669,02;1070455,10;753468,27;29780217,24"
"""350640 BILAC"";-;-;-;33982,55;38493,93;41529,56;43474,06;45463,90;44655,12;45103,32;45525,98;45887,13;42579,06;39941,87;50701,20;54467,75;39932,18;27261,22;33359,63;53538,01;41649,90;41996,74;48423,02;48808,39;44185,16;44399,36;44195,42;43870,44;1083424,90"
"""350650 BIRIGUI"";-;90,00;8325,00;475877,79;547045,03;610190,75;628946,61;632587,75;557038,53;536219,16;596547,30;620067,22;698854,81;614166,83;567081,14;602062,25;590758,65;725248,37;680805,87;714101,80;673349,38;810109,19;790605,91;703037,85;635406,28;567808,11;544585,39;629580,91;15760497,88"
"""350660 BIRITIBA MIRIM"";-;-;-;93206,34;78701,83;52793,00;158275,98;105884,25;84618,18;16472,98;78069,76;72965,85;89886,54;173042,05;160732,01;161952,42;152230,67;1967911,22;179553,29;196264,47;171165,51;168018,38;187963,43;190279,14;185866,68;178493,20;163426,51;-;5067773,69"
"""350670 BOA ESPERANCA DO SUL"";-;-;-;38916,00;46397,60;41066,52;54603,10;55222,35;51612,06;42913,54;44403,42;52027,47;43129,45;48912,34;47184,07;47390,30;41351,90;46648,76;77133,53;46246,67;57296,56;54401,20;60159,17;58844,05;56116,85;51190,44;56811,26;55224,41;1275203,02"
"""350680 BOCAINA"";-;-;-;54519,77;48769,14;53572,18;58115,46;50188,06;55569,29;53025,80;56209,69;53760,95;61066,86;43386,57;52197,77;56418,88;55669,24;55940,22;60792,65;62547,66;55646,53;59795,67;62474,20;65679,07;60570,46;56497,66;58134,69;55438,61;1405987,08"
"""350690 BOFETE"";-;-;-;11596,39;9794,37;9553,81;9378,37;4441,77;3714,33;3275,22;3831,66;3877,02;4163,04;3452,25;3078,81;-;3393,81;4089,66;4307,32;4773,51;4830,84;22040,83;19794,49;17624,61;19343,29;17287,82;1297,80;1383,96;190324,98"
"""350700 BOITUVA"";-;-;-;392592,05;298575,35;393116,05;496063,08;494162,26;542357,60;461001,74;471580,96;408141,45;415407,89;341883,67;197003,66;195722,30;267526,37;254596,78;315340,63;356389,85;1126525,54;551814,49;524631,18;546353,24;485137,39;486899,66;449495,83;422098,44;10894417,46"
"""350710 BOM JESUS DOS PERDOES"";-;-;-;114395,36;152042,98;140674,50;166071,80;131309,80;145116,69;141542,07;141837,38;138737,73;158089,15;139718,50;68492,39;214160,74;170683,63;179482,75;182238,50;186377,37;185071,46;177836,91;190269,54;191674,76;212855,08;179528,91;177272,02;172937,21;4058417,23"
"""350715 BOM SUCESSO DE ITARARE"";-;-;-;1324,72;2599,87;2625,11;1540,36;2560,84;1445,01;3458,41;4976,19;4469,79;5663,49;3032,83;1238,70;831,60;1242,15;2693,85;3510,81;2656,54;675,28;82,17;213,22;74,21;5,10;-;-;2,55;46922,80"
"""350720 BORA"";-;-;-;5410,82;-;-;-;5084,33;5026,75;4797,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20319,70"
"""350730 BORACEIA"";-;-;-;16150,13;16111,57;15237,26;3289,77;15973,30;15926,87;14746,41;14219,08;5349,41;161,30;14813,78;11369,91;19047,39;17568,94;17531,34;16623,69;15671,22;20347,07;14344,41;19744,03;23001,81;24484,37;19868,37;24911,63;24709,75;401202,81"
"""350740 BORBOREMA"";-;-;-;58724,49;56139,70;55778,20;83890,46;77598,04;85582,90;93609,07;135778,10;105507,91;116447,65;106734,98;75400,16;129851,86;127384,31;130744,23;124606,22;147032,99;170743,12;192382,96;144537,54;153762,68;156446,32;153259,07;154218,79;142058,47;2978220,22"
