"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350940 CAJURU"";-;-;-;656;1117;1281;908;865;6816;5091;6933;5271;5967;148866;5485;4950;8672;8715;5424;729;979;5709;388098;7272;6561;6049;632;6492;639538"
"""350945 CAMPINA DO MONTE ALEGRE"";-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;685;4502;4370;9602"
"""350950 CAMPINAS"";4988;28177;60049;95440;105908;116243;120772;116930;99651;90018;100986;97612;97186;94626;85260;92434;88036;95679;101076;103377;94112;87366;95058;88913;91638;82769;57241;88535;2480080"
"""350960 CAMPO LIMPO PAULISTA"";-;-;-;66124;65124;70596;87329;70411;352324;270740;70900;28701;56535;46720;40535;250904;51535;62466;71065;558905;66727;70649;65977;71863;65605;67259;204517;62800;2896311"
"""350970 CAMPOS DO JORDAO"";-;-;-;39451;37903;41115;46131;42479;43597;44211;50728;46280;51277;46501;41695;50278;50191;49097;55810;62063;49388;46124;49341;54531;53274;48651;42817;52624;1195557"
"""350980 CAMPOS NOVOS PAULISTA"";-;-;-;16054;13706;14337;15009;13321;14146;13064;17332;13929;14773;14692;13200;17102;16487;15149;15842;18670;16284;16700;20029;19133;18137;17745;16908;32984;414733"
"""350990 CANANEIA"";-;-;-;-;-;-;250;2211;1168;4172;7018;837397;7369;2117;5859;7530;-;-;-;-;-;-;-;-;-;-;-;-;875091"
"""350995 CANAS"";-;-;-;464;224;210;652;496;606;603;585;607;601;585;607;603;606;398;604;371;389;397;412;400;-;-;-;-;10420"
"""351000 CANDIDO MOTA"";-;-;-;11930;9048;12022;12342;13564;15689;11553;13709;11068;12972;10121;10393;11958;14029;19642;22225;11445;11385;13219;11763;11195;12166;8662;9393;-;301493"
"""351010 CANDIDO RODRIGUES"";-;-;-;-;-;-;-;8;-;170;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;211"
"""351015 CANITAR"";-;-;-;1;-;-;-;-;1;-;7648;9043;9619;7737;8059;8278;-;-;-;-;-;-;-;-;-;-;-;-;50386"
"""351020 CAPAO BONITO"";-;-;-;21004;13808;22851;26898;27171;28575;21541;25238;29635;12949;26475;22227;24329;30694;26300;32834;36280;43171;31861;36454;39590;42955;33806;25905;31207;713758"
"""351030 CAPELA DO ALTO"";-;-;-;12638;12822;13077;14299;16262;13114;7498;8120;7853;7852;6847;7364;11649;7189;12049;14140;13682;11791;12306;13922;15999;17023;17829;15038;14649;305012"
"""351040 CAPIVARI"";-;-;94;23617;23793;28084;32317;26097;24035;22051;26951;25603;27772;23935;2422;25331;22999;23790;28046;27466;23448;27717;30777;30782;30033;26793;18412;23832;626197"
"""351050 CARAGUATATUBA"";-;13;3517;16868;14082;15647;19517;18190;16639;18581;16030;17204;18981;14511;13564;17412;14888;17911;19043;20287;16394;22556;27681;33824;45510;38463;40319;38736;556368"
"""351060 CARAPICUIBA"";-;-;-;41254;43716;103327;54699;55792;49253;44705;46371;47171;50454;46294;42081;43918;47322;53632;27167;80678;78935;64327;71666;51667;76314;53613;16622;55718;1346696"
"""351070 CARDOSO"";-;-;-;-;-;17;22;21;22;24;28;30;17;14;-;6;22;11;12;18;25;28;30;22;30;26;18;-;443"
"""351080 CASA BRANCA"";-;-;-;416;292;422;476;6923;299;438;552;576;345;93;-;464;6094;535;219;257;411;1126;631;795;511;357;6001;882;29115"
"""351090 CASSIA DOS COQUEIROS"";-;-;-;1195;1354;1081;1770;-;1592;1807;1991;1992;2248;1477;1101;188;1212;2461;1927;1080;1140;1982;1942;2441;2026;1914;-;-;35921"
"""351100 CASTILHO"";-;-;-;27940;25672;28117;32711;29159;29003;25414;28263;28148;27854;25446;18663;23190;25138;25864;28389;31383;27055;27783;28116;16034;31715;27067;-;-;618124"
"""351110 CATANDUVA"";-;-;-;14564;16042;17859;20902;18329;13995;13636;11544;15717;15270;13809;13507;16357;19239;21733;18182;18011;13838;14110;14197;15053;15106;14174;13022;13119;391315"
"""351130 CEDRAL"";-;-;-;12264;-;15070;18253;16156;14930;16429;16908;19536;19608;16981;17882;21934;19208;18066;18082;16739;14744;8022;7223;7627;7108;6199;6403;6634;342006"
"""351140 CERQUEIRA CESAR"";-;-;-;3286;3740;4979;4140;3861;4096;4480;3646;3911;3515;3543;3310;3264;3427;3951;3931;4591;3999;3911;4513;4404;4381;4880;4344;4504;100607"
"""351150 CERQUILHO"";-;-;-;7947;7565;6558;6412;6712;6763;9595;9562;7572;6724;8479;7361;52710;45777;43798;61929;69726;55797;61866;59121;63702;62864;51001;48911;57211;825663"
