"""Munic¡pio"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350720 BORA"";-;-;-;-;-;733;-;-;-;864;887;673;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3157"
"""350730 BORACEIA"";-;-;-;-;-;10274;9062;8234;7717;10026;11435;8141;9301;7020;5842;6884;6244;8372;10580;11935;11745;10146;9886;9551;11397;11875;10587;10370;9593;8968;235185"
"""350740 BORBOREMA"";-;-;-;-;-;33415;35016;32030;42186;39027;42711;43385;52168;45743;50228;39489;33680;47737;56288;52382;58457;57892;59695;62028;54897;58313;58257;54755;48674;48274;1206727"
"""350745 BOREBI"";-;-;-;-;-;3605;4434;760;4250;4940;4631;4678;5177;4323;4136;3197;3417;3533;3848;4359;5120;5684;5593;5416;5616;6244;7357;5155;4365;3429;113267"
"""350750 BOTUCATU"";-;-;60;533;4564;1683864;1681993;1743452;1820364;1745166;1716728;1787199;1582971;1823763;1898785;1819000;1562574;1859238;1934052;1881585;1937466;1972462;1851037;1943105;2046246;2119166;1853719;1517841;1726740;1765942;45279615"
"""350760 BRAGANCA PAULISTA"";-;-;-;24;162;283886;288071;331091;315970;313993;298001;280152;303531;357875;301225;234732;192088;243406;224615;369280;380204;313522;304540;308021;326316;335305;340882;420898;281636;284998;7634424"
"""350770 BRAUNA"";-;-;-;-;-;7646;10204;13981;13950;13589;11436;10167;12474;15415;7949;9286;12515;7298;11090;11329;11021;13551;12432;10262;10746;12155;10534;10568;-;-;259598"
"""350775 BREJO ALEGRE"";-;-;-;-;-;2092;3237;4879;4496;5491;5258;4116;4688;4546;3324;3888;3824;2679;3081;3070;3478;2907;2052;-;-;-;-;-;-;-;67106"
"""350780 BRODOWSKI"";-;-;-;-;-;58623;55868;60839;58865;53931;55706;52138;52433;52527;56293;47282;43977;55911;61952;57016;60235;63607;59715;58201;55669;64089;62437;57304;52621;-;1357239"
"""350790 BROTAS"";-;-;-;-;2;25081;24492;26834;29479;24954;27002;23865;24844;25217;28457;25825;23236;24090;26709;23963;23559;21716;22111;24925;31495;36568;29652;30912;26025;33871;664884"
"""350800 BURI"";-;-;-;-;-;18843;20751;26002;26922;27741;25480;23181;19646;25926;28259;23287;19123;12937;22634;23642;28438;26761;26536;27147;25315;26002;25655;22310;23121;23777;599436"
"""350810 BURITAMA"";-;-;-;-;-;51314;47683;49804;59797;54107;51514;56227;55769;55391;57142;49308;41707;56397;57034;61824;64210;59923;51122;57073;61254;67128;69348;61405;51918;59533;1407932"
"""350820 BURITIZAL"";-;-;-;-;-;7307;7312;7305;9640;7978;11324;10163;9013;8612;6767;6542;5519;6356;6297;5995;6219;5732;4915;5653;6191;6398;6316;5781;4494;5526;173355"
"""350830 CABRALIA PAULISTA"";-;-;-;-;-;17497;15367;13931;21082;17610;18094;17482;19529;18607;19581;17940;14268;17962;19009;18150;21382;21434;18087;20187;20437;20040;20144;15792;14824;17607;456043"
"""350840 CABREUVA"";-;-;-;2284;8487;103756;101905;115128;154959;146430;113540;108309;199566;221237;204850;160235;117179;205399;163658;119511;176424;195465;169911;181450;128780;113741;186691;191372;159082;105454;3854803"
"""350850 CACAPAVA"";-;-;-;-;-;130418;120028;142417;162894;155278;137628;135550;178956;182990;151637;142213;123535;150793;166695;155301;166824;189398;155962;172085;174005;173243;183499;142151;138472;-;3731972"
"""350860 CACHOEIRA PAULISTA"";-;-;9;6;20;24757;26318;27833;31183;28891;30904;24017;20189;18642;18696;15810;15755;15665;14905;18092;27853;20330;17269;16292;26348;27048;51840;32925;41802;34396;627795"
"""350870 CACONDE"";-;-;-;-;3;27024;21094;22906;23073;20228;20724;19751;21049;22223;24136;19762;7872;9251;15783;15772;16506;6879;3769;4436;5794;10262;4780;3850;5951;10261;363139"
"""350880 CAFELANDIA"";-;-;-;-;-;29769;28244;29804;32275;28297;30747;29613;48542;28583;30917;26005;21153;26735;27686;25455;25193;24392;28609;30780;28705;28235;29525;23829;26040;27240;716373"
"""350890 CAIABU"";-;-;-;-;-;455;726;390;192;716;651;700;8;1003;993;951;755;824;810;18;175;534;334;393;166;240;222;216;121;469;12062"
"""350900 CAIEIRAS"";-;-;-;204;373;190629;135197;197175;223201;154740;159636;143918;606628;264381;114393;193272;147993;157937;157828;168307;205855;231805;190856;173243;192305;192109;415948;142268;199193;1084441;6043835"
"""350910 CAIUA"";-;-;-;-;-;7305;5648;5500;7852;6538;6009;6496;6992;6708;7249;6562;5415;7130;6761;6819;6683;7314;5942;8054;6859;6864;7881;7868;3516;6238;166203"
"""350920 CAJAMAR"";-;-;-;-;-;143804;156721;186178;199151;190979;172272;161698;181587;188446;204242;197209;163477;226081;167214;198902;156369;233539;160008;223921;235406;287136;242125;225624;198149;194988;4895226"
"""350925 CAJATI"";-;-;-;-;-;31205;28207;42912;42151;39629;44766;32773;40406;48624;48711;44601;41719;46302;35219;46150;51357;53806;41385;41723;44773;47274;47424;33298;42932;-;1017347"
"""350930 CAJOBI"";-;-;-;-;-;5819;117364;6641;5474;8741;6367;5841;6157;4097;5819;6081;4394;7656;8648;5658;9906;9714;7168;8536;8309;11443;11000;11278;14967;18846;315924"
"""350940 CAJURU"";-;-;-;-;-;19759;22585;9049;27119;17744;29281;37580;33131;33046;40328;189472;40356;41960;49951;50855;244202;32407;25376;39581;426681;44897;43326;38754;27642;38065;1603147"
"""350945 CAMPINA DO MONTE ALEGRE"";-;-;-;-;-;3431;2351;4977;6889;4685;3607;3403;4054;3838;3366;3315;3643;4151;3805;104756;4297;3106;4132;2526;3156;3508;3746;4693;8467;7183;205085"
"""350950 CAMPINAS"";-;-;20963;123561;377028;5067492;4885478;5218695;5322091;5225824;5398957;4891304;5080512;5290013;5363620;5117653;4942190;5369057;5328756;5207946;5125095;5069298;5124209;5322332;5521481;5611229;5604167;4671139;4560248;4781275;129621613"
"""350960 CAMPO LIMPO PAULISTA"";-;-;-;-;-;215862;210279;229422;234840;235729;512743;408688;216945;164650;153572;148184;138475;345937;162096;180882;214728;716790;215672;218995;218642;226609;216043;199081;317501;186350;6288715"
"""350970 CAMPOS DO JORDAO"";-;-;-;-;-;87191;68845;74455;84731;79611;77490;81156;91158;92771;95019;87003;79478;94416;91837;93448;103295;116491;72894;103637;108647;117462;115159;109558;104383;116547;2346682"
"""350980 CAMPOS NOVOS PAULISTA"";-;-;-;-;-;18596;15766;16791;18044;16048;16837;15501;21497;17698;19647;18782;17092;21565;19706;19059;20705;24083;21108;21650;25702;24374;23369;22390;21734;39260;517004"
"""350990 CANANEIA"";-;-;-;-;-;-;-;-;275;2211;1168;4172;7018;837401;7389;2129;5866;7530;9261;10337;9580;11520;10141;10141;-;-;-;-;-;-;936139"
"""350995 CANAS"";-;-;-;-;-;2228;2155;2478;2927;2552;3058;3052;2941;2997;2949;2921;2956;3024;2839;2131;3013;2866;2953;3002;3036;2983;-;-;-;-;59061"
"""351000 CANDIDO MOTA"";-;-;-;-;-;58885;55997;68538;75130;76954;71589;59596;66209;65865;67128;58833;52881;66650;78757;82798;75437;69086;60182;60161;64279;63119;61952;53912;48257;-;1562195"
"""351010 CANDIDO RODRIGUES"";-;-;-;-;-;5;17;10;4;10;4;176;4;22;4;4;2;4;566;1304;1803;1909;1900;1884;1813;1825;1944;1755;-;-;16969"
"""351015 CANITAR"";-;-;-;-;-;4791;3938;3928;4714;4370;4398;3880;11270;14193;18504;11602;13175;12357;3625;4862;3231;6180;2746;3894;3820;3785;4185;3699;2997;3501;157645"
"""351020 CAPAO BONITO"";-;-;4;-;-;53331;53243;64364;68786;53561;63849;69325;72110;75888;61950;59763;56754;67053;74622;69796;77266;84993;92570;80998;83666;92869;96900;82148;63444;74292;1793545"
"""351030 CAPELA DO ALTO"";-;-;-;-;-;35814;38388;43057;50585;58655;56007;41925;45441;50006;48005;40147;41632;46395;40849;50091;52382;55564;51434;46665;50628;62643;58659;59689;53578;53063;1231302"
"""351040 CAPIVARI"";-;-;-;46;184;70021;69269;69216;91893;80835;72437;66011;84734;82444;82327;75300;42017;76982;67201;79014;90082;83042;75136;98503;89276;91730;101552;85405;65025;80022;1969704"
"""351050 CARAGUATATUBA"";-;-;384;626;47023;294039;281456;313009;354692;328134;341292;344885;324743;342644;369615;294838;298007;340971;315842;330229;329311;341106;294937;320256;333559;348043;359240;303396;292004;317205;8161486"
