"""Munic¡pio"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""351040 CAPIVARI"";-;-;-;46;90;45949;44872;40344;58862;54131;47938;43370;57032;56257;53668;50700;39241;51090;43414;53791;60645;51631;47985;65076;53930;55174;68054;54725;41624;48179;1287818"
"""351050 CARAGUATATUBA"";-;-;384;612;43357;270711;261084;290569;328001;302092;317445;318558;300545;317479;342155;272744;277194;315402;293519;305121;302636;312823;270767;290146;298170;306595;305799;257972;244107;271541;7417528"
"""351060 CARAPICUIBA"";-;-;-;-;14;261597;270545;317962;449278;147859;298638;305143;267582;273301;285430;180824;265504;270901;336079;339872;275798;252359;101931;187693;163514;272292;193886;191901;167571;191854;6269328"
"""351070 CARDOSO"";-;-;-;-;-;10667;11926;13017;15095;15130;14543;14791;16789;15719;13954;14079;13183;17748;21362;21588;19987;21699;25183;21342;23347;25383;27600;24013;20904;16915;455964"
"""351080 CASA BRANCA"";-;-;-;-;14;52248;46435;49157;49818;48788;49446;53619;54746;59681;57675;55233;53997;57747;59794;60571;61507;68666;67056;72892;70981;70681;71665;61351;64918;65334;1484020"
"""351090 CASSIA DOS COQUEIROS"";-;-;-;-;-;99;93;80;70;124;91;46;99;48;57;70;43;99;150;2;1;2;127;75;179;123;137;162;-;-;1977"
"""351100 CASTILHO"";-;-;-;-;-;17212;16839;19995;20782;17765;16047;15206;15804;17390;16542;15496;16190;16095;15607;16542;16789;19956;14917;15793;16133;16400;16946;16267;-;-;386713"
"""351110 CATANDUVA"";-;-;-;-;64;201010;206853;225707;241962;225016;196718;177641;170552;193304;196911;168147;170197;160718;189697;199582;196830;188033;186017;184866;204809;221027;225412;208214;194964;195654;4929905"
"""351120 CATIGUA"";-;-;-;-;-;624;548;636;715;563;729;629;652;711;744;24;38;44;-;640;534;511;600;1760;747;735;838;515;433;480;14450"
"""351130 CEDRAL"";-;-;-;-;-;2583;3035;3005;3492;4009;12528;3791;3183;3135;3633;3240;2519;6812;4730;4087;3783;3399;6925;10667;11130;12814;11658;9678;10320;12123;156279"
